,Unnamed: 0,id,prec_id,enr_desc,county_nam,of_prec_id,county_id,total_vap,hs_grad,scol_nd,bach_deg
1362,1362,1446,AE,ASHEBORO EAST,RANDOLPH,,76,5570.0,1678.0,1438.0,797.0
1398,1398,1879,GR,GRANT,RANDOLPH,,76,4856.0,2060.0,1055.0,376.0
1399,1399,1453,AN,ASHEBORO NORTH,RANDOLPH,,76,4573.0,1826.0,912.0,391.0
1406,1406,1460,AR,ARCHDALE,RANDOLPH,,76,7780.0,2560.0,2081.0,993.0
1408,1408,1462,AS,ASHEBORO SOUTH,RANDOLPH,,76,6803.0,2326.0,1710.0,1036.0
1417,1417,1469,AW,ASHEBORO WEST,RANDOLPH,,76,5927.0,1683.0,1375.0,1238.0
1434,1434,1479,BC,BACK CREEK,RANDOLPH,,76,3765.0,995.0,999.0,617.0
1608,1608,1666,DR,DEEP RIVER,RANDOLPH,,76,4436.0,1715.0,1018.0,602.0
1883,1883,2019,LB,LIBERTY,RANDOLPH,,76,3493.0,1758.0,620.0,212.0
1889,1889,2021,LC,LEVEL CROSS,RANDOLPH,,76,3328.0,1183.0,749.0,229.0
2032,2032,2151,NM,NEW MARKET,RANDOLPH,,76,6559.0,2267.0,1282.0,1056.0
2208,2208,2288,PR,PROVIDENCE,RANDOLPH,,76,5141.0,1893.0,1290.0,501.0
2295,2295,2403,RM,RAMSEUR,RANDOLPH,,76,3535.0,1405.0,903.0,288.0
2296,2296,2404,RN,RANDLEMAN,RANDOLPH,,76,6023.0,2117.0,1494.0,689.0
2343,2343,2454,SE,SOUTHEAST,RANDOLPH,,76,2378.0,672.0,445.0,346.0
2377,2377,2492,SO,SOUTHERN,RANDOLPH,,76,3278.0,1332.0,686.0,293.0
2386,2386,2501,ST,STALEY,RANDOLPH,,76,2345.0,1159.0,372.0,259.0
2412,2412,2522,SW,SOUTHWEST,RANDOLPH,,76,1753.0,711.0,347.0,58.0
2428,2428,2537,TB,TABERNACLE,RANDOLPH,,76,3726.0,1048.0,628.0,358.0
2439,2439,2548,TR,TRINITY,RANDOLPH,,76,9425.0,3310.0,2328.0,1169.0
2441,2441,2550,TT,TRINITY TABERNACLE,RANDOLPH,,76,3062.0,1325.0,616.0,346.0
2445,2445,2554,UG,UNION GROVE,RANDOLPH,,76,8359.0,2924.0,2031.0,930.0
