,Unnamed: 0,id,prec_id,enr_desc,county_nam,of_prec_id,county_id,blockid,total_vap,hs_grad,scol_nd,bach_deg
4,4,71,007,007,MECKLENBURG,,60,,2240.0,332.0,514.0,655.0
18,18,6,001,001,MECKLENBURG,,60,,1329.0,131.0,169.0,545.0
19,19,44,003,003,MECKLENBURG,,60,,2400.0,677.0,585.0,222.0
41,41,26,002,002,MECKLENBURG,,60,,3483.0,355.0,379.0,1641.0
64,64,51,004,004,MECKLENBURG,,60,,2423.0,923.0,566.0,568.0
73,73,58,005,005,MECKLENBURG,,60,,1637.0,368.0,456.0,330.0
74,74,65,006,006,MECKLENBURG,,60,,2772.0,865.0,883.0,305.0
87,87,76,008,008,MECKLENBURG,,60,,3664.0,237.0,683.0,1466.0
89,89,80,009,009,MECKLENBURG,,60,,6044.0,474.0,364.0,3162.0
125,125,171,012,012,MECKLENBURG,,60,,2862.0,610.0,1104.0,349.0
161,161,159,010,010,MECKLENBURG,,60,,2697.0,102.0,150.0,1473.0
183,183,167,011,011,MECKLENBURG,,60,,8669.0,769.0,1590.0,3570.0
189,189,228,020,020,MECKLENBURG,,60,,1804.0,134.0,131.0,742.0
198,198,176,013,013,MECKLENBURG,,60,,5885.0,1014.0,1023.0,1896.0
200,200,177,014,014,MECKLENBURG,,60,,4858.0,1039.0,926.0,1706.0
201,201,235,021,021,MECKLENBURG,,60,,2518.0,120.0,334.0,1118.0
206,206,242,024,024,MECKLENBURG,,60,,3583.0,746.0,708.0,1174.0
207,207,183,015,015,MECKLENBURG,,60,,4391.0,236.0,573.0,2297.0
211,211,185,016,016,MECKLENBURG,,60,,1131.0,535.0,272.0,13.0
214,214,186,017,017,MECKLENBURG,,60,,2426.0,917.0,688.0,308.0
217,217,189,018,018,MECKLENBURG,,60,,1936.0,42.0,162.0,926.0
223,223,191,019,019,MECKLENBURG,,60,,1400.0,48.0,250.0,718.0
254,254,239,022,022,MECKLENBURG,,60,,9568.0,958.0,811.0,5407.0
256,256,241,023,023,MECKLENBURG,,60,,1817.0,297.0,286.0,702.0
257,257,245,025,025,MECKLENBURG,,60,,1941.0,468.0,742.0,101.0
259,259,247,026,026,MECKLENBURG,,60,,3116.0,557.0,1201.0,559.0
261,261,249,027,027,MECKLENBURG,,60,,3367.0,794.0,811.0,622.0
262,262,250,028,028,MECKLENBURG,,60,,2596.0,420.0,593.0,768.0
266,266,255,029,029,MECKLENBURG,,60,,2009.0,647.0,379.0,221.0
271,271,282,030,030,MECKLENBURG,,60,,3615.0,461.0,579.0,1339.0
284,284,296,034,034,MECKLENBURG,,60,,3611.0,774.0,619.0,1189.0
297,297,297,035,035,MECKLENBURG,,60,,1890.0,55.0,145.0,675.0
304,304,287,031,031,MECKLENBURG,,60,,2864.0,626.0,759.0,470.0
305,305,288,032,032,MECKLENBURG,,60,,910.0,21.0,52.0,484.0
308,308,293,033,033,MECKLENBURG,,60,,2021.0,417.0,345.0,737.0
310,310,301,036,036,MECKLENBURG,,60,,3457.0,178.0,466.0,1370.0
311,311,302,037,037,MECKLENBURG,,60,,2713.0,94.0,383.0,1503.0
313,313,305,038,038,MECKLENBURG,,60,,3135.0,581.0,922.0,1090.0
318,318,308,039,039,MECKLENBURG,,60,,2701.0,812.0,789.0,298.0
346,346,368,040,040,MECKLENBURG,,60,,3014.0,1013.0,746.0,360.0
358,358,375,042,042,MECKLENBURG,,60,,3047.0,633.0,1263.0,418.0
360,360,376,043,043,MECKLENBURG,,60,,2692.0,1031.0,634.0,187.0
367,367,380,045,045,MECKLENBURG,,60,,2594.0,720.0,525.0,520.0
372,372,383,048,048,MECKLENBURG,,60,,2126.0,149.0,219.0,1071.0
375,375,384,049,049,MECKLENBURG,,60,,3257.0,125.0,360.0,1665.0
390,390,372,041,041,MECKLENBURG,,60,,4194.0,1263.0,1009.0,389.0
392,392,379,044,044,MECKLENBURG,,60,,2216.0,53.0,222.0,999.0
393,393,381,046,046,MECKLENBURG,,60,,3276.0,889.0,605.0,1075.0
394,394,382,047,047,MECKLENBURG,,60,,2436.0,229.0,294.0,1145.0
413,413,411,050,050,MECKLENBURG,,60,,1591.0,312.0,141.0,777.0
417,417,469,065,065,MECKLENBURG,,60,,907.0,56.0,204.0,164.0
418,418,415,051,051,MECKLENBURG,,60,,2842.0,404.0,389.0,1231.0
419,419,418,052,052,MECKLENBURG,,60,,2368.0,769.0,469.0,443.0
420,420,422,054,054,MECKLENBURG,,60,,3359.0,805.0,862.0,597.0
421,421,420,053,053,MECKLENBURG,,60,,5074.0,1918.0,685.0,576.0
422,422,425,056,056,MECKLENBURG,,60,,1909.0,711.0,514.0,113.0
423,423,424,055,055,MECKLENBURG,,60,,1676.0,768.0,315.0,164.0
425,425,426,057,057,MECKLENBURG,,60,,3287.0,329.0,421.0,1121.0
427,427,427,058,058,MECKLENBURG,,60,,1564.0,72.0,224.0,834.0
429,429,428,059,059,MECKLENBURG,,60,,1115.0,259.0,173.0,266.0
