,county_desc,election_date,stats_type,precinct_abbrv,party_cd,race_code,ethnic_code,sex_code,age,total_voters,update_date
107,JOHNSTON,11/07/2023,voter,PR38,UNA,U,UN,U,Age 26 - 40,7,11/27/2023
118,JOHNSTON,11/07/2023,voter,PR27A,UNA,W,UN,F,Age 18 - 25,4,11/27/2023
189,JOHNSTON,11/07/2023,voter,PR32,REP,U,NL,M,Age 18 - 25,1,11/27/2023
243,JOHNSTON,11/07/2023,voter,PR36,DEM,B,NL,F,Age 26 - 40,24,11/27/2023
315,JOHNSTON,11/07/2023,voter,PR29B,UNA,B,UN,F,Age 41 - 65,53,11/27/2023
317,JOHNSTON,11/07/2023,voter,PR35,REP,W,NL,F,Age 26 - 40,84,11/27/2023
342,JOHNSTON,11/07/2023,voter,PR31B,DEM,O,NL,F,Age 26 - 40,6,11/27/2023
421,JOHNSTON,11/07/2023,voter,PR22,UNA,O,UN,M,Age 26 - 40,1,11/27/2023
478,JOHNSTON,11/07/2023,voter,PR30,UNA,M,NL,M,Age 26 - 40,1,11/27/2023
537,JOHNSTON,11/07/2023,voter,PR26,DEM,W,NL,M,Age 41 - 65,20,11/27/2023
572,JOHNSTON,11/07/2023,voter,PR10B,UNA,U,UN,M,Age Over 66,2,11/27/2023
635,JOHNSTON,11/07/2023,voter,PR36,DEM,O,NL,F,Age 41 - 65,1,11/27/2023
708,JOHNSTON,11/07/2023,voter,PR10A,DEM,W,UN,U,Age Over 66,1,11/27/2023
791,JOHNSTON,11/07/2023,voter,PR38,UNA,U,UN,M,Age 41 - 65,3,11/27/2023
811,JOHNSTON,11/07/2023,voter,PR27A,UNA,O,HL,F,Age 41 - 65,3,11/27/2023
905,JOHNSTON,11/07/2023,voter,PR23B,DEM,O,NL,M,Age 26 - 40,1,11/27/2023
1102,JOHNSTON,11/07/2023,voter,PR35,REP,O,HL,F,Age 18 - 25,1,11/27/2023
1108,JOHNSTON,11/07/2023,voter,PR29A,DEM,B,UN,M,Age 41 - 65,41,11/27/2023
1164,JOHNSTON,11/07/2023,voter,PR27B,REP,O,HL,F,Age Over 66,1,11/27/2023
1195,JOHNSTON,11/07/2023,voter,PR36,REP,U,UN,M,Age 41 - 65,4,11/27/2023
1229,JOHNSTON,11/07/2023,voter,PR12B,DEM,O,UN,F,Age 26 - 40,1,11/27/2023
1256,JOHNSTON,11/07/2023,voter,PR10B,LIB,U,UN,F,Age 26 - 40,1,11/27/2023
1276,JOHNSTON,11/07/2023,voter,PR23B,LIB,W,UN,M,Age 41 - 65,3,11/27/2023
1314,JOHNSTON,11/07/2023,voter,PR27A,UNA,U,UN,U,Age 18 - 25,35,11/27/2023
1358,JOHNSTON,11/07/2023,voter,PR11B,UNA,A,NL,F,Age Over 66,2,11/27/2023
1380,JOHNSTON,11/07/2023,voter,PR12A,DEM,B,UN,F,Age 18 - 25,16,11/27/2023
1426,JOHNSTON,11/07/2023,voter,PR32,DEM,W,UN,M,Age Over 66,16,11/27/2023
1459,JOHNSTON,11/07/2023,voter,PR12B,REP,U,NL,U,Age 41 - 65,1,11/27/2023
1521,JOHNSTON,11/07/2023,voter,PR31A,UNA,U,HL,U,Age 41 - 65,2,11/27/2023
1564,JOHNSTON,11/07/2023,voter,PR29B,UNA,U,NL,F,Age 18 - 25,1,11/27/2023
1575,JOHNSTON,11/07/2023,voter,PR12B,UNA,B,UN,F,Age 41 - 65,15,11/27/2023
1688,JOHNSTON,11/07/2023,voter,PR21,UNA,U,UN,U,Age 26 - 40,21,11/27/2023
1722,JOHNSTON,11/07/2023,voter,PR38,REP,U,UN,F,Age 18 - 25,3,11/27/2023
1734,JOHNSTON,11/07/2023,voter,PR26,DEM,B,NL,F,Age 18 - 25,15,11/27/2023
1739,JOHNSTON,11/07/2023,voter,PR29A,REP,U,HL,F,Age 41 - 65,3,11/27/2023
1742,JOHNSTON,11/07/2023,voter,PR25,DEM,W,UN,M,Age 18 - 25,2,11/27/2023
1779,JOHNSTON,11/07/2023,voter,PR33,UNA,U,UN,U,Age 18 - 25,43,11/27/2023
1873,JOHNSTON,11/07/2023,voter,PR34,DEM,B,UN,M,Age Over 66,19,11/27/2023
1930,JOHNSTON,11/07/2023,voter,PR37,UNA,O,NL,F,Age 18 - 25,1,11/27/2023
1953,JOHNSTON,11/07/2023,voter,PR09,UNA,W,NL,U,Age 26 - 40,15,11/27/2023
1988,JOHNSTON,11/07/2023,voter,PR20,UNA,W,HL,U,Age Over 66,1,11/27/2023
2085,JOHNSTON,11/07/2023,voter,PR29A,DEM,W,UN,F,Age Over 66,15,11/27/2023
2163,JOHNSTON,11/07/2023,voter,PR21,REP,I,UN,F,Age 26 - 40,1,11/27/2023
2190,JOHNSTON,11/07/2023,voter,PR22,DEM,W,UN,F,Age Over 66,8,11/27/2023
2219,JOHNSTON,11/07/2023,voter,PR12A,REP,U,UN,U,Age 41 - 65,25,11/27/2023
2259,JOHNSTON,11/07/2023,voter,PR12B,UNA,B,NL,U,Age 41 - 65,2,11/27/2023
2384,JOHNSTON,11/07/2023,voter,PR13,REP,W,HL,F,Age Over 66,1,11/27/2023
2387,JOHNSTON,11/07/2023,voter,PR30,UNA,B,NL,F,Age 26 - 40,27,11/27/2023
