,county_desc,election_date,stats_type,precinct_abbrv,party_cd,race_code,ethnic_code,sex_code,age,total_voters,update_date
185,RANDOLPH,11/07/2023,voter,UG,DEM,O,HL,M,Age 18 - 25,2,11/27/2023
346,RANDOLPH,11/07/2023,voter,DR,LIB,O,UN,F,Age 26 - 40,1,11/27/2023
364,RANDOLPH,11/07/2023,voter,TR,UNA,O,NL,M,Age 26 - 40,3,11/27/2023
382,RANDOLPH,11/07/2023,voter,TR,UNA,A,UN,M,Age 26 - 40,2,11/27/2023
396,RANDOLPH,11/07/2023,voter,AR,REP,B,NL,M,Age 18 - 25,2,11/27/2023
436,RANDOLPH,11/07/2023,voter,,DEM,W,NL,M,Age Over 66,32,11/27/2023
683,RANDOLPH,11/07/2023,voter,LC,REP,B,UN,F,Age 26 - 40,1,11/27/2023
737,RANDOLPH,11/07/2023,voter,AR,DEM,M,HL,F,Age 41 - 65,2,11/27/2023
825,RANDOLPH,11/07/2023,voter,AE,REP,A,NL,F,Age Over 66,1,11/27/2023
911,RANDOLPH,11/07/2023,voter,AN,REP,W,NL,U,Age 26 - 40,5,11/27/2023
958,RANDOLPH,11/07/2023,voter,ST,REP,W,HL,F,Age 41 - 65,1,11/27/2023
1044,RANDOLPH,11/07/2023,voter,LB,REP,B,NL,M,Age Over 66,2,11/27/2023
1162,RANDOLPH,11/07/2023,voter,LC,DEM,U,UN,F,Age 41 - 65,1,11/27/2023
1194,RANDOLPH,11/07/2023,voter,SW,DEM,U,UN,U,Age Over 66,1,11/27/2023
1203,RANDOLPH,11/07/2023,voter,AR,REP,W,NL,M,Age Over 66,160,11/27/2023
1651,RANDOLPH,11/07/2023,voter,ST,DEM,O,NL,F,Age 41 - 65,1,11/27/2023
1690,RANDOLPH,11/07/2023,voter,AS,UNA,W,UN,F,Age 41 - 65,30,11/27/2023
1794,RANDOLPH,11/07/2023,voter,NM,DEM,W,NL,F,Age 18 - 25,5,11/27/2023
1799,RANDOLPH,11/07/2023,voter,AW,UNA,O,NL,M,Age 41 - 65,1,11/27/2023
1807,RANDOLPH,11/07/2023,voter,AW,DEM,W,UN,M,Age 18 - 25,4,11/27/2023
1831,RANDOLPH,11/07/2023,voter,DR,UNA,I,UN,F,Age 26 - 40,2,11/27/2023
1845,RANDOLPH,11/07/2023,voter,AN,DEM,W,UN,M,Age 18 - 25,2,11/27/2023
2144,RANDOLPH,11/07/2023,voter,TR,REP,I,NL,F,Age 41 - 65,1,11/27/2023
2211,RANDOLPH,11/07/2023,voter,DR,REP,U,UN,U,Age 41 - 65,17,11/27/2023
2245,RANDOLPH,11/07/2023,voter,DR,UNA,W,NL,M,Age 26 - 40,55,11/27/2023
2301,RANDOLPH,11/07/2023,voter,,REP,I,NL,F,Age 41 - 65,1,11/27/2023
2342,RANDOLPH,11/07/2023,voter,NM,UNA,U,UN,U,Age Over 66,1,11/27/2023
2343,RANDOLPH,11/07/2023,voter,RM,UNA,W,UN,F,Age 41 - 65,36,11/27/2023
2352,RANDOLPH,11/07/2023,voter,AR,UNA,W,NL,M,Age 26 - 40,62,11/27/2023
2392,RANDOLPH,11/07/2023,voter,TR,DEM,U,HL,F,Age 41 - 65,1,11/27/2023
2414,RANDOLPH,11/07/2023,voter,AR,DEM,I,NL,F,Age 41 - 65,1,11/27/2023
2427,RANDOLPH,11/07/2023,voter,TR,UNA,O,UN,M,Age 26 - 40,2,11/27/2023
2444,RANDOLPH,11/07/2023,voter,AN,LIB,O,HL,F,Age 18 - 25,1,11/27/2023
2613,RANDOLPH,11/07/2023,voter,RM,UNA,W,NL,F,Age Over 66,50,11/27/2023
2676,RANDOLPH,11/07/2023,voter,UG,LIB,W,UN,M,Age 41 - 65,2,11/27/2023
2727,RANDOLPH,11/07/2023,voter,SE,DEM,W,UN,M,Age Over 66,1,11/27/2023
2741,RANDOLPH,11/07/2023,voter,,UNA,U,HL,M,Age Over 66,1,11/27/2023
2803,RANDOLPH,11/07/2023,voter,SW,UNA,W,NL,U,Age 41 - 65,1,11/27/2023
2815,RANDOLPH,11/07/2023,voter,SO,UNA,O,UN,F,Age 41 - 65,1,11/27/2023
2826,RANDOLPH,11/07/2023,voter,AE,UNA,W,UN,F,Age 18 - 25,18,11/27/2023
2867,RANDOLPH,11/07/2023,voter,UG,UNA,W,NL,F,Age 26 - 40,37,11/27/2023
2923,RANDOLPH,11/07/2023,voter,DR,UNA,O,HL,F,Age 26 - 40,8,11/27/2023
2951,RANDOLPH,11/07/2023,voter,GR,UNA,O,HL,M,Age 26 - 40,12,11/27/2023
3068,RANDOLPH,11/07/2023,voter,DR,REP,B,UN,M,Age 18 - 25,2,11/27/2023
3091,RANDOLPH,11/07/2023,voter,NM,DEM,M,NL,F,Age 26 - 40,1,11/27/2023
3106,RANDOLPH,11/07/2023,voter,AR,LIB,W,NL,F,Age 18 - 25,2,11/27/2023
3497,RANDOLPH,11/07/2023,voter,AN,UNA,W,UN,M,Age 18 - 25,31,11/27/2023
3551,RANDOLPH,11/07/2023,voter,SE,DEM,W,HL,M,Age Over 66,1,11/27/2023
3612,RANDOLPH,11/07/2023,voter,UG,DEM,O,NL,M,Age Over 66,1,11/27/2023
3670,RANDOLPH,11/07/2023,voter,RM,REP,U,UN,U,Age Over 66,5,11/27/2023
3740,RANDOLPH,11/07/2023,voter,,DEM,W,UN,F,Age 18 - 25,6,11/27/2023
3789,RANDOLPH,11/07/2023,voter,TR,UNA,B,UN,M,Age 26 - 40,1,11/27/2023
3833,RANDOLPH,11/07/2023,voter,UG,UNA,W,NL,M,Age 41 - 65,58,11/27/2023
3850,RANDOLPH,11/07/2023,voter,TR,UNA,W,UN,F,Age Over 66,12,11/27/2023
3928,RANDOLPH,11/07/2023,voter,LB,REP,O,NL,M,Age 26 - 40,1,11/27/2023
3953,RANDOLPH,11/07/2023,voter,,UNA,W,UN,M,Age 26 - 40,18,11/27/2023
3978,RANDOLPH,11/07/2023,voter,AE,DEM,W,NL,M,Age 26 - 40,11,11/27/2023
4011,RANDOLPH,11/07/2023,voter,AR,REP,W,UN,U,Age Over 66,2,11/27/2023
4088,RANDOLPH,11/07/2023,voter,UG,UNA,W,UN,M,Age 41 - 65,43,11/27/2023
4129,RANDOLPH,11/07/2023,voter,AR,REP,M,NL,F,Age 18 - 25,1,11/27/2023
4186,RANDOLPH,11/07/2023,voter,AW,UNA,U,HL,M,Age 18 - 25,3,11/27/2023
4285,RANDOLPH,11/07/2023,voter,SO,DEM,B,UN,F,Age 41 - 65,6,11/27/2023
4307,RANDOLPH,11/07/2023,voter,TB,UNA,W,NL,M,Age Over 66,52,11/27/2023
4382,RANDOLPH,11/07/2023,voter,RN,UNA,B,NL,F,Age 41 - 65,2,11/27/2023
4491,RANDOLPH,11/07/2023,voter,LB,LIB,B,NL,M,Age 18 - 25,1,11/27/2023
4573,RANDOLPH,11/07/2023,voter,ST,UNA,O,HL,F,Age 18 - 25,5,11/27/2023
4603,RANDOLPH,11/07/2023,voter,AR,REP,O,NL,F,Age 26 - 40,1,11/27/2023
4690,RANDOLPH,11/07/2023,voter,UG,UNA,O,NL,F,Age 41 - 65,1,11/27/2023
4755,RANDOLPH,11/07/2023,voter,ST,UNA,W,UN,F,Age Over 66,10,11/27/2023
4767,RANDOLPH,11/07/2023,voter,TR,DEM,O,HL,F,Age 18 - 25,1,11/27/2023
4810,RANDOLPH,11/07/2023,voter,TR,REP,U,HL,F,Age 41 - 65,2,11/27/2023
4854,RANDOLPH,11/07/2023,voter,AN,UNA,M,HL,M,Age 26 - 40,2,11/27/2023
4926,RANDOLPH,11/07/2023,voter,TR,UNA,U,NL,M,Age 41 - 65,1,11/27/2023
5036,RANDOLPH,11/07/2023,voter,TR,UNA,O,UN,F,Age 18 - 25,1,11/27/2023
5079,RANDOLPH,11/07/2023,voter,SE,UNA,U,UN,M,Age Over 66,1,11/27/2023
5088,RANDOLPH,11/07/2023,voter,NM,REP,W,UN,F,Age 26 - 40,33,11/27/2023
5161,RANDOLPH,11/07/2023,voter,AN,REP,W,NL,M,Age Over 66,66,11/27/2023
5165,RANDOLPH,11/07/2023,voter,LB,REP,W,NL,U,Age Over 66,1,11/27/2023
5274,RANDOLPH,11/07/2023,voter,TR,UNA,W,NL,M,Age Over 66,1,11/27/2023
5315,RANDOLPH,11/07/2023,voter,AE,UNA,B,UN,F,Age 41 - 65,18,11/27/2023
5382,RANDOLPH,11/07/2023,voter,RM,DEM,M,NL,F,Age 18 - 25,1,11/27/2023
5412,RANDOLPH,11/07/2023,voter,SW,REP,W,UN,M,Age 18 - 25,28,11/27/2023
5459,RANDOLPH,11/07/2023,voter,UG,UNA,A,UN,M,Age 26 - 40,1,11/27/2023
5590,RANDOLPH,11/07/2023,voter,BC,UNA,M,NL,M,Age 41 - 65,1,11/27/2023
5631,RANDOLPH,11/07/2023,voter,AE,REP,A,UN,F,Age 41 - 65,2,11/27/2023
5794,RANDOLPH,11/07/2023,voter,ST,UNA,U,UN,F,Age Over 66,2,11/27/2023
5840,RANDOLPH,11/07/2023,voter,SW,DEM,W,UN,F,Age 18 - 25,1,11/27/2023
5845,RANDOLPH,11/07/2023,voter,AR,REP,A,UN,M,Age 26 - 40,1,11/27/2023
5869,RANDOLPH,11/07/2023,voter,UG,DEM,W,HL,F,Age 18 - 25,1,11/27/2023
5872,RANDOLPH,11/07/2023,voter,GR,REP,W,UN,M,Age 26 - 40,71,11/27/2023
5961,RANDOLPH,11/07/2023,voter,AW,UNA,W,UN,F,Age 18 - 25,25,11/27/2023
6033,RANDOLPH,11/07/2023,voter,AW,UNA,A,NL,F,Age 41 - 65,2,11/27/2023
6078,RANDOLPH,11/07/2023,voter,AE,DEM,U,UN,F,Age 18 - 25,6,11/27/2023
6311,RANDOLPH,11/07/2023,voter,UG,DEM,B,NL,M,Age 26 - 40,4,11/27/2023
6355,RANDOLPH,11/07/2023,voter,TR,REP,O,NL,F,Age 41 - 65,1,11/27/2023
6383,RANDOLPH,11/07/2023,voter,SW,REP,U,NL,F,Age 18 - 25,1,11/27/2023
6503,RANDOLPH,11/07/2023,voter,AR,DEM,W,UN,F,Age 41 - 65,6,11/27/2023
6525,RANDOLPH,11/07/2023,voter,TR,UNA,W,UN,U,Age 26 - 40,1,11/27/2023
6547,RANDOLPH,11/07/2023,voter,NM,UNA,W,UN,M,Age 41 - 65,21,11/27/2023
6875,RANDOLPH,11/07/2023,voter,LB,DEM,B,UN,M,Age 18 - 25,3,11/27/2023
6928,RANDOLPH,11/07/2023,voter,ST,REP,W,UN,U,Age 41 - 65,2,11/27/2023
6931,RANDOLPH,11/07/2023,voter,UG,DEM,O,UN,F,Age 18 - 25,1,11/27/2023
6947,RANDOLPH,11/07/2023,voter,TB,UNA,U,NL,U,Age 41 - 65,1,11/27/2023
6965,RANDOLPH,11/07/2023,voter,RN,UNA,B,UN,F,Age Over 66,1,11/27/2023
7009,RANDOLPH,11/07/2023,voter,,REP,U,UN,U,Age 26 - 40,16,11/27/2023
7048,RANDOLPH,11/07/2023,voter,DR,DEM,B,NL,U,Age 41 - 65,2,11/27/2023
7092,RANDOLPH,11/07/2023,voter,AN,DEM,U,UN,M,Age 18 - 25,8,11/27/2023
7118,RANDOLPH,11/07/2023,voter,AE,DEM,W,UN,F,Age Over 66,19,11/27/2023
7142,RANDOLPH,11/07/2023,voter,AR,DEM,O,NL,M,Age 41 - 65,4,11/27/2023
7180,RANDOLPH,11/07/2023,voter,NM,REP,B,NL,F,Age 41 - 65,1,11/27/2023
7191,RANDOLPH,11/07/2023,voter,AR,REP,O,HL,M,Age 18 - 25,2,11/27/2023
7470,RANDOLPH,11/07/2023,voter,AR,UNA,W,NL,F,Age 18 - 25,27,11/27/2023
7472,RANDOLPH,11/07/2023,voter,DR,DEM,U,UN,M,Age 26 - 40,1,11/27/2023
7606,RANDOLPH,11/07/2023,voter,RN,REP,O,HL,M,Age 41 - 65,3,11/27/2023
7670,RANDOLPH,11/07/2023,voter,AR,DEM,W,UN,U,Age Over 66,1,11/27/2023
7727,RANDOLPH,11/07/2023,voter,SW,UNA,W,NL,U,Age 18 - 25,1,11/27/2023
7916,RANDOLPH,11/07/2023,voter,RN,UNA,U,UN,M,Age 26 - 40,2,11/27/2023
7993,RANDOLPH,11/07/2023,voter,NM,REP,W,UN,F,Age 41 - 65,38,11/27/2023
8127,RANDOLPH,11/07/2023,voter,NM,UNA,W,NL,M,Age 18 - 25,14,11/27/2023
8238,RANDOLPH,11/07/2023,voter,AW,REP,W,NL,U,Age 26 - 40,2,11/27/2023
8265,RANDOLPH,11/07/2023,voter,RM,UNA,I,NL,M,Age 41 - 65,1,11/27/2023
8409,RANDOLPH,11/07/2023,voter,NM,UNA,A,UN,F,Age 26 - 40,1,11/27/2023
8457,RANDOLPH,11/07/2023,voter,LB,UNA,W,NL,M,Age Over 66,50,11/27/2023
8562,RANDOLPH,11/07/2023,voter,AW,REP,W,NL,M,Age 18 - 25,9,11/27/2023
8667,RANDOLPH,11/07/2023,voter,TR,DEM,A,UN,M,Age Over 66,2,11/27/2023
8710,RANDOLPH,11/07/2023,voter,TT,UNA,A,UN,M,Age 41 - 65,1,11/27/2023
