,County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
758,RANDOLPH,11/7/23,AE,4,C,ASHEBORO CITY SCHOOLS BOARD OF EDUCATION,Gidget Kidd, ,3,169,126,6,0,301,Y
759,RANDOLPH,11/7/23,AE,4,C,ASHEBORO CITY SCHOOLS BOARD OF EDUCATION,Gwen Williams, ,3,187,123,6,0,316,Y
760,RANDOLPH,11/7/23,AE,4,C,ASHEBORO CITY SCHOOLS BOARD OF EDUCATION,Melissa Calloway, ,3,181,138,8,0,327,Y
761,RANDOLPH,11/7/23,AE,4,C,ASHEBORO CITY SCHOOLS BOARD OF EDUCATION,Ryan Patton, ,3,180,128,3,0,311,Y
762,RANDOLPH,11/7/23,AE,4,C,ASHEBORO CITY SCHOOLS BOARD OF EDUCATION,Todd Dulaney, ,3,128,72,6,0,206,Y
770,RANDOLPH,11/7/23,AN,4,C,ASHEBORO CITY SCHOOLS BOARD OF EDUCATION,Gidget Kidd, ,3,54,72,0,0,126,Y
771,RANDOLPH,11/7/23,AN,4,C,ASHEBORO CITY SCHOOLS BOARD OF EDUCATION,Gwen Williams, ,3,46,23,0,0,69,Y
772,RANDOLPH,11/7/23,AN,4,C,ASHEBORO CITY SCHOOLS BOARD OF EDUCATION,Melissa Calloway, ,3,56,79,0,0,135,Y
773,RANDOLPH,11/7/23,AN,4,C,ASHEBORO CITY SCHOOLS BOARD OF EDUCATION,Ryan Patton, ,3,44,64,0,0,108,Y
774,RANDOLPH,11/7/23,AN,4,C,ASHEBORO CITY SCHOOLS BOARD OF EDUCATION,Todd Dulaney, ,3,31,14,0,0,45,Y
793,RANDOLPH,11/7/23,AS,4,C,ASHEBORO CITY SCHOOLS BOARD OF EDUCATION,Gidget Kidd, ,3,169,181,1,0,351,Y
794,RANDOLPH,11/7/23,AS,4,C,ASHEBORO CITY SCHOOLS BOARD OF EDUCATION,Gwen Williams, ,3,125,74,0,0,199,Y
795,RANDOLPH,11/7/23,AS,4,C,ASHEBORO CITY SCHOOLS BOARD OF EDUCATION,Melissa Calloway, ,3,182,195,1,0,378,Y
796,RANDOLPH,11/7/23,AS,4,C,ASHEBORO CITY SCHOOLS BOARD OF EDUCATION,Ryan Patton, ,3,166,183,1,0,350,Y
797,RANDOLPH,11/7/23,AS,4,C,ASHEBORO CITY SCHOOLS BOARD OF EDUCATION,Todd Dulaney, ,3,75,54,0,0,129,Y
805,RANDOLPH,11/7/23,AW,4,C,ASHEBORO CITY SCHOOLS BOARD OF EDUCATION,Gidget Kidd, ,3,182,205,0,0,387,Y
806,RANDOLPH,11/7/23,AW,4,C,ASHEBORO CITY SCHOOLS BOARD OF EDUCATION,Gwen Williams, ,3,174,173,1,2,350,Y
807,RANDOLPH,11/7/23,AW,4,C,ASHEBORO CITY SCHOOLS BOARD OF EDUCATION,Melissa Calloway, ,3,195,230,1,1,427,Y
808,RANDOLPH,11/7/23,AW,4,C,ASHEBORO CITY SCHOOLS BOARD OF EDUCATION,Ryan Patton, ,3,215,223,0,2,440,Y
809,RANDOLPH,11/7/23,AW,4,C,ASHEBORO CITY SCHOOLS BOARD OF EDUCATION,Todd Dulaney, ,3,131,128,1,1,261,Y
817,RANDOLPH,11/7/23,BC,4,C,ASHEBORO CITY SCHOOLS BOARD OF EDUCATION,Gidget Kidd, ,3,6,7,0,0,13,Y
