county_desc,election_date,stats_type,precinct_abbrv,precinct_name,vtd_abbrv,party_cd,race_code,ethnic_code,sex_code,age,total_voters,update_date
RANDOLPH,11/07/2023,voter,UG,UNION GROVE,16,DEM,O,HL,M,Age 18 - 25,2,11/27/2023
RANDOLPH,11/07/2023,voter,DR,DEEP RIVER,20,LIB,O,UN,F,Age 26 - 40,1,11/27/2023
RANDOLPH,11/07/2023,voter,AE,ASHEBORO EAST,06,REP,A,NL,F,Age Over 66,1,11/27/2023
RANDOLPH,11/07/2023,voter,AN,ASHEBORO NORTH,10,REP,W,NL,U,Age 26 - 40,5,11/27/2023
RANDOLPH,11/07/2023,voter,SW,SOUTHWEST,24,DEM,U,UN,U,Age Over 66,1,11/27/2023
RANDOLPH,11/07/2023,voter,AS,ASHEBORO SOUTH,11,UNA,W,UN,F,Age 41 - 65,30,11/27/2023
RANDOLPH,11/07/2023,voter,AW,ASHEBORO WEST,12,UNA,O,NL,M,Age 41 - 65,1,11/27/2023
RANDOLPH,11/07/2023,voter,AW,ASHEBORO WEST,12,DEM,W,UN,M,Age 18 - 25,4,11/27/2023
RANDOLPH,11/07/2023,voter,DR,DEEP RIVER,20,UNA,I,UN,F,Age 26 - 40,2,11/27/2023
RANDOLPH,11/07/2023,voter,AN,ASHEBORO NORTH,10,DEM,W,UN,M,Age 18 - 25,2,11/27/2023
RANDOLPH,11/07/2023,voter,DR,DEEP RIVER,19,REP,U,UN,U,Age 41 - 65,17,11/27/2023
RANDOLPH,11/07/2023,voter,DR,DEEP RIVER,20,UNA,W,NL,M,Age 26 - 40,55,11/27/2023
RANDOLPH,11/07/2023,voter,AN,ASHEBORO NORTH,10,LIB,O,HL,F,Age 18 - 25,1,11/27/2023
RANDOLPH,11/07/2023,voter,UG,UNION GROVE,16,LIB,W,UN,M,Age 41 - 65,2,11/27/2023
RANDOLPH,11/07/2023,voter,SW,SOUTHWEST,24,UNA,W,NL,U,Age 41 - 65,1,11/27/2023
RANDOLPH,11/07/2023,voter,AE,ASHEBORO EAST,05,UNA,W,UN,F,Age 18 - 25,18,11/27/2023
RANDOLPH,11/07/2023,voter,UG,UNION GROVE,16,UNA,W,NL,F,Age 26 - 40,37,11/27/2023
RANDOLPH,11/07/2023,voter,DR,DEEP RIVER,20,UNA,O,HL,F,Age 26 - 40,8,11/27/2023
RANDOLPH,11/07/2023,voter,GR,GRANT,21,UNA,O,HL,M,Age 26 - 40,12,11/27/2023
RANDOLPH,11/07/2023,voter,DR,DEEP RIVER,20,REP,B,UN,M,Age 18 - 25,2,11/27/2023
RANDOLPH,11/07/2023,voter,AN,ASHEBORO NORTH,10,UNA,W,UN,M,Age 18 - 25,31,11/27/2023
RANDOLPH,11/07/2023,voter,UG,UNION GROVE,15,DEM,O,NL,M,Age Over 66,1,11/27/2023
RANDOLPH,11/07/2023,voter,UG,UNION GROVE,40,UNA,W,NL,M,Age 41 - 65,58,11/27/2023
RANDOLPH,11/07/2023,voter,AE,ASHEBORO EAST,06,DEM,W,NL,M,Age 26 - 40,11,11/27/2023
RANDOLPH,11/07/2023,voter,UG,UNION GROVE,16,UNA,W,UN,M,Age 41 - 65,43,11/27/2023
RANDOLPH,11/07/2023,voter,AW,ASHEBORO WEST,07,UNA,U,HL,M,Age 18 - 25,3,11/27/2023
RANDOLPH,11/07/2023,voter,RN,RANDLEMAN,33,UNA,B,NL,F,Age 41 - 65,2,11/27/2023
RANDOLPH,11/07/2023,voter,UG,UNION GROVE,40,UNA,O,NL,F,Age 41 - 65,1,11/27/2023
RANDOLPH,11/07/2023,voter,AN,ASHEBORO NORTH,10,UNA,M,HL,M,Age 26 - 40,2,11/27/2023
RANDOLPH,11/07/2023,voter,AN,ASHEBORO NORTH,10,REP,W,NL,M,Age Over 66,66,11/27/2023
RANDOLPH,11/07/2023,voter,AE,ASHEBORO EAST,05,UNA,B,UN,F,Age 41 - 65,18,11/27/2023
RANDOLPH,11/07/2023,voter,SW,SOUTHWEST,24,REP,W,UN,M,Age 18 - 25,28,11/27/2023
RANDOLPH,11/07/2023,voter,UG,UNION GROVE,15,UNA,A,UN,M,Age 26 - 40,1,11/27/2023
RANDOLPH,11/07/2023,voter,BC,BACK CREEK,13,UNA,M,NL,M,Age 41 - 65,1,11/27/2023
RANDOLPH,11/07/2023,voter,AE,ASHEBORO EAST,05,REP,A,UN,F,Age 41 - 65,2,11/27/2023
RANDOLPH,11/07/2023,voter,SW,SOUTHWEST,24,DEM,W,UN,F,Age 18 - 25,1,11/27/2023
RANDOLPH,11/07/2023,voter,UG,UNION GROVE,15,DEM,W,HL,F,Age 18 - 25,1,11/27/2023
RANDOLPH,11/07/2023,voter,GR,GRANT,21,REP,W,UN,M,Age 26 - 40,71,11/27/2023
RANDOLPH,11/07/2023,voter,AW,ASHEBORO WEST,07,UNA,W,UN,F,Age 18 - 25,25,11/27/2023
RANDOLPH,11/07/2023,voter,AW,ASHEBORO WEST,12,UNA,A,NL,F,Age 41 - 65,2,11/27/2023
RANDOLPH,11/07/2023,voter,AE,ASHEBORO EAST,06,DEM,U,UN,F,Age 18 - 25,6,11/27/2023
RANDOLPH,11/07/2023,voter,UG,UNION GROVE,15,DEM,B,NL,M,Age 26 - 40,4,11/27/2023
RANDOLPH,11/07/2023,voter,SW,SOUTHWEST,18,REP,U,NL,F,Age 18 - 25,1,11/27/2023
RANDOLPH,11/07/2023,voter,UG,UNION GROVE,15,DEM,O,UN,F,Age 18 - 25,1,11/27/2023
RANDOLPH,11/07/2023,voter,RN,RANDLEMAN,33,UNA,B,UN,F,Age Over 66,1,11/27/2023
RANDOLPH,11/07/2023,voter,DR,DEEP RIVER,20,DEM,B,NL,U,Age 41 - 65,2,11/27/2023
RANDOLPH,11/07/2023,voter,AN,ASHEBORO NORTH,10,DEM,U,UN,M,Age 18 - 25,8,11/27/2023
RANDOLPH,11/07/2023,voter,AE,ASHEBORO EAST,05,DEM,W,UN,F,Age Over 66,19,11/27/2023
RANDOLPH,11/07/2023,voter,DR,DEEP RIVER,19,DEM,U,UN,M,Age 26 - 40,1,11/27/2023
RANDOLPH,11/07/2023,voter,RN,RANDLEMAN,32,REP,O,HL,M,Age 41 - 65,3,11/27/2023
RANDOLPH,11/07/2023,voter,SW,SOUTHWEST,18,UNA,W,NL,U,Age 18 - 25,1,11/27/2023
RANDOLPH,11/07/2023,voter,RN,RANDLEMAN,33,UNA,U,UN,M,Age 26 - 40,2,11/27/2023
RANDOLPH,11/07/2023,voter,AW,ASHEBORO WEST,12,REP,W,NL,U,Age 26 - 40,2,11/27/2023
RANDOLPH,11/07/2023,voter,AW,ASHEBORO WEST,08,REP,W,NL,M,Age 18 - 25,9,11/27/2023
RANDOLPH,11/07/2023,voter,RN,RANDLEMAN,32,REP,W,UN,F,Age 26 - 40,92,11/27/2023
RANDOLPH,11/07/2023,voter,AN,ASHEBORO NORTH,10,UNA,O,HL,F,Age 41 - 65,6,11/27/2023
RANDOLPH,11/07/2023,voter,AN,ASHEBORO NORTH,10,DEM,I,UN,F,Age 41 - 65,1,11/27/2023
RANDOLPH,11/07/2023,voter,AN,ASHEBORO NORTH,09,UNA,B,NL,M,Age 26 - 40,4,11/27/2023
RANDOLPH,11/07/2023,voter,DR,DEEP RIVER,19,DEM,B,UN,F,Age 26 - 40,3,11/27/2023
RANDOLPH,11/07/2023,voter,AE,ASHEBORO EAST,06,DEM,B,UN,M,Age 18 - 25,7,11/27/2023
RANDOLPH,11/07/2023,voter,UG,UNION GROVE,40,UNA,W,NL,M,Age 18 - 25,11,11/27/2023
RANDOLPH,11/07/2023,voter,UG,UNION GROVE,15,DEM,O,HL,M,Age 41 - 65,4,11/27/2023
RANDOLPH,11/07/2023,voter,RN,RANDLEMAN,32,REP,U,UN,U,Age 41 - 65,38,11/27/2023
RANDOLPH,11/07/2023,voter,AW,ASHEBORO WEST,08,DEM,B,UN,F,Age 26 - 40,17,11/27/2023
RANDOLPH,11/07/2023,voter,BC,BACK CREEK,13,UNA,U,UN,U,Age 18 - 25,8,11/27/2023
RANDOLPH,11/07/2023,voter,GR,GRANT,21,REP,I,NL,F,Age Over 66,1,11/27/2023
RANDOLPH,11/07/2023,voter,RN,RANDLEMAN,32,DEM,W,UN,M,Age 41 - 65,12,11/27/2023
RANDOLPH,11/07/2023,voter,AN,ASHEBORO NORTH,10,DEM,O,HL,M,Age 18 - 25,18,11/27/2023
RANDOLPH,11/07/2023,voter,AW,ASHEBORO WEST,08,LIB,W,NL,F,Age 26 - 40,3,11/27/2023
RANDOLPH,11/07/2023,voter,SW,SOUTHWEST,18,UNA,O,UN,F,Age 18 - 25,1,11/27/2023
RANDOLPH,11/07/2023,voter,UG,UNION GROVE,16,UNA,B,NL,F,Age Over 66,1,11/27/2023
RANDOLPH,11/07/2023,voter,AS,ASHEBORO SOUTH,11,DEM,W,UN,F,Age 41 - 65,11,11/27/2023
RANDOLPH,11/07/2023,voter,UG,UNION GROVE,15,REP,W,HL,M,Age 26 - 40,1,11/27/2023
RANDOLPH,11/07/2023,voter,AW,ASHEBORO WEST,12,UNA,U,UN,M,Age 18 - 25,6,11/27/2023
RANDOLPH,11/07/2023,voter,GR,GRANT,21,DEM,U,UN,M,Age 18 - 25,3,11/27/2023
RANDOLPH,11/07/2023,voter,SW,SOUTHWEST,18,UNA,W,NL,F,Age 18 - 25,16,11/27/2023
RANDOLPH,11/07/2023,voter,SW,SOUTHWEST,18,REP,W,UN,M,Age 18 - 25,32,11/27/2023
RANDOLPH,11/07/2023,voter,AS,ASHEBORO SOUTH,04,UNA,U,UN,U,Age 18 - 25,8,11/27/2023
RANDOLPH,11/07/2023,voter,UG,UNION GROVE,15,DEM,U,HL,F,Age 18 - 25,4,11/27/2023
RANDOLPH,11/07/2023,voter,BC,BACK CREEK,13,UNA,W,NL,M,Age 41 - 65,123,11/27/2023
RANDOLPH,11/07/2023,voter,AE,ASHEBORO EAST,05,DEM,B,NL,F,Age 26 - 40,35,11/27/2023
RANDOLPH,11/07/2023,voter,UG,UNION GROVE,40,REP,O,UN,M,Age Over 66,1,11/27/2023
RANDOLPH,11/07/2023,voter,DR,DEEP RIVER,20,UNA,U,UN,M,Age 41 - 65,2,11/27/2023
RANDOLPH,11/07/2023,voter,RN,RANDLEMAN,33,REP,W,NL,F,Age Over 66,92,11/27/2023
RANDOLPH,11/07/2023,voter,AE,ASHEBORO EAST,06,DEM,O,HL,M,Age Over 66,4,11/27/2023
RANDOLPH,11/07/2023,voter,AS,ASHEBORO SOUTH,11,DEM,A,NL,F,Age 41 - 65,1,11/27/2023
RANDOLPH,11/07/2023,voter,RN,RANDLEMAN,32,UNA,A,UN,M,Age 18 - 25,1,11/27/2023
RANDOLPH,11/07/2023,voter,AS,ASHEBORO SOUTH,04,UNA,B,UN,F,Age 41 - 65,3,11/27/2023
RANDOLPH,11/07/2023,voter,AS,ASHEBORO SOUTH,04,DEM,W,UN,M,Age 41 - 65,7,11/27/2023
RANDOLPH,11/07/2023,voter,AN,ASHEBORO NORTH,10,DEM,U,UN,U,Age Over 66,5,11/27/2023
RANDOLPH,11/07/2023,voter,DR,DEEP RIVER,19,UNA,B,UN,F,Age 41 - 65,1,11/27/2023
RANDOLPH,11/07/2023,voter,GR,GRANT,21,UNA,O,NL,F,Age 41 - 65,2,11/27/2023
RANDOLPH,11/07/2023,voter,UG,UNION GROVE,40,DEM,U,UN,U,Age 18 - 25,5,11/27/2023
RANDOLPH,11/07/2023,voter,UG,UNION GROVE,40,REP,W,NL,M,Age 26 - 40,58,11/27/2023
RANDOLPH,11/07/2023,voter,UG,UNION GROVE,40,REP,U,UN,U,Age 18 - 25,9,11/27/2023
RANDOLPH,11/07/2023,voter,GR,GRANT,21,UNA,W,HL,F,Age 41 - 65,6,11/27/2023
RANDOLPH,11/07/2023,voter,AW,ASHEBORO WEST,07,REP,B,UN,M,Age 18 - 25,2,11/27/2023
RANDOLPH,11/07/2023,voter,RN,RANDLEMAN,32,DEM,B,UN,F,Age 18 - 25,7,11/27/2023
RANDOLPH,11/07/2023,voter,AW,ASHEBORO WEST,08,UNA,B,UN,M,Age 26 - 40,9,11/27/2023
RANDOLPH,11/07/2023,voter,AS,ASHEBORO SOUTH,11,DEM,W,NL,M,Age 18 - 25,3,11/27/2023
RANDOLPH,11/07/2023,voter,AS,ASHEBORO SOUTH,04,REP,B,UN,M,Age 41 - 65,1,11/27/2023
RANDOLPH,11/07/2023,voter,UG,UNION GROVE,15,UNA,W,NL,U,Age 41 - 65,4,11/27/2023
RANDOLPH,11/07/2023,voter,AW,ASHEBORO WEST,08,UNA,O,NL,M,Age Over 66,1,11/27/2023
RANDOLPH,11/07/2023,voter,GR,GRANT,21,DEM,W,UN,M,Age Over 66,14,11/27/2023
RANDOLPH,11/07/2023,voter,BC,BACK CREEK,13,DEM,U,HL,M,Age Over 66,1,11/27/2023
RANDOLPH,11/07/2023,voter,RN,RANDLEMAN,32,DEM,O,HL,F,Age 26 - 40,11,11/27/2023
RANDOLPH,11/07/2023,voter,AE,ASHEBORO EAST,06,REP,W,UN,F,Age Over 66,35,11/27/2023
RANDOLPH,11/07/2023,voter,AN,ASHEBORO NORTH,10,DEM,O,UN,M,Age 41 - 65,1,11/27/2023
RANDOLPH,11/07/2023,voter,RN,RANDLEMAN,32,REP,U,UN,U,Age Over 66,11,11/27/2023
RANDOLPH,11/07/2023,voter,AE,ASHEBORO EAST,06,DEM,B,UN,M,Age Over 66,2,11/27/2023
RANDOLPH,11/07/2023,voter,RN,RANDLEMAN,32,REP,W,NL,M,Age Over 66,165,11/27/2023
RANDOLPH,11/07/2023,voter,UG,UNION GROVE,40,REP,W,UN,M,Age Over 66,29,11/27/2023
RANDOLPH,11/07/2023,voter,AS,ASHEBORO SOUTH,11,DEM,O,NL,F,Age Over 66,1,11/27/2023
RANDOLPH,11/07/2023,voter,SW,SOUTHWEST,18,UNA,B,NL,M,Age 18 - 25,2,11/27/2023
RANDOLPH,11/07/2023,voter,AW,ASHEBORO WEST,07,REP,O,NL,M,Age 41 - 65,1,11/27/2023
RANDOLPH,11/07/2023,voter,AE,ASHEBORO EAST,05,REP,A,UN,F,Age 26 - 40,1,11/27/2023
RANDOLPH,11/07/2023,voter,AS,ASHEBORO SOUTH,11,UNA,O,HL,F,Age 26 - 40,8,11/27/2023
RANDOLPH,11/07/2023,voter,SW,SOUTHWEST,24,UNA,W,UN,F,Age 41 - 65,11,11/27/2023
RANDOLPH,11/07/2023,voter,RN,RANDLEMAN,32,DEM,B,NL,U,Age 41 - 65,2,11/27/2023
RANDOLPH,11/07/2023,voter,DR,DEEP RIVER,20,UNA,W,UN,M,Age 41 - 65,38,11/27/2023
RANDOLPH,11/07/2023,voter,AN,ASHEBORO NORTH,09,REP,W,NL,M,Age Over 66,65,11/27/2023
RANDOLPH,11/07/2023,voter,AS,ASHEBORO SOUTH,11,UNA,B,NL,F,Age 18 - 25,1,11/27/2023
RANDOLPH,11/07/2023,voter,UG,UNION GROVE,15,DEM,B,UN,M,Age 26 - 40,2,11/27/2023
RANDOLPH,11/07/2023,voter,BC,BACK CREEK,13,DEM,W,NL,M,Age 41 - 65,21,11/27/2023
RANDOLPH,11/07/2023,voter,DR,DEEP RIVER,20,REP,W,NL,F,Age 26 - 40,73,11/27/2023
RANDOLPH,11/07/2023,voter,RN,RANDLEMAN,32,UNA,A,NL,F,Age 41 - 65,1,11/27/2023
RANDOLPH,11/07/2023,voter,AS,ASHEBORO SOUTH,04,REP,U,NL,F,Age Over 66,1,11/27/2023
RANDOLPH,11/07/2023,voter,AS,ASHEBORO SOUTH,11,UNA,W,UN,F,Age 26 - 40,33,11/27/2023
RANDOLPH,11/07/2023,voter,RN,RANDLEMAN,33,LIB,O,NL,F,Age 18 - 25,1,11/27/2023
RANDOLPH,11/07/2023,voter,UG,UNION GROVE,40,REP,W,NL,M,Age 41 - 65,154,11/27/2023
RANDOLPH,11/07/2023,voter,RN,RANDLEMAN,33,UNA,U,HL,F,Age 18 - 25,1,11/27/2023
RANDOLPH,11/07/2023,voter,AS,ASHEBORO SOUTH,11,REP,A,NL,F,Age Over 66,1,11/27/2023
RANDOLPH,11/07/2023,voter,AW,ASHEBORO WEST,12,REP,W,NL,M,Age Over 66,106,11/27/2023
RANDOLPH,11/07/2023,voter,AW,ASHEBORO WEST,12,UNA,U,UN,F,Age Over 66,1,11/27/2023
RANDOLPH,11/07/2023,voter,AS,ASHEBORO SOUTH,11,UNA,W,NL,U,Age 41 - 65,1,11/27/2023
RANDOLPH,11/07/2023,voter,AW,ASHEBORO WEST,07,UNA,O,NL,F,Age 41 - 65,1,11/27/2023
RANDOLPH,11/07/2023,voter,AN,ASHEBORO NORTH,10,DEM,B,UN,F,Age 18 - 25,6,11/27/2023
RANDOLPH,11/07/2023,voter,DR,DEEP RIVER,19,REP,W,UN,U,Age 41 - 65,1,11/27/2023
RANDOLPH,11/07/2023,voter,AW,ASHEBORO WEST,12,UNA,W,NL,F,Age 18 - 25,10,11/27/2023
RANDOLPH,11/07/2023,voter,AN,ASHEBORO NORTH,09,DEM,O,HL,M,Age 18 - 25,11,11/27/2023
RANDOLPH,11/07/2023,voter,BC,BACK CREEK,13,REP,O,NL,M,Age 41 - 65,1,11/27/2023
RANDOLPH,11/07/2023,voter,AS,ASHEBORO SOUTH,11,UNA,U,UN,F,Age 26 - 40,2,11/27/2023
RANDOLPH,11/07/2023,voter,SW,SOUTHWEST,18,UNA,W,UN,F,Age Over 66,11,11/27/2023
RANDOLPH,11/07/2023,voter,UG,UNION GROVE,16,UNA,O,HL,F,Age 41 - 65,2,11/27/2023
RANDOLPH,11/07/2023,voter,DR,DEEP RIVER,19,DEM,W,UN,M,Age 41 - 65,12,11/27/2023
RANDOLPH,11/07/2023,voter,DR,DEEP RIVER,19,LIB,W,NL,F,Age 41 - 65,3,11/27/2023
RANDOLPH,11/07/2023,voter,RN,RANDLEMAN,32,LIB,U,UN,M,Age 18 - 25,1,11/27/2023
RANDOLPH,11/07/2023,voter,AW,ASHEBORO WEST,07,REP,W,NL,F,Age 41 - 65,98,11/27/2023
