,County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
2913,MECKLENBURG,11/7/23,1,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Dimple Ajmera,DEM,4,233,89,0,0,322,Y
2915,MECKLENBURG,11/7/23,1,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,"James (Smuggie) Mitchell, Jr.",DEM,4,230,80,0,0,310,Y
2921,MECKLENBURG,11/7/23,1,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,LaWana Slack-Mayfield,DEM,4,196,75,0,0,271,Y
2927,MECKLENBURG,11/7/23,1,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Steven J. DiFiore II,LIB,4,130,39,0,0,169,Y
2929,MECKLENBURG,11/7/23,1,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Victoria Watlington,DEM,4,228,88,0,0,316,Y
2955,MECKLENBURG,11/7/23,64,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Dimple Ajmera,DEM,4,123,54,0,0,177,Y
2957,MECKLENBURG,11/7/23,64,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,"James (Smuggie) Mitchell, Jr.",DEM,4,115,46,0,0,161,Y
2963,MECKLENBURG,11/7/23,64,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,LaWana Slack-Mayfield,DEM,4,113,50,0,0,163,Y
2969,MECKLENBURG,11/7/23,64,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Steven J. DiFiore II,LIB,4,58,17,0,0,75,Y
2971,MECKLENBURG,11/7/23,64,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Victoria Watlington,DEM,4,126,58,0,0,184,Y
3004,MECKLENBURG,11/7/23,65,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Dimple Ajmera,DEM,4,225,90,0,0,315,Y
3006,MECKLENBURG,11/7/23,65,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,"James (Smuggie) Mitchell, Jr.",DEM,4,211,80,0,0,291,Y
3012,MECKLENBURG,11/7/23,65,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,LaWana Slack-Mayfield,DEM,4,203,85,0,0,288,Y
3018,MECKLENBURG,11/7/23,65,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Steven J. DiFiore II,LIB,4,105,20,0,0,125,Y
3020,MECKLENBURG,11/7/23,65,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Victoria Watlington,DEM,4,229,92,0,0,321,Y
3054,MECKLENBURG,11/7/23,66,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Dimple Ajmera,DEM,4,226,70,0,0,296,Y
3056,MECKLENBURG,11/7/23,66,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,"James (Smuggie) Mitchell, Jr.",DEM,4,209,67,0,0,276,Y
3062,MECKLENBURG,11/7/23,66,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,LaWana Slack-Mayfield,DEM,4,193,65,0,0,258,Y
3068,MECKLENBURG,11/7/23,66,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Steven J. DiFiore II,LIB,4,99,22,0,0,121,Y
3070,MECKLENBURG,11/7/23,66,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Victoria Watlington,DEM,4,232,72,0,0,304,Y
3103,MECKLENBURG,11/7/23,67,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Dimple Ajmera,DEM,4,189,133,0,0,322,Y
3105,MECKLENBURG,11/7/23,67,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,"James (Smuggie) Mitchell, Jr.",DEM,4,173,116,0,0,289,Y
3111,MECKLENBURG,11/7/23,67,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,LaWana Slack-Mayfield,DEM,4,172,119,0,0,291,Y
3117,MECKLENBURG,11/7/23,67,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Steven J. DiFiore II,LIB,4,149,50,0,0,199,Y
3119,MECKLENBURG,11/7/23,67,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Victoria Watlington,DEM,4,191,137,0,0,328,Y
3153,MECKLENBURG,11/7/23,68,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Dimple Ajmera,DEM,4,130,82,0,0,212,Y
3155,MECKLENBURG,11/7/23,68,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,"James (Smuggie) Mitchell, Jr.",DEM,4,124,74,0,0,198,Y
3161,MECKLENBURG,11/7/23,68,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,LaWana Slack-Mayfield,DEM,4,114,74,0,0,188,Y
3167,MECKLENBURG,11/7/23,68,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Steven J. DiFiore II,LIB,4,85,16,0,0,101,Y
3169,MECKLENBURG,11/7/23,68,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Victoria Watlington,DEM,4,136,81,0,0,217,Y
3203,MECKLENBURG,11/7/23,69,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Dimple Ajmera,DEM,4,422,196,0,0,618,Y
3205,MECKLENBURG,11/7/23,69,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,"James (Smuggie) Mitchell, Jr.",DEM,4,412,171,0,0,583,Y
3211,MECKLENBURG,11/7/23,69,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,LaWana Slack-Mayfield,DEM,4,366,167,0,0,533,Y
3217,MECKLENBURG,11/7/23,69,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Steven J. DiFiore II,LIB,4,281,106,0,0,387,Y
3219,MECKLENBURG,11/7/23,69,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Victoria Watlington,DEM,4,420,195,0,0,615,Y
3253,MECKLENBURG,11/7/23,70,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Dimple Ajmera,DEM,4,298,201,0,0,499,Y
3255,MECKLENBURG,11/7/23,70,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,"James (Smuggie) Mitchell, Jr.",DEM,4,310,179,0,0,489,Y
3261,MECKLENBURG,11/7/23,70,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,LaWana Slack-Mayfield,DEM,4,269,171,0,0,440,Y
3267,MECKLENBURG,11/7/23,70,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Steven J. DiFiore II,LIB,4,202,69,0,0,271,Y
3269,MECKLENBURG,11/7/23,70,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Victoria Watlington,DEM,4,307,188,0,0,495,Y
3303,MECKLENBURG,11/7/23,71,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Dimple Ajmera,DEM,4,215,91,0,0,306,Y
3305,MECKLENBURG,11/7/23,71,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,"James (Smuggie) Mitchell, Jr.",DEM,4,209,76,0,0,285,Y
3311,MECKLENBURG,11/7/23,71,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,LaWana Slack-Mayfield,DEM,4,169,83,0,0,252,Y
3317,MECKLENBURG,11/7/23,71,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Steven J. DiFiore II,LIB,4,161,66,0,0,227,Y
3319,MECKLENBURG,11/7/23,71,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Victoria Watlington,DEM,4,210,90,0,0,300,Y
3353,MECKLENBURG,11/7/23,72,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Dimple Ajmera,DEM,4,207,106,0,0,313,Y
3355,MECKLENBURG,11/7/23,72,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,"James (Smuggie) Mitchell, Jr.",DEM,4,182,95,0,0,277,Y
3361,MECKLENBURG,11/7/23,72,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,LaWana Slack-Mayfield,DEM,4,171,95,0,0,266,Y
3367,MECKLENBURG,11/7/23,72,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Steven J. DiFiore II,LIB,4,156,33,0,0,189,Y
3369,MECKLENBURG,11/7/23,72,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Victoria Watlington,DEM,4,202,105,0,0,307,Y
3404,MECKLENBURG,11/7/23,137,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Dimple Ajmera,DEM,4,405,154,0,0,559,Y
3406,MECKLENBURG,11/7/23,137,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,"James (Smuggie) Mitchell, Jr.",DEM,4,363,147,0,0,510,Y
3412,MECKLENBURG,11/7/23,137,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,LaWana Slack-Mayfield,DEM,4,333,144,0,0,477,Y
3418,MECKLENBURG,11/7/23,137,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Steven J. DiFiore II,LIB,4,276,72,0,0,348,Y
3420,MECKLENBURG,11/7/23,137,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Victoria Watlington,DEM,4,387,155,0,0,542,Y
3454,MECKLENBURG,11/7/23,138,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Dimple Ajmera,DEM,4,150,103,0,0,253,Y
3456,MECKLENBURG,11/7/23,138,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,"James (Smuggie) Mitchell, Jr.",DEM,4,150,98,0,0,248,Y
3462,MECKLENBURG,11/7/23,138,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,LaWana Slack-Mayfield,DEM,4,145,97,0,0,242,Y
3468,MECKLENBURG,11/7/23,138,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Steven J. DiFiore II,LIB,4,34,18,0,0,52,Y
3470,MECKLENBURG,11/7/23,138,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Victoria Watlington,DEM,4,150,101,0,0,251,Y
3504,MECKLENBURG,11/7/23,139.1,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Dimple Ajmera,DEM,4,220,118,0,0,338,Y
3506,MECKLENBURG,11/7/23,139.1,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,"James (Smuggie) Mitchell, Jr.",DEM,4,206,111,0,0,317,Y
3512,MECKLENBURG,11/7/23,139.1,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,LaWana Slack-Mayfield,DEM,4,196,112,0,0,308,Y
