,County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
764,RANDOLPH,11/7/23,AE,5,C,CITY OF ASHEBORO CITY COUNCIL,Charles Swiers, ,3,150,117,3,0,270,Y
765,RANDOLPH,11/7/23,AE,5,C,CITY OF ASHEBORO CITY COUNCIL,Eddie Burks, ,3,150,124,9,0,283,Y
766,RANDOLPH,11/7/23,AE,5,C,CITY OF ASHEBORO CITY COUNCIL,Harry Okeke, ,3,82,52,5,0,139,Y
767,RANDOLPH,11/7/23,AE,5,C,CITY OF ASHEBORO CITY COUNCIL,Jane Hughes Redding, ,3,153,120,6,0,279,Y
768,RANDOLPH,11/7/23,AE,5,C,CITY OF ASHEBORO CITY COUNCIL,Joey Trogdon, ,3,187,125,5,0,317,Y
776,RANDOLPH,11/7/23,AN,5,C,CITY OF ASHEBORO CITY COUNCIL,Charles Swiers, ,3,56,68,2,1,127,Y
777,RANDOLPH,11/7/23,AN,5,C,CITY OF ASHEBORO CITY COUNCIL,Eddie Burks, ,3,74,99,2,0,175,Y
778,RANDOLPH,11/7/23,AN,5,C,CITY OF ASHEBORO CITY COUNCIL,Harry Okeke, ,3,29,20,0,0,49,Y
779,RANDOLPH,11/7/23,AN,5,C,CITY OF ASHEBORO CITY COUNCIL,Jane Hughes Redding, ,3,61,64,0,0,125,Y
780,RANDOLPH,11/7/23,AN,5,C,CITY OF ASHEBORO CITY COUNCIL,Joey Trogdon, ,3,67,73,2,0,142,Y
799,RANDOLPH,11/7/23,AS,5,C,CITY OF ASHEBORO CITY COUNCIL,Charles Swiers, ,3,116,100,0,0,216,Y
800,RANDOLPH,11/7/23,AS,5,C,CITY OF ASHEBORO CITY COUNCIL,Eddie Burks, ,3,120,107,0,0,227,Y
801,RANDOLPH,11/7/23,AS,5,C,CITY OF ASHEBORO CITY COUNCIL,Harry Okeke, ,3,43,23,0,0,66,Y
802,RANDOLPH,11/7/23,AS,5,C,CITY OF ASHEBORO CITY COUNCIL,Jane Hughes Redding, ,3,100,98,0,0,198,Y
803,RANDOLPH,11/7/23,AS,5,C,CITY OF ASHEBORO CITY COUNCIL,Joey Trogdon, ,3,135,99,0,0,234,Y
811,RANDOLPH,11/7/23,AW,5,C,CITY OF ASHEBORO CITY COUNCIL,Charles Swiers, ,3,146,174,0,1,321,Y
812,RANDOLPH,11/7/23,AW,5,C,CITY OF ASHEBORO CITY COUNCIL,Eddie Burks, ,3,138,167,1,0,306,Y
813,RANDOLPH,11/7/23,AW,5,C,CITY OF ASHEBORO CITY COUNCIL,Harry Okeke, ,3,66,49,0,0,115,Y
814,RANDOLPH,11/7/23,AW,5,C,CITY OF ASHEBORO CITY COUNCIL,Jane Hughes Redding, ,3,134,144,1,1,280,Y
