,County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
2934,MECKLENBURG,11/7/23,1,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Annette Albright, ,3,69,16,0,0,85,Y
2935,MECKLENBURG,11/7/23,1,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Bill Fountain, ,3,85,29,0,0,114,Y
2936,MECKLENBURG,11/7/23,1,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Brian Kasher, ,3,40,14,0,0,54,Y
2937,MECKLENBURG,11/7/23,1,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Claire Covington, ,3,103,22,0,0,125,Y
2938,MECKLENBURG,11/7/23,1,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Clara Kennedy Witherspoon, ,3,63,12,0,0,75,Y
2939,MECKLENBURG,11/7/23,1,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Juanrique Pallamente Hall, ,3,9,6,0,0,15,Y
2940,MECKLENBURG,11/7/23,1,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Lenora Shipp, ,3,111,59,0,0,170,Y
2941,MECKLENBURG,11/7/23,1,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Liz Monterrey, ,3,142,64,0,0,206,Y
2942,MECKLENBURG,11/7/23,1,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Michael Johnson, ,3,68,13,0,0,81,Y
2943,MECKLENBURG,11/7/23,1,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Monty Witherspoon, ,3,108,54,0,0,162,Y
2944,MECKLENBURG,11/7/23,1,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Omar Harris, ,3,24,2,0,0,26,Y
2945,MECKLENBURG,11/7/23,1,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Peggy A. Capehart, ,3,17,6,0,0,23,Y
2947,MECKLENBURG,11/7/23,1,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Shamaiye Haynes, ,3,58,19,0,0,77,Y
2975,MECKLENBURG,11/7/23,64,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Annette Albright, ,3,38,6,0,0,44,Y
2976,MECKLENBURG,11/7/23,64,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Bill Fountain, ,3,31,8,0,0,39,Y
2977,MECKLENBURG,11/7/23,64,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Brian Kasher, ,3,19,4,0,0,23,Y
2978,MECKLENBURG,11/7/23,64,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Claire Covington, ,3,28,11,0,0,39,Y
2979,MECKLENBURG,11/7/23,64,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Clara Kennedy Witherspoon, ,3,42,11,0,0,53,Y
2980,MECKLENBURG,11/7/23,64,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Juanrique Pallamente Hall, ,3,13,3,0,0,16,Y
2981,MECKLENBURG,11/7/23,64,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Lenora Shipp, ,3,55,29,0,0,84,Y
2982,MECKLENBURG,11/7/23,64,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Liz Monterrey, ,3,62,31,0,0,93,Y
2983,MECKLENBURG,11/7/23,64,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Michael Johnson, ,3,34,10,0,0,44,Y
2984,MECKLENBURG,11/7/23,64,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Monty Witherspoon, ,3,42,24,0,0,66,Y
2985,MECKLENBURG,11/7/23,64,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Omar Harris, ,3,16,11,0,0,27,Y
2986,MECKLENBURG,11/7/23,64,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Peggy A. Capehart, ,3,11,2,0,0,13,Y
2988,MECKLENBURG,11/7/23,64,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Shamaiye Haynes, ,3,38,17,0,0,55,Y
2990,MECKLENBURG,11/7/23,64,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Tigress Sydney Acute McDaniel, ,3,18,4,0,0,22,Y
3025,MECKLENBURG,11/7/23,65,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Annette Albright, ,3,48,14,0,0,62,Y
3026,MECKLENBURG,11/7/23,65,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Bill Fountain, ,3,71,25,0,0,96,Y
3027,MECKLENBURG,11/7/23,65,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Brian Kasher, ,3,31,15,0,0,46,Y
3028,MECKLENBURG,11/7/23,65,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Claire Covington, ,3,61,19,0,0,80,Y
3029,MECKLENBURG,11/7/23,65,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Clara Kennedy Witherspoon, ,3,46,14,0,0,60,Y
3030,MECKLENBURG,11/7/23,65,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Juanrique Pallamente Hall, ,3,18,6,0,0,24,Y
3031,MECKLENBURG,11/7/23,65,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Lenora Shipp, ,3,129,67,0,0,196,Y
3032,MECKLENBURG,11/7/23,65,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Liz Monterrey, ,3,125,54,0,0,179,Y
3033,MECKLENBURG,11/7/23,65,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Michael Johnson, ,3,53,7,0,0,60,Y
3034,MECKLENBURG,11/7/23,65,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Monty Witherspoon, ,3,109,46,0,0,155,Y
3035,MECKLENBURG,11/7/23,65,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Omar Harris, ,3,30,5,0,0,35,Y
3036,MECKLENBURG,11/7/23,65,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Peggy A. Capehart, ,3,23,10,0,0,33,Y
3038,MECKLENBURG,11/7/23,65,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Shamaiye Haynes, ,3,89,20,0,0,109,Y
