,County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
6951,JOHNSTON,11/7/23,PR24,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Doris Louise Wallace, ,3,2,2,0,0,4,Y
6952,JOHNSTON,11/7/23,PR24,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Felicia C. Baxter, ,3,1,3,0,0,4,Y
6953,JOHNSTON,11/7/23,PR24,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,John A. Dunn, ,3,3,2,0,0,5,Y
6954,JOHNSTON,11/7/23,PR24,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Roger A. Wood, ,3,3,2,0,0,5,Y
6955,JOHNSTON,11/7/23,PR24,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Stephen Rabil, ,3,2,0,0,0,2,Y
6956,JOHNSTON,11/7/23,PR24,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Stuart Ashby Lee, ,3,1,1,0,0,2,Y
6977,JOHNSTON,11/7/23,PR26,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Doris Louise Wallace, ,3,99,80,2,0,181,Y
6978,JOHNSTON,11/7/23,PR26,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Felicia C. Baxter, ,3,49,43,2,0,94,Y
6979,JOHNSTON,11/7/23,PR26,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,John A. Dunn, ,3,18,20,0,0,38,Y
6980,JOHNSTON,11/7/23,PR26,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Roger A. Wood, ,3,30,22,0,0,52,Y
6981,JOHNSTON,11/7/23,PR26,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Stephen Rabil, ,3,38,31,1,0,70,Y
6982,JOHNSTON,11/7/23,PR26,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Stuart Ashby Lee, ,3,36,44,0,0,80,Y
6987,JOHNSTON,11/7/23,PR27A,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Doris Louise Wallace, ,3,49,40,0,0,89,Y
6988,JOHNSTON,11/7/23,PR27A,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Felicia C. Baxter, ,3,33,19,2,0,54,Y
6989,JOHNSTON,11/7/23,PR27A,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,John A. Dunn, ,3,68,76,1,0,145,Y
6990,JOHNSTON,11/7/23,PR27A,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Roger A. Wood, ,3,82,62,0,0,144,Y
6991,JOHNSTON,11/7/23,PR27A,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Stephen Rabil, ,3,74,65,1,0,140,Y
6992,JOHNSTON,11/7/23,PR27A,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Stuart Ashby Lee, ,3,29,26,1,0,56,Y
6997,JOHNSTON,11/7/23,PR27B,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Doris Louise Wallace, ,3,21,39,1,0,61,Y
6998,JOHNSTON,11/7/23,PR27B,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Felicia C. Baxter, ,3,10,9,1,0,20,Y
6999,JOHNSTON,11/7/23,PR27B,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,John A. Dunn, ,3,45,32,1,0,78,Y
7000,JOHNSTON,11/7/23,PR27B,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Roger A. Wood, ,3,59,39,1,0,99,Y
7001,JOHNSTON,11/7/23,PR27B,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Stephen Rabil, ,3,49,30,1,0,80,Y
7002,JOHNSTON,11/7/23,PR27B,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Stuart Ashby Lee, ,3,14,10,1,1,26,Y
7009,JOHNSTON,11/7/23,PR28,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Doris Louise Wallace, ,3,67,63,2,0,132,Y
7010,JOHNSTON,11/7/23,PR28,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Felicia C. Baxter, ,3,28,36,1,1,66,Y
7011,JOHNSTON,11/7/23,PR28,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,John A. Dunn, ,3,130,215,3,0,348,Y
7012,JOHNSTON,11/7/23,PR28,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Roger A. Wood, ,3,136,213,3,0,352,Y
7013,JOHNSTON,11/7/23,PR28,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Stephen Rabil, ,3,121,206,3,1,331,Y
7014,JOHNSTON,11/7/23,PR28,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Stuart Ashby Lee, ,3,62,69,0,0,131,Y
