,county_desc,election_date,stats_type,precinct_abbrv,party_cd,race_code,ethnic_code,sex_code,age,total_voters,update_date
3,MECKLENBURG,11/07/2023,voter,068,UNA,M,HL,M,Age 26 - 40,1,11/27/2023
4,MECKLENBURG,11/07/2023,voter,143,REP,W,NL,F,Age 18 - 25,38,11/27/2023
32,MECKLENBURG,11/07/2023,voter,074,UNA,U,HL,F,Age Over 66,1,11/27/2023
41,MECKLENBURG,11/07/2023,voter,100,REP,M,NL,F,Age 26 - 40,1,11/27/2023
63,MECKLENBURG,11/07/2023,voter,021,REP,W,NL,U,Age 26 - 40,6,11/27/2023
65,MECKLENBURG,11/07/2023,voter,095,UNA,O,HL,F,Age 26 - 40,10,11/27/2023
68,MECKLENBURG,11/07/2023,voter,061,DEM,B,UN,M,Age Over 66,13,11/27/2023
70,MECKLENBURG,11/07/2023,voter,102,LIB,B,NL,M,Age 26 - 40,3,11/27/2023
84,MECKLENBURG,11/07/2023,voter,149,DEM,B,NL,F,Age 18 - 25,102,11/27/2023
85,MECKLENBURG,11/07/2023,voter,205,UNA,U,UN,M,Age 26 - 40,6,11/27/2023
91,MECKLENBURG,11/07/2023,voter,022,UNA,W,NL,M,Age Over 66,11,11/27/2023
94,MECKLENBURG,11/07/2023,voter,132,DEM,U,UN,F,Age 18 - 25,1,11/27/2023
96,MECKLENBURG,11/07/2023,voter,219,REP,W,UN,U,Age Over 66,2,11/27/2023
123,MECKLENBURG,11/07/2023,voter,012,UNA,U,UN,M,Age 41 - 65,5,11/27/2023
129,MECKLENBURG,11/07/2023,voter,087,REP,B,NL,F,Age 26 - 40,1,11/27/2023
138,MECKLENBURG,11/07/2023,voter,018,UNA,W,NL,M,Age 18 - 25,41,11/27/2023
139,MECKLENBURG,11/07/2023,voter,231,REP,A,NL,M,Age 41 - 65,3,11/27/2023
143,MECKLENBURG,11/07/2023,voter,127,DEM,W,NL,M,Age Over 66,93,11/27/2023
151,MECKLENBURG,11/07/2023,voter,234,REP,I,NL,M,Age Over 66,1,11/27/2023
158,MECKLENBURG,11/07/2023,voter,225,DEM,A,UN,M,Age 41 - 65,1,11/27/2023
182,MECKLENBURG,11/07/2023,voter,019,UNA,U,NL,M,Age 41 - 65,2,11/27/2023
186,MECKLENBURG,11/07/2023,voter,225,DEM,O,HL,F,Age 18 - 25,7,11/27/2023
212,MECKLENBURG,11/07/2023,voter,219,UNA,B,UN,M,Age 41 - 65,4,11/27/2023
230,MECKLENBURG,11/07/2023,voter,010,UNA,B,NL,F,Age 18 - 25,1,11/27/2023
253,MECKLENBURG,11/07/2023,voter,080,REP,A,NL,M,Age Over 66,3,11/27/2023
277,MECKLENBURG,11/07/2023,voter,132,DEM,A,NL,F,Age 18 - 25,2,11/27/2023
289,MECKLENBURG,11/07/2023,voter,015,DEM,I,HL,F,Age 26 - 40,1,11/27/2023
303,MECKLENBURG,11/07/2023,voter,043,DEM,A,NL,F,Age 26 - 40,7,11/27/2023
308,MECKLENBURG,11/07/2023,voter,201,UNA,O,UN,M,Age 26 - 40,3,11/27/2023
325,MECKLENBURG,11/07/2023,voter,049,UNA,O,HL,M,Age 26 - 40,10,11/27/2023
326,MECKLENBURG,11/07/2023,voter,213,REP,U,UN,U,Age 18 - 25,3,11/27/2023
391,MECKLENBURG,11/07/2023,voter,205,DEM,M,HL,F,Age Over 66,1,11/27/2023
395,MECKLENBURG,11/07/2023,voter,205,REP,W,NL,F,Age 26 - 40,29,11/27/2023
410,MECKLENBURG,11/07/2023,voter,030,REP,A,NL,M,Age 41 - 65,1,11/27/2023
416,MECKLENBURG,11/07/2023,voter,094,DEM,O,HL,M,Age Over 66,1,11/27/2023
420,MECKLENBURG,11/07/2023,voter,235,UNA,A,UN,M,Age 26 - 40,5,11/27/2023
456,MECKLENBURG,11/07/2023,voter,078.1,DEM,B,UN,F,Age 18 - 25,6,11/27/2023
459,MECKLENBURG,11/07/2023,voter,233,REP,U,UN,F,Age 41 - 65,4,11/27/2023
475,MECKLENBURG,11/07/2023,voter,111,REP,U,UN,U,Age 26 - 40,9,11/27/2023
483,MECKLENBURG,11/07/2023,voter,238.1,DEM,W,NL,M,Age Over 66,22,11/27/2023
491,MECKLENBURG,11/07/2023,voter,116,DEM,O,NL,M,Age Over 66,3,11/27/2023
494,MECKLENBURG,11/07/2023,voter,227,UNA,B,HL,M,Age 18 - 25,1,11/27/2023
