,Unnamed: 0,id,prec_id,enr_desc,county_nam,of_prec_id,county_id,total_vap,hs_grad,scol_nd,bach_deg
4,4,71,007,007,MECKLENBURG,,60,2265.0,335.0,526.0,626.0
18,18,6,001,001,MECKLENBURG,,60,1352.0,133.0,132.0,639.0
19,19,44,003,003,MECKLENBURG,,60,2267.0,725.0,399.0,282.0
41,41,26,002,002,MECKLENBURG,,60,3791.0,376.0,354.0,1790.0
62,62,51,004,004,MECKLENBURG,,60,2225.0,759.0,394.0,707.0
71,71,58,005,005,MECKLENBURG,,60,1721.0,394.0,476.0,355.0
72,72,65,006,006,MECKLENBURG,,60,2840.0,960.0,942.0,399.0
83,83,76,008,008,MECKLENBURG,,60,3576.0,244.0,698.0,1383.0
85,85,80,009,009,MECKLENBURG,,60,6322.0,364.0,426.0,3442.0
121,121,171,012,012,MECKLENBURG,,60,2798.0,668.0,997.0,389.0
157,157,159,010,010,MECKLENBURG,,60,2837.0,45.0,141.0,1703.0
179,179,167,011,011,MECKLENBURG,,60,8512.0,682.0,1564.0,3659.0
185,185,228,020,020,MECKLENBURG,,60,2021.0,94.0,151.0,877.0
194,194,176,013,013,MECKLENBURG,,60,6326.0,981.0,1021.0,2089.0
196,196,177,014,014,MECKLENBURG,,60,5658.0,1001.0,944.0,2103.0
197,197,235,021,021,MECKLENBURG,,60,2440.0,109.0,275.0,990.0
202,202,242,024,024,MECKLENBURG,,60,3769.0,918.0,500.0,1280.0
203,203,183,015,015,MECKLENBURG,,60,4436.0,242.0,462.0,2328.0
207,207,185,016,016,MECKLENBURG,,60,1092.0,529.0,190.0,25.0
210,210,186,017,017,MECKLENBURG,,60,2281.0,796.0,641.0,330.0
213,213,189,018,018,MECKLENBURG,,60,1882.0,30.0,176.0,866.0
219,219,191,019,019,MECKLENBURG,,60,1559.0,58.0,233.0,830.0
250,250,239,022,022,MECKLENBURG,,60,9604.0,864.0,779.0,5510.0
252,252,241,023,023,MECKLENBURG,,60,1968.0,423.0,299.0,821.0
