,Unnamed: 0,County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
0,510,MECKLENBURG,7/26/22,111,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,185,120,0,0,305,Y
1,511,MECKLENBURG,7/26/22,111,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,186,228,0,0,414,Y
2,530,MECKLENBURG,7/26/22,112,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,174,68,0,0,242,Y
3,531,MECKLENBURG,7/26/22,112,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,137,58,0,0,195,Y
4,553,MECKLENBURG,7/26/22,113,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,235,64,0,0,299,Y
5,554,MECKLENBURG,7/26/22,113,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,188,68,0,0,256,Y
6,576,MECKLENBURG,7/26/22,114,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,205,152,0,0,357,Y
7,577,MECKLENBURG,7/26/22,114,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,224,179,0,0,403,Y
8,596,MECKLENBURG,7/26/22,115,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,35,11,0,0,46,Y
9,597,MECKLENBURG,7/26/22,115,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,79,29,0,0,108,Y
10,615,MECKLENBURG,7/26/22,116,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,31,5,0,0,36,Y
11,616,MECKLENBURG,7/26/22,116,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,75,45,0,0,120,Y
12,634,MECKLENBURG,7/26/22,117,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,22,19,0,0,41,Y
13,635,MECKLENBURG,7/26/22,117,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,73,64,0,0,137,Y
14,653,MECKLENBURG,7/26/22,118,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,159,51,0,0,210,Y
15,654,MECKLENBURG,7/26/22,118,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,149,75,0,0,224,Y
16,676,MECKLENBURG,7/26/22,119,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,106,40,0,0,146,Y
17,677,MECKLENBURG,7/26/22,119,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,97,90,0,0,187,Y
18,696,MECKLENBURG,7/26/22,120,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,30,13,0,0,43,Y
19,697,MECKLENBURG,7/26/22,120,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,73,35,0,0,108,Y
20,716,MECKLENBURG,7/26/22,121,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,303,187,0,0,490,Y
21,717,MECKLENBURG,7/26/22,121,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,169,186,0,0,355,Y
22,739,MECKLENBURG,7/26/22,122,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,159,74,0,0,233,Y
23,740,MECKLENBURG,7/26/22,122,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,221,182,0,0,403,Y
24,759,MECKLENBURG,7/26/22,123,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,44,19,0,0,63,Y
25,760,MECKLENBURG,7/26/22,123,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,140,86,0,0,226,Y
26,778,MECKLENBURG,7/26/22,124,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,21,4,0,0,25,Y
27,779,MECKLENBURG,7/26/22,124,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,146,61,0,0,207,Y
28,797,MECKLENBURG,7/26/22,125,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,27,9,0,0,36,Y
29,798,MECKLENBURG,7/26/22,125,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,77,36,0,0,113,Y
30,816,MECKLENBURG,7/26/22,126,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,39,18,0,0,57,Y
