,id,prec_id,enr_desc,county_nam,of_prec_id,county_id,blockid,total_vap,under_9g,9_to_12_nd,hs_grad,scol_nd,assoc_deg,bach_deg,grad_deg_p,less_10k,10k_15k,15k_20k,20k_25k,25k_30k,30k_35k,35k_40k,40k_45k,45k_50k,50k_60k,60k_75k,75k_100k,100k_125k,125k_150k,150k_200k,200k_plus
0,1,0003,ALBEMARLE NUMBER 3,STANLY,,84,,862.0,0.0,65.0,191.0,252.0,122.0,160.0,72.0,188.0,33.0,0.0,17.0,0.0,17.0,18.0,0.0,0.0,82.0,23.0,74.0,36.0,46.0,11.0,0.0
1,2,0003,DREXEL 03,BURKE,,12,,1173.0,25.0,72.0,593.0,188.0,138.0,144.0,13.0,31.0,42.0,99.0,17.0,68.0,66.0,18.0,0.0,16.0,59.0,43.0,113.0,32.0,51.0,13.0,15.0
2,22,0019,LINVILLE 01,BURKE,,12,,1718.0,0.0,161.0,217.0,338.0,61.0,470.0,471.0,18.0,18.0,29.0,0.0,0.0,29.0,17.0,110.0,12.0,0.0,86.0,256.0,34.0,134.0,50.0,58.0
3,23,0019,RIDENHOUR,STANLY,,84,,1687.0,89.0,129.0,478.0,309.0,284.0,293.0,105.0,60.0,12.0,10.0,30.0,5.0,36.0,6.0,16.0,38.0,77.0,45.0,179.0,98.0,73.0,92.0,45.0
4,71,007,007,MECKLENBURG,,60,,2240.0,103.0,74.0,332.0,514.0,236.0,655.0,326.0,72.0,12.0,113.0,46.0,60.0,141.0,14.0,114.0,6.0,207.0,58.0,60.0,96.0,34.0,131.0,202.0
5,72,007,MT. CARMEL METHODIST CHURCH,UNION,,90,,3364.0,30.0,227.0,1285.0,788.0,484.0,379.0,171.0,43.0,0.0,38.0,55.0,72.0,67.0,13.0,182.0,46.0,97.0,119.0,327.0,217.0,160.0,88.0,65.0
6,73,007,SHOCCO,WARREN,,93,,,,,,,,,,,,,,,,,,,,,,,,,
7,74,0070,SALEM,BURKE,,12,,3472.0,34.0,441.0,1050.0,931.0,381.0,416.0,219.0,94.0,109.0,157.0,34.0,79.0,129.0,69.0,41.0,41.0,117.0,179.0,196.0,267.0,62.0,61.0,24.0
8,75,008,WINGATE COMMUNITY CENTER,UNION,,90,,1076.0,0.0,0.0,6.0,1036.0,11.0,23.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3,0007,ALBEMARLE NUMBER 7,STANLY,,84,,853.0,0.0,78.0,254.0,153.0,162.0,175.0,31.0,0.0,0.0,0.0,38.0,60.0,35.0,34.0,107.0,42.0,13.0,27.0,52.0,27.0,0.0,26.0,30.0
10,4,0008,ALBEMARLE NUMBER 8,STANLY,,84,,2232.0,113.0,340.0,1111.0,308.0,127.0,145.0,88.0,217.0,212.0,247.0,15.0,13.0,47.0,15.0,21.0,53.0,108.0,133.0,114.0,40.0,0.0,0.0,0.0
11,25,002,MONROE MIDDLE SCHOOL,UNION,,90,,849.0,20.0,55.0,227.0,282.0,152.0,44.0,69.0,0.0,17.0,18.0,22.0,39.0,118.0,124.0,7.0,6.0,5.0,65.0,49.0,63.0,0.0,0.0,5.0
12,5,001,RIVER,WARREN,,93,,1227.0,11.0,110.0,438.0,257.0,133.0,143.0,135.0,68.0,32.0,11.0,56.0,39.0,20.0,13.0,27.0,3.0,62.0,41.0,85.0,34.0,47.0,27.0,64.0
13,36,0025,FURR NUMBER 2,STANLY,,84,,3303.0,109.0,329.0,1157.0,635.0,491.0,461.0,121.0,95.0,88.0,74.0,57.0,49.0,57.0,29.0,71.0,23.0,103.0,193.0,175.0,237.0,122.0,132.0,169.0
14,37,0026,TYSON,STANLY,,84,,1854.0,139.0,210.0,573.0,420.0,121.0,283.0,108.0,0.0,0.0,16.0,0.0,15.0,16.0,112.0,55.0,70.0,49.0,80.0,172.0,78.0,33.0,53.0,58.0
15,83,01,YORK CHESTER,GASTON,,36,,936.0,95.0,120.0,276.0,197.0,87.0,117.0,44.0,11.0,148.0,74.0,8.0,0.0,0.0,29.0,69.0,67.0,3.0,5.0,97.0,29.0,22.0,18.0,26.0
16,84,01,DANBURY,STOKES,,85,,1312.0,107.0,109.0,422.0,476.0,67.0,64.0,67.0,28.0,9.0,11.0,52.0,19.0,51.0,52.0,28.0,11.0,132.0,67.0,75.0,65.0,5.0,17.0,0.0
17,85,01,ALLENDALE,HOKE,,47,,,,,,,,,,,,,,,,,,,,,,,,,
