,Unnamed: 0,id,prec_id,enr_desc,county_nam,of_prec_id,county_id,total_vap,hs_grad,scol_nd,bach_deg
2167,2167,2308,PR04,BENTONVILLE,JOHNSTON,,51,1446.0,399.0,281.0,191.0
2168,2168,2309,PR07,NORTH BOON HILL,JOHNSTON,,51,3164.0,915.0,1024.0,392.0
2171,2171,2318,PR12A,NORTH CLEVELAND 1,JOHNSTON,,51,3873.0,919.0,953.0,1066.0
2172,2172,2319,PR12B,NORTH CLEVELAND 2,JOHNSTON,,51,5761.0,2064.0,1244.0,1285.0
2173,2173,2320,PR13,NORTH ELEVATION,JOHNSTON,,51,3905.0,1051.0,980.0,812.0
2174,2174,2321,PR14,SOUTH ELEVATION,JOHNSTON,,51,2388.0,875.0,536.0,303.0
2176,2176,2323,PR19,MICRO,JOHNSTON,,51,2269.0,765.0,390.0,430.0
2177,2177,2324,PR20,NORTH ONEALS,JOHNSTON,,51,5606.0,2005.0,1068.0,672.0
2179,2179,2326,PR21,SOUTH ONEALS,JOHNSTON,,51,2077.0,677.0,432.0,392.0
2180,2180,2327,PR22,PINE LEVEL,JOHNSTON,,51,4079.0,1288.0,857.0,562.0
2182,2182,2329,PR23A,NORTH PLEASANT GROVE 1,JOHNSTON,,51,4604.0,1581.0,917.0,850.0
2183,2183,2330,PR23B,NORTH PLEASANT GROVE 2,JOHNSTON,,51,4221.0,1027.0,1119.0,900.0
2184,2184,2331,PR24,EAST SELMA,JOHNSTON,,51,3851.0,1233.0,1143.0,688.0
2187,2187,2334,PR25,,JOHNSTON,,51,4134.0,1300.0,1378.0,520.0
2215,2215,2312,PR08,SOUTH BOON HILL,JOHNSTON,,51,1664.0,730.0,301.0,149.0
2216,2216,2313,PR09,EAST CLAYTON,JOHNSTON,,51,5696.0,1077.0,1183.0,1708.0
2217,2217,2314,PR10A,NORTH CLAYTON 1,JOHNSTON,,51,1793.0,579.0,464.0,282.0
2218,2218,2315,PR10B,NORTH CLAYTON 2,JOHNSTON,,51,4084.0,980.0,1105.0,631.0
2219,2219,2316,PR11A,WEST CLAYTON 1,JOHNSTON,,51,2594.0,807.0,763.0,451.0
2220,2220,2317,PR11B,WEST CLAYTON 2,JOHNSTON,,51,6018.0,1198.0,1653.0,1762.0
2222,2222,2336,PR26,EAST SMITHFIELD,JOHNSTON,,51,4584.0,1503.0,929.0,645.0
2223,2223,2337,PR27A,NORTH SMITHFIELD 1,JOHNSTON,,51,791.0,189.0,86.0,267.0
2224,2224,2338,PR27B,NORTH SMITHFIELD 2,JOHNSTON,,51,2882.0,1050.0,604.0,270.0
2227,2227,2340,PR28,SOUTH SMITHFIELD,JOHNSTON,,51,4934.0,946.0,1181.0,955.0
2229,2229,2342,PR29A,ARCHERS LODGE,JOHNSTON,,51,5571.0,894.0,1587.0,1390.0
2230,2230,2343,PR29B,FLOWERS PLANTATION,JOHNSTON,,51,12748.0,2200.0,2499.0,4050.0
2231,2231,2344,PR30,WILSONS MILLS,JOHNSTON,,51,6313.0,2200.0,1472.0,903.0
2233,2233,2346,PR31A,SOUTHEAST CLEVELAND,JOHNSTON,,51,4192.0,1468.0,938.0,880.0
2234,2234,2347,PR31B,SOUTHWEST CLEVELAND,JOHNSTON,,51,8576.0,1659.0,2127.0,2375.0
2235,2235,2348,PR32,NORTH WILDERS,JOHNSTON,,51,3872.0,1661.0,713.0,617.0
2237,2237,2350,PR33,SOUTH PLEASANT GROVE,JOHNSTON,,51,3786.0,1037.0,938.0,737.0
2238,2238,2351,PR34,SOUTH CLAYTON,JOHNSTON,,51,9411.0,3003.0,2589.0,1704.0
2239,2239,2352,PR35,BANNER,JOHNSTON,,51,5935.0,2242.0,1386.0,844.0
2240,2240,2353,PR36,BEULAH,JOHNSTON,,51,3625.0,1075.0,971.0,413.0
2241,2241,2354,PR37,INGRAMS,JOHNSTON,,51,4810.0,1785.0,1231.0,404.0
2242,2242,2355,PR38,MEADOW,JOHNSTON,,51,2736.0,984.0,409.0,298.0
