,County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
6948,JOHNSTON,11/7/23,PR24,20,C,TOWN OF SMITHFIELD MAYOR,Andy Moore, ,1,2,3,0,0,5,Y
6949,JOHNSTON,11/7/23,PR24,20,C,TOWN OF SMITHFIELD MAYOR,Marlon Lee, ,1,3,2,0,0,5,Y
6974,JOHNSTON,11/7/23,PR26,20,C,TOWN OF SMITHFIELD MAYOR,Andy Moore, ,1,27,23,1,0,51,Y
6975,JOHNSTON,11/7/23,PR26,20,C,TOWN OF SMITHFIELD MAYOR,Marlon Lee, ,1,122,106,1,0,229,Y
6984,JOHNSTON,11/7/23,PR27A,20,C,TOWN OF SMITHFIELD MAYOR,Andy Moore, ,1,87,84,1,0,172,Y
6985,JOHNSTON,11/7/23,PR27A,20,C,TOWN OF SMITHFIELD MAYOR,Marlon Lee, ,1,44,46,2,0,92,Y
6994,JOHNSTON,11/7/23,PR27B,20,C,TOWN OF SMITHFIELD MAYOR,Andy Moore, ,1,59,41,0,0,100,Y
6995,JOHNSTON,11/7/23,PR27B,20,C,TOWN OF SMITHFIELD MAYOR,Marlon Lee, ,1,18,32,1,1,52,Y
7006,JOHNSTON,11/7/23,PR28,20,C,TOWN OF SMITHFIELD MAYOR,Andy Moore, ,1,167,254,4,1,426,Y
7007,JOHNSTON,11/7/23,PR28,20,C,TOWN OF SMITHFIELD MAYOR,Marlon Lee, ,1,42,48,1,0,91,Y
