county_id,county,election_dt,result_type_lbl,result_type_desc,contest_id,contest_title,contest_party_lbl,contest_vote_for,precinct_code,precinct_name,candidate_id,candidate_name,candidate_party_lbl,group_num,group_name,voting_method_lbl,voting_method_rslt_desc,vote_ct
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AE,ASHEBORO EAST,2535,Charles Swiers,NON,1,ELECTION DAY,V,Election Day,150
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AE,ASHEBORO EAST,2535,Charles Swiers,NON,2,ONE-STOP,O,Absentee: One-Stop,117
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AE,ASHEBORO EAST,2535,Charles Swiers,NON,3,MAIL,M,Absentee: By-Mail,3
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AE,ASHEBORO EAST,2535,Charles Swiers,NON,4,PROVISIONAL,P,Provisional,0
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AE,ASHEBORO EAST,2535,Charles Swiers,NON,5,TRANSFER,T,Election Day: Transfer,0
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AE,ASHEBORO EAST,2533,Eddie Burks,NON,1,ELECTION DAY,V,Election Day,150
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AE,ASHEBORO EAST,2533,Eddie Burks,NON,2,ONE-STOP,O,Absentee: One-Stop,124
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AE,ASHEBORO EAST,2533,Eddie Burks,NON,3,MAIL,M,Absentee: By-Mail,9
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AE,ASHEBORO EAST,2533,Eddie Burks,NON,4,PROVISIONAL,P,Provisional,0
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AE,ASHEBORO EAST,2533,Eddie Burks,NON,5,TRANSFER,T,Election Day: Transfer,0
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AE,ASHEBORO EAST,2536,Harry Okeke,NON,1,ELECTION DAY,V,Election Day,82
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AE,ASHEBORO EAST,2536,Harry Okeke,NON,2,ONE-STOP,O,Absentee: One-Stop,52
