county_desc,election_date,stats_type,precinct_abbrv,vtd_abbrv,party_cd,race_code,ethnic_code,sex_code,age,total_voters,update_date,
RANDOLPH,11/07/2023,voter,UG,16,DEM,O,HL,M,Age 18 - 25,2,11/27/2023,
RANDOLPH,11/07/2023,voter,DR,20,LIB,O,UN,F,Age 26 - 40,1,11/27/2023,
RANDOLPH,11/07/2023,voter,TR,28,UNA,O,NL,M,Age 26 - 40,3,11/27/2023,
RANDOLPH,11/07/2023,voter,TR,39,UNA,A,UN,M,Age 26 - 40,2,11/27/2023,
RANDOLPH,11/07/2023,voter,AR,03,REP,B,NL,M,Age 18 - 25,2,11/27/2023,
RANDOLPH,11/07/2023,voter,PR,30,DEM,W,NL,M,Age Over 66,32,11/27/2023,
RANDOLPH,11/07/2023,voter,LC,22,REP,B,UN,F,Age 26 - 40,1,11/27/2023,
RANDOLPH,11/07/2023,voter,AR,03,DEM,M,HL,F,Age 41 - 65,2,11/27/2023,
RANDOLPH,11/07/2023,voter,AE,06,REP,A,NL,F,Age Over 66,1,11/27/2023,
RANDOLPH,11/07/2023,voter,AN,10,REP,W,NL,U,Age 26 - 40,5,11/27/2023,
RANDOLPH,11/07/2023,voter,ST,35,REP,W,HL,F,Age 41 - 65,1,11/27/2023,
RANDOLPH,11/07/2023,voter,LB,23,REP,B,NL,M,Age Over 66,2,11/27/2023,
RANDOLPH,11/07/2023,voter,LC,22,DEM,U,UN,F,Age 41 - 65,1,11/27/2023,
RANDOLPH,11/07/2023,voter,SW,24,DEM,U,UN,U,Age Over 66,1,11/27/2023,
RANDOLPH,11/07/2023,voter,AR,03,REP,W,NL,M,Age Over 66,160,11/27/2023,
RANDOLPH,11/07/2023,voter,ST,35,DEM,O,NL,F,Age 41 - 65,1,11/27/2023,
RANDOLPH,11/07/2023,voter,AS,11,UNA,W,UN,F,Age 41 - 65,30,11/27/2023,
RANDOLPH,11/07/2023,voter,NM,26,DEM,W,NL,F,Age 18 - 25,5,11/27/2023,
