County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
MECKLENBURG,5/17/22,29,33,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (REP),Carrie Olinski,REP,4,26,9,0,0,35,Y
MECKLENBURG,5/17/22,30,34,C,CITY OF CHARLOTTE CITY COUNCIL DISTRICT 01 (DEM),Charlene Henderson El,DEM,1,64,34,0,0,98,Y
MECKLENBURG,5/17/22,31,31,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (DEM),Patrick D. Cannon,DEM,4,89,130,0,0,219,Y
MECKLENBURG,5/17/22,2,31,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (DEM),LaWana Slack-Mayfield,DEM,4,160,68,0,0,228,Y
MECKLENBURG,5/17/22,4,33,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (REP),David Merrill,REP,4,52,8,0,0,60,Y
MECKLENBURG,5/17/22,5,33,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (REP),David Merrill,REP,4,21,3,0,0,24,Y
MECKLENBURG,5/17/22,7,31,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (DEM),Dimple Ajmera,DEM,4,130,55,0,0,185,Y
MECKLENBURG,5/17/22,8,33,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (REP),Mr. David Michael Rice,REP,4,78,18,0,0,96,Y
MECKLENBURG,5/17/22,10,34,C,CITY OF CHARLOTTE CITY COUNCIL DISTRICT 01 (DEM),Dante Anderson,DEM,1,112,55,0,0,167,Y
MECKLENBURG,5/17/22,40,33,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (REP),David Merrill,REP,4,14,4,0,0,18,Y
MECKLENBURG,5/17/22,41,31,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (DEM),James (Smuggie) Mitchell,DEM,4,106,54,0,0,160,Y
MECKLENBURG,5/17/22,41,33,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (REP),Charlie Mulligan,REP,4,10,4,0,0,14,Y
MECKLENBURG,5/17/22,42,31,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (DEM),Braxton David Winston II,DEM,4,174,167,0,0,341,Y
MECKLENBURG,5/17/22,43,33,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (REP),Carrie Olinski,REP,4,13,6,0,0,19,Y
MECKLENBURG,5/17/22,44,33,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (REP),Carrie Olinski,REP,4,42,6,0,0,48,Y
MECKLENBURG,5/17/22,45,31,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (DEM),Larken Egleston,DEM,4,88,35,0,0,123,Y
MECKLENBURG,5/17/22,45,33,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (REP),Kyle J. Luebke,REP,4,31,10,0,0,41,Y
MECKLENBURG,5/17/22,46,33,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (REP),Carrie Olinski,REP,4,57,5,0,0,62,Y
MECKLENBURG,5/17/22,48,31,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (DEM),Larken Egleston,DEM,4,102,46,0,0,148,Y
MECKLENBURG,5/17/22,49,31,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (DEM),Braxton David Winston II,DEM,4,130,65,0,0,195,Y
MECKLENBURG,5/17/22,49,31,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (DEM),LaWana Slack-Mayfield,DEM,4,86,51,0,0,137,Y
