County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
WAKE,11/8/22,4-Jan,920017,C,CITY OF RALEIGH MAYOR,Tom Fetzer (Write-In),,1,0,0,0,0,0,Y
WAKE,11/8/22,4-Jan,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Joshua Bradley, ,2,52,0,0,0,52,Y
WAKE,11/8/22,5-Jan,920017,C,CITY OF RALEIGH MAYOR,James Bledsoe (Write-In),,1,0,0,0,0,0,Y
WAKE,11/8/22,5-Jan,920017,C,CITY OF RALEIGH MAYOR,Jason Doll (Write-In),,1,0,0,0,0,0,Y
WAKE,11/8/22,5-Jan,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Mary Black-Branch (Write-In),,2,0,0,0,0,0,Y
WAKE,11/8/22,5-Jan,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Megan Patton (Write-In),,2,0,0,0,0,0,Y
WAKE,11/8/22,5-Jan,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Paul Fitts (Write-In),,2,0,0,0,0,0,Y
WAKE,11/8/22,5-Jan,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Portia W. Rochelle, ,2,27,0,0,0,27,Y
WAKE,11/8/22,5-Jan,920024,C,CITY OF RALEIGH PARKS AND RECREATIONAL FACILITIES BONDS,No, ,1,165,0,0,0,165,Y
WAKE,11/8/22,6-Jan,920017,C,CITY OF RALEIGH MAYOR,Donnie Harrison (Write-In),,1,0,0,0,0,0,Y
WAKE,11/8/22,6-Jan,920017,C,CITY OF RALEIGH MAYOR,Terrance (Truth) Ruth, ,1,362,0,0,0,362,Y
WAKE,11/8/22,6-Jan,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Corey Branch (Write-In),,2,0,0,0,0,0,Y
WAKE,11/8/22,6-Jan,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Write-In (Miscellaneous),,2,4,0,0,0,4,Y
WAKE,11/8/22,5-Apr,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Rob Baumgart (Write-In),,2,0,0,0,0,0,Y
WAKE,11/8/22,5-Jan,920017,C,CITY OF RALEIGH MAYOR,Paul Fitts (Write-In),,1,16,0,0,0,16,Y
WAKE,11/8/22,5-Jan,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Cat Lawson (Write-In),,2,0,0,0,0,0,Y
WAKE,11/8/22,6-Jan,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Anne S. Franklin, ,2,271,0,0,0,271,Y
WAKE,11/8/22,6-Jan,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Jonathan Melton, ,2,280,0,0,0,280,Y
WAKE,11/8/22,7-Jan,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Jane Harrison (Write-In),,2,0,0,0,0,0,Y
WAKE,11/8/22,7-Jan,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Minu Lee (Write-In),,2,0,0,0,0,0,Y
WAKE,11/8/22,01-07A,22,C,CITY OF RALEIGH CITY COUNCIL DISTRICT D,Write-In (Miscellaneous),,1,0,0,0,0,0,Y
WAKE,11/8/22,01-07A,920017,C,CITY OF RALEIGH MAYOR,Jamie Harper (Write-In),,1,0,0,0,0,0,Y
WAKE,11/8/22,01-07A,920017,C,CITY OF RALEIGH MAYOR,Paul Coble (Write-In),,1,0,0,0,0,0,Y
WAKE,11/8/22,01-07A,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Corey Branch (Write-In),,2,0,0,0,0,0,Y
WAKE,11/8/22,9-Jan,920017,C,CITY OF RALEIGH MAYOR,Betsy Coley (Write-In),,1,0,0,0,0,0,Y
WAKE,11/8/22,9-Jan,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Anne S. Franklin, ,2,181,0,0,0,181,Y
WAKE,11/8/22,9-Jan,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Jonathan Melton, ,2,262,0,0,0,262,Y
WAKE,11/8/22,9-Jan,920023,C,CITY OF RALEIGH CITY COUNCIL DISTRICT E,Write-In (Miscellaneous),,1,2,0,0,0,2,Y
WAKE,11/8/22,OSWD 1-40,920017,C,CITY OF RALEIGH MAYOR,DaQuanta Copeland, ,1,0,17,0,0,17,N
WAKE,11/8/22,OSWD 1-40,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Megan Patton (Write-In),,2,0,1,0,0,1,N
WAKE,11/8/22,OSWD 1-40,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Ms. Stormie Denise Forte, ,2,0,52,0,0,52,N
WAKE,11/8/22,OSWD 1-40,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Paul Fitts (Write-In),,2,0,0,0,0,0,N
WAKE,11/8/22,OSWD 1-40,920023,C,CITY OF RALEIGH CITY COUNCIL DISTRICT E,Write-In (Miscellaneous),,1,0,0,0,0,0,N
WAKE,11/8/22,OSWD 41-80,920017,C,CITY OF RALEIGH MAYOR,DaQuanta Copeland, ,1,0,14,0,0,14,N
WAKE,11/8/22,OSWD 41-80,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Corey Branch (Write-In),,2,0,0,0,0,0,N
WAKE,11/8/22,OSWD 41-80,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Rob Baumgart (Write-In),,2,0,0,0,0,0,N
WAKE,11/8/22,OSWD 41-80,920024,C,CITY OF RALEIGH PARKS AND RECREATIONAL FACILITIES BONDS,No, ,1,0,54,0,0,54,N
WAKE,11/8/22,OSOP 41-80,920017,C,CITY OF RALEIGH MAYOR,Paul Fitts (Write-In),,1,0,0,0,0,0,N
WAKE,11/8/22,OSOP 41-80,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Cat Lawson (Write-In),,2,0,0,0,0,0,N
WAKE,11/8/22,OSOP 81-120,22,C,CITY OF RALEIGH CITY COUNCIL DISTRICT D,Jane Harrison, ,1,0,18,0,0,18,N
WAKE,11/8/22,OSOP 81-120,22,C,CITY OF RALEIGH CITY COUNCIL DISTRICT D,Jennifer Truman, ,1,0,3,0,0,3,N
WAKE,11/8/22,OSOP 81-120,920017,C,CITY OF RALEIGH MAYOR,Charles Francis (Write-In),,1,0,0,0,0,0,N
WAKE,11/8/22,OSOP 81-120,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Christina Jones (Write-In),,2,0,0,0,0,0,N
WAKE,11/8/22,OSSE 1-40,22,C,CITY OF RALEIGH CITY COUNCIL DISTRICT D,Todd Kennedy, ,1,0,22,0,0,22,N
WAKE,11/8/22,OSSE 1-40,920017,C,CITY OF RALEIGH MAYOR,Donnie Harrison (Write-In),,1,0,0,0,0,0,N
WAKE,11/8/22,OSHT 41-80,19,C,CITY OF RALEIGH CITY COUNCIL DISTRICT A,Catherine (Cat) Lawson, ,1,0,0,0,0,0,N
WAKE,11/8/22,OSHT 81-120,920024,C,CITY OF RALEIGH PARKS AND RECREATIONAL FACILITIES BONDS,No, ,1,0,1,0,0,1,N
WAKE,11/8/22,OSJB 1-40,920024,C,CITY OF RALEIGH PARKS AND RECREATIONAL FACILITIES BONDS,No, ,1,0,33,0,0,33,N
WAKE,11/8/22,13-02,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Rob Baumgart (Write-In),,2,0,0,0,0,0,Y
WAKE,11/8/22,13-05,19,C,CITY OF RALEIGH CITY COUNCIL DISTRICT A,Mary Black-Branch, ,1,208,0,0,0,208,Y
WAKE,11/8/22,13-05,19,C,CITY OF RALEIGH CITY COUNCIL DISTRICT A,Whitney Hill, ,1,93,0,0,0,93,Y
WAKE,11/8/22,13-05,920017,C,CITY OF RALEIGH MAYOR,Charles Meeker (Write-In),,1,0,0,0,0,0,Y
WAKE,11/8/22,13-05,920017,C,CITY OF RALEIGH MAYOR,Nancy Mcfarlane (Write-In),,1,0,0,0,0,0,Y
WAKE,11/8/22,13-05,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Rob Baumgart (Write-In),,2,0,0,0,0,0,Y
WAKE,11/8/22,13-06,920017,C,CITY OF RALEIGH MAYOR,Write-In (Miscellaneous),,1,16,0,0,0,16,Y
WAKE,11/8/22,13-06,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Anne S. Franklin, ,2,196,0,0,0,196,Y
WAKE,11/8/22,13-06,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Jane Harrison (Write-In),,2,0,0,0,0,0,Y
WAKE,11/8/22,13-07,920017,C,CITY OF RALEIGH MAYOR,Jonathan Felts (Write-In),,1,0,0,0,0,0,Y
WAKE,11/8/22,13-07,920017,C,CITY OF RALEIGH MAYOR,Paul Coble (Write-In),,1,0,0,0,0,0,Y
WAKE,11/8/22,13-07,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Jonathan Melton, ,2,158,0,0,0,158,Y
WAKE,11/8/22,13-07,920024,C,CITY OF RALEIGH PARKS AND RECREATIONAL FACILITIES BONDS,Yes, ,1,359,0,0,0,359,Y
WAKE,11/8/22,13-08,920017,C,CITY OF RALEIGH MAYOR,Charles Meeker (Write-In),,1,0,0,0,0,0,Y
WAKE,11/8/22,13-09,920017,C,CITY OF RALEIGH MAYOR,Write-In (Miscellaneous),,1,6,0,0,0,6,Y
WAKE,11/8/22,13-09,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Anne S. Franklin, ,2,198,0,0,0,198,Y
WAKE,11/8/22,13-09,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Jane Harrison (Write-In),,2,0,0,0,0,0,Y
WAKE,11/8/22,13-09,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Joshua Bradley, ,2,140,0,0,0,140,Y
WAKE,11/8/22,13-10,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Minu Lee (Write-In),,2,0,0,0,0,0,Y
WAKE,11/8/22,13-11,920017,C,CITY OF RALEIGH MAYOR,Mary-Ann Baldwin, ,1,401,0,0,0,401,Y
WAKE,11/8/22,13-11,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Frank Fields (Write-In),,2,0,0,0,0,0,Y
WAKE,11/8/22,Jan-43,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Paul Fitts (Write-In),,2,0,0,0,0,0,Y
WAKE,11/8/22,Jan-44,19,C,CITY OF RALEIGH CITY COUNCIL DISTRICT A,Write-In (Miscellaneous),,1,5,0,0,0,5,Y
WAKE,11/8/22,Jan-44,920017,C,CITY OF RALEIGH MAYOR,DaQuanta Copeland, ,1,74,0,0,0,74,Y
WAKE,11/8/22,Jan-44,920017,C,CITY OF RALEIGH MAYOR,James Bledsoe (Write-In),,1,0,0,0,0,0,Y
WAKE,11/8/22,Jan-44,920017,C,CITY OF RALEIGH MAYOR,Jonathan Felts (Write-In),,1,0,0,0,0,0,Y
WAKE,11/8/22,Jan-44,920017,C,CITY OF RALEIGH MAYOR,Paul Coble (Write-In),,1,0,0,0,0,0,Y
WAKE,11/8/22,Jan-44,920017,C,CITY OF RALEIGH MAYOR,Terrance (Truth) Ruth, ,1,289,0,0,0,289,Y
WAKE,11/8/22,Jan-44,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Corey Branch (Write-In),,2,0,0,0,0,0,Y
WAKE,11/8/22,Jan-45,920017,C,CITY OF RALEIGH MAYOR,Betsy Coley (Write-In),,1,0,0,0,0,0,Y
WAKE,11/8/22,Jan-45,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Jonathan Melton, ,2,114,0,0,0,114,Y
WAKE,11/8/22,Jan-46,19,C,CITY OF RALEIGH CITY COUNCIL DISTRICT A,Write-In (Miscellaneous),,1,1,0,0,0,1,Y
WAKE,11/8/22,Jan-46,920017,C,CITY OF RALEIGH MAYOR,DaQuanta Copeland, ,1,69,0,0,0,69,Y
WAKE,11/8/22,Jan-46,920017,C,CITY OF RALEIGH MAYOR,Jonathan Felts (Write-In),,1,0,0,0,0,0,Y
WAKE,11/8/22,Jan-46,920017,C,CITY OF RALEIGH MAYOR,Paul Coble (Write-In),,1,0,0,0,0,0,Y
WAKE,11/8/22,Jan-46,920017,C,CITY OF RALEIGH MAYOR,Terrance (Truth) Ruth, ,1,152,0,0,0,152,Y
WAKE,11/8/22,Jan-47,19,C,CITY OF RALEIGH CITY COUNCIL DISTRICT A,Catherine (Cat) Lawson, ,1,181,0,0,0,181,Y
WAKE,11/8/22,Jan-47,920017,C,CITY OF RALEIGH MAYOR,Charles Meeker (Write-In),,1,0,0,0,0,0,Y
WAKE,11/8/22,Jan-47,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,John Odom, ,2,325,0,0,0,325,Y
WAKE,11/8/22,Jan-47,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Joshua Bradley, ,2,69,0,0,0,69,Y
WAKE,11/8/22,01-07A,920017,C,CITY OF RALEIGH MAYOR,Paul Fitts (Write-In),,1,1,0,0,0,1,Y
WAKE,11/8/22,01-07A,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Megan Patton (Write-In),,2,0,0,0,0,0,Y
WAKE,11/8/22,01-07A,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Ms. Stormie Denise Forte, ,2,16,0,0,0,16,Y
