County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
RANDOLPH,11/7/23,AE,5,C,CITY OF ASHEBORO CITY COUNCIL,Charles Swiers, ,3,150,117,3,0,270,Y
RANDOLPH,11/7/23,AE,5,C,CITY OF ASHEBORO CITY COUNCIL,Eddie Burks, ,3,150,124,9,0,283,Y
RANDOLPH,11/7/23,AE,5,C,CITY OF ASHEBORO CITY COUNCIL,Harry Okeke, ,3,82,52,5,0,139,Y
RANDOLPH,11/7/23,AE,5,C,CITY OF ASHEBORO CITY COUNCIL,Jane Hughes Redding, ,3,153,120,6,0,279,Y
RANDOLPH,11/7/23,AE,5,C,CITY OF ASHEBORO CITY COUNCIL,Joey Trogdon, ,3,187,125,5,0,317,Y
RANDOLPH,11/7/23,AE,5,C,CITY OF ASHEBORO CITY COUNCIL,Write-In (Miscellaneous),,3,2,1,0,0,3,Y
RANDOLPH,11/7/23,AN,5,C,CITY OF ASHEBORO CITY COUNCIL,Charles Swiers, ,3,56,68,2,1,127,Y
RANDOLPH,11/7/23,AN,5,C,CITY OF ASHEBORO CITY COUNCIL,Eddie Burks, ,3,74,99,2,0,175,Y
RANDOLPH,11/7/23,AN,5,C,CITY OF ASHEBORO CITY COUNCIL,Harry Okeke, ,3,29,20,0,0,49,Y
RANDOLPH,11/7/23,AN,5,C,CITY OF ASHEBORO CITY COUNCIL,Jane Hughes Redding, ,3,61,64,0,0,125,Y
RANDOLPH,11/7/23,AN,5,C,CITY OF ASHEBORO CITY COUNCIL,Joey Trogdon, ,3,67,73,2,0,142,Y
RANDOLPH,11/7/23,AN,5,C,CITY OF ASHEBORO CITY COUNCIL,Write-In (Miscellaneous),,3,1,5,0,0,6,Y
RANDOLPH,11/7/23,AR,410006,C,CITY OF HIGH POINT CITY COUNCIL AT-LARGE,Amanda Cook, ,2,0,0,0,0,0,Y
RANDOLPH,11/7/23,AR,410006,C,CITY OF HIGH POINT CITY COUNCIL AT-LARGE,Britt W. Moore, ,2,0,0,0,0,0,Y
RANDOLPH,11/7/23,AR,410006,C,CITY OF HIGH POINT CITY COUNCIL AT-LARGE,Sam Carr, ,2,0,0,0,0,0,Y
RANDOLPH,11/7/23,AR,410006,C,CITY OF HIGH POINT CITY COUNCIL AT-LARGE,Willie H. Davis, ,2,0,0,0,0,0,Y
RANDOLPH,11/7/23,AR,410006,C,CITY OF HIGH POINT CITY COUNCIL AT-LARGE,Write-In (Miscellaneous),,2,0,0,0,0,0,Y
RANDOLPH,11/7/23,AR,410009,C,CITY OF HIGH POINT CITY COUNCIL WARD 03,Monica Peters, ,1,0,0,0,0,0,Y
RANDOLPH,11/7/23,AR,410009,C,CITY OF HIGH POINT CITY COUNCIL WARD 03,Rizwan Bahadur, ,1,0,0,0,0,0,Y
RANDOLPH,11/7/23,AR,410009,C,CITY OF HIGH POINT CITY COUNCIL WARD 03,Write-In (Miscellaneous),,1,0,0,0,0,0,Y
RANDOLPH,11/7/23,AS,5,C,CITY OF ASHEBORO CITY COUNCIL,Charles Swiers, ,3,116,100,0,0,216,Y
RANDOLPH,11/7/23,AS,5,C,CITY OF ASHEBORO CITY COUNCIL,Eddie Burks, ,3,120,107,0,0,227,Y
RANDOLPH,11/7/23,AS,5,C,CITY OF ASHEBORO CITY COUNCIL,Harry Okeke, ,3,43,23,0,0,66,Y
RANDOLPH,11/7/23,AS,5,C,CITY OF ASHEBORO CITY COUNCIL,Jane Hughes Redding, ,3,100,98,0,0,198,Y
RANDOLPH,11/7/23,AS,5,C,CITY OF ASHEBORO CITY COUNCIL,Joey Trogdon, ,3,135,99,0,0,234,Y
RANDOLPH,11/7/23,AS,5,C,CITY OF ASHEBORO CITY COUNCIL,Write-In (Miscellaneous),,3,0,1,0,0,1,Y
RANDOLPH,11/7/23,AW,5,C,CITY OF ASHEBORO CITY COUNCIL,Charles Swiers, ,3,146,174,0,1,321,Y
RANDOLPH,11/7/23,AW,5,C,CITY OF ASHEBORO CITY COUNCIL,Eddie Burks, ,3,138,167,1,0,306,Y
RANDOLPH,11/7/23,AW,5,C,CITY OF ASHEBORO CITY COUNCIL,Harry Okeke, ,3,66,49,0,0,115,Y
RANDOLPH,11/7/23,AW,5,C,CITY OF ASHEBORO CITY COUNCIL,Jane Hughes Redding, ,3,134,144,1,1,280,Y
RANDOLPH,11/7/23,AW,5,C,CITY OF ASHEBORO CITY COUNCIL,Joey Trogdon, ,3,171,165,1,0,337,Y
RANDOLPH,11/7/23,AW,5,C,CITY OF ASHEBORO CITY COUNCIL,Write-In (Miscellaneous),,3,4,2,0,0,6,Y
RANDOLPH,11/7/23,BC,5,C,CITY OF ASHEBORO CITY COUNCIL,Charles Swiers, ,3,0,0,0,0,0,Y
RANDOLPH,11/7/23,BC,5,C,CITY OF ASHEBORO CITY COUNCIL,Eddie Burks, ,3,0,0,0,0,0,Y
RANDOLPH,11/7/23,BC,5,C,CITY OF ASHEBORO CITY COUNCIL,Harry Okeke, ,3,0,0,0,0,0,Y
RANDOLPH,11/7/23,BC,5,C,CITY OF ASHEBORO CITY COUNCIL,Jane Hughes Redding, ,3,0,0,0,0,0,Y
RANDOLPH,11/7/23,BC,5,C,CITY OF ASHEBORO CITY COUNCIL,Joey Trogdon, ,3,0,0,0,0,0,Y
RANDOLPH,11/7/23,BC,5,C,CITY OF ASHEBORO CITY COUNCIL,Write-In (Miscellaneous),,3,0,0,0,0,0,Y
RANDOLPH,11/7/23,GR,5,C,CITY OF ASHEBORO CITY COUNCIL,Charles Swiers, ,3,5,8,0,0,13,Y
RANDOLPH,11/7/23,GR,5,C,CITY OF ASHEBORO CITY COUNCIL,Eddie Burks, ,3,7,12,0,0,19,Y
RANDOLPH,11/7/23,GR,5,C,CITY OF ASHEBORO CITY COUNCIL,Harry Okeke, ,3,0,1,0,0,1,Y
RANDOLPH,11/7/23,GR,5,C,CITY OF ASHEBORO CITY COUNCIL,Jane Hughes Redding, ,3,3,10,0,0,13,Y
RANDOLPH,11/7/23,GR,5,C,CITY OF ASHEBORO CITY COUNCIL,Joey Trogdon, ,3,7,10,0,0,17,Y
RANDOLPH,11/7/23,GR,5,C,CITY OF ASHEBORO CITY COUNCIL,Write-In (Miscellaneous),,3,0,0,0,0,0,Y
RANDOLPH,11/7/23,RN,5,C,CITY OF ASHEBORO CITY COUNCIL,Charles Swiers, ,3,5,9,0,0,14,Y
RANDOLPH,11/7/23,RN,5,C,CITY OF ASHEBORO CITY COUNCIL,Eddie Burks, ,3,11,10,0,0,21,Y
RANDOLPH,11/7/23,RN,5,C,CITY OF ASHEBORO CITY COUNCIL,Harry Okeke, ,3,5,1,0,0,6,Y
RANDOLPH,11/7/23,RN,5,C,CITY OF ASHEBORO CITY COUNCIL,Jane Hughes Redding, ,3,12,8,0,0,20,Y
RANDOLPH,11/7/23,RN,5,C,CITY OF ASHEBORO CITY COUNCIL,Joey Trogdon, ,3,8,5,0,0,13,Y
RANDOLPH,11/7/23,RN,5,C,CITY OF ASHEBORO CITY COUNCIL,Write-In (Miscellaneous),,3,3,0,0,0,3,Y
RANDOLPH,11/7/23,SW,5,C,CITY OF ASHEBORO CITY COUNCIL,Charles Swiers, ,3,0,0,0,0,0,Y
RANDOLPH,11/7/23,SW,5,C,CITY OF ASHEBORO CITY COUNCIL,Eddie Burks, ,3,0,0,0,0,0,Y
RANDOLPH,11/7/23,SW,5,C,CITY OF ASHEBORO CITY COUNCIL,Harry Okeke, ,3,0,0,0,0,0,Y
RANDOLPH,11/7/23,SW,5,C,CITY OF ASHEBORO CITY COUNCIL,Jane Hughes Redding, ,3,0,0,0,0,0,Y
RANDOLPH,11/7/23,SW,5,C,CITY OF ASHEBORO CITY COUNCIL,Joey Trogdon, ,3,0,0,0,0,0,Y
RANDOLPH,11/7/23,SW,5,C,CITY OF ASHEBORO CITY COUNCIL,Write-In (Miscellaneous),,3,0,0,0,0,0,Y
RANDOLPH,11/7/23,TR,290006,C,CITY OF THOMASVILLE CITY COUNCIL,Dana Skeen Lomba, ,3,18,3,0,0,21,Y
RANDOLPH,11/7/23,TR,290006,C,CITY OF THOMASVILLE CITY COUNCIL,Eric Kuppel, ,3,14,3,0,0,17,Y
RANDOLPH,11/7/23,TR,290006,C,CITY OF THOMASVILLE CITY COUNCIL,JacQuez Johnson, ,3,10,3,0,0,13,Y
RANDOLPH,11/7/23,TR,290006,C,CITY OF THOMASVILLE CITY COUNCIL,Lisa Shell, ,3,10,2,0,0,12,Y
RANDOLPH,11/7/23,TR,290006,C,CITY OF THOMASVILLE CITY COUNCIL,Paula Widener Peters, ,3,9,2,0,0,11,Y
RANDOLPH,11/7/23,TR,290006,C,CITY OF THOMASVILLE CITY COUNCIL,Payton Williams, ,3,18,3,0,0,21,Y
RANDOLPH,11/7/23,TR,290006,C,CITY OF THOMASVILLE CITY COUNCIL,Ronald Fowler, ,3,15,5,0,0,20,Y
RANDOLPH,11/7/23,TR,290006,C,CITY OF THOMASVILLE CITY COUNCIL,Write-In (Miscellaneous),,3,0,0,0,0,0,Y
RANDOLPH,11/7/23,TR,410006,C,CITY OF HIGH POINT CITY COUNCIL AT-LARGE,Amanda Cook, ,2,0,0,0,0,0,Y
RANDOLPH,11/7/23,TR,410006,C,CITY OF HIGH POINT CITY COUNCIL AT-LARGE,Britt W. Moore, ,2,0,0,0,0,0,Y
RANDOLPH,11/7/23,TR,410006,C,CITY OF HIGH POINT CITY COUNCIL AT-LARGE,Sam Carr, ,2,0,0,0,0,0,Y
RANDOLPH,11/7/23,TR,410006,C,CITY OF HIGH POINT CITY COUNCIL AT-LARGE,Willie H. Davis, ,2,0,0,0,0,0,Y
RANDOLPH,11/7/23,TR,410006,C,CITY OF HIGH POINT CITY COUNCIL AT-LARGE,Write-In (Miscellaneous),,2,0,0,0,0,0,Y
RANDOLPH,11/7/23,TR,410009,C,CITY OF HIGH POINT CITY COUNCIL WARD 03,Monica Peters, ,1,0,0,0,0,0,Y
RANDOLPH,11/7/23,TR,410009,C,CITY OF HIGH POINT CITY COUNCIL WARD 03,Rizwan Bahadur, ,1,0,0,0,0,0,Y
RANDOLPH,11/7/23,TR,410009,C,CITY OF HIGH POINT CITY COUNCIL WARD 03,Write-In (Miscellaneous),,1,0,0,0,0,0,Y
RANDOLPH,11/7/23,UG,5,C,CITY OF ASHEBORO CITY COUNCIL,Charles Swiers, ,3,5,14,0,0,19,Y
RANDOLPH,11/7/23,UG,5,C,CITY OF ASHEBORO CITY COUNCIL,Eddie Burks, ,3,5,15,0,0,20,Y
RANDOLPH,11/7/23,UG,5,C,CITY OF ASHEBORO CITY COUNCIL,Harry Okeke, ,3,2,3,0,0,5,Y
RANDOLPH,11/7/23,UG,5,C,CITY OF ASHEBORO CITY COUNCIL,Jane Hughes Redding, ,3,3,9,0,0,12,Y
RANDOLPH,11/7/23,UG,5,C,CITY OF ASHEBORO CITY COUNCIL,Joey Trogdon, ,3,7,13,0,0,20,Y
RANDOLPH,11/7/23,UG,5,C,CITY OF ASHEBORO CITY COUNCIL,Write-In (Miscellaneous),,3,0,0,0,0,0,Y
RANDOLPH,11/8/22,TR,760012,C,CITY OF ARCHDALE CITY COUNCIL WARD 04,John A. Glass, ,1,31,60,0,0,91,Y
RANDOLPH,11/8/22,TR,760011,C,CITY OF ARCHDALE CITY COUNCIL WARD 01,Larry Warlick, ,1,30,62,0,0,92,Y
RANDOLPH,11/8/22,TR,760010,C,CITY OF ARCHDALE CITY COUNCIL AT-LARGE,Write-In (Miscellaneous),,1,0,0,0,0,0,Y
RANDOLPH,11/8/22,NM,760010,C,CITY OF ARCHDALE CITY COUNCIL AT-LARGE,Kelly Grooms, ,1,0,0,0,0,0,Y
RANDOLPH,11/8/22,TR,760010,C,CITY OF ARCHDALE CITY COUNCIL AT-LARGE,Kelly Grooms, ,1,23,36,0,0,59,Y
RANDOLPH,11/8/22,AR,760011,C,CITY OF ARCHDALE CITY COUNCIL WARD 01,Write-In (Miscellaneous),,1,12,28,0,0,40,Y
