County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
JOHNSTON,5/17/22,ABSENTEE,20,C,TOWN OF SMITHFIELD MAYOR,Write-In (Miscellaneous),,1,0,0,0,0,0,N
JOHNSTON,5/17/22,OS ARCHER LODGE,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 01,Write-In (Miscellaneous),,1,0,0,0,0,0,N
JOHNSTON,5/17/22,OS ARCHER LODGE,22,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 02,Sloan Stevens, ,1,0,0,0,0,0,N
JOHNSTON,5/17/22,PROVISIONAL,22,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 02,Write-In (Miscellaneous),,1,0,0,0,0,0,N
JOHNSTON,5/17/22,PROVISIONAL,23,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 03,Travis J. Scott, ,1,0,0,0,0,0,N
JOHNSTON,5/17/22,PROVISIONAL,23,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 03,Write-In (Miscellaneous),,1,0,0,0,0,0,N
JOHNSTON,5/17/22,TRANSFER,20,C,TOWN OF SMITHFIELD MAYOR,Write-In (Miscellaneous),,1,0,0,0,0,0,N
JOHNSTON,5/17/22,TRANSFER,24,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 04,Doris Louise Wallace, ,1,0,0,0,0,0,N
JOHNSTON,5/17/22,TRANSFER,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 01,Marlon Lee, ,1,1,0,0,0,1,N
JOHNSTON,5/17/22,PROVISIONAL,22,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 02,Elizabeth Anne Temple, ,1,0,0,0,0,0,N
JOHNSTON,5/17/22,TRANSFER,22,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 02,Elizabeth Anne Temple, ,1,0,0,0,0,0,N
JOHNSTON,5/17/22,ABSENTEE,23,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 03,Travis J. Scott, ,1,0,0,5,0,5,N
JOHNSTON,5/17/22,OS CLAYTON,24,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 04,Doris Louise Wallace, ,1,0,0,0,0,0,N
JOHNSTON,5/17/22,OS CLEVELAND,24,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 04,Write-In (Miscellaneous),,1,0,0,0,0,0,N
JOHNSTON,5/17/22,OS CLEVELAND,22,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 02,Sloan Stevens, ,1,0,0,0,0,0,N
JOHNSTON,5/17/22,OS CLEVELAND,24,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 04,David Barbour, ,1,0,0,0,0,0,N
JOHNSTON,5/17/22,OS SMITHFIELD,24,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 04,Doris Louise Wallace, ,1,0,66,0,0,66,N
JOHNSTON,5/17/22,OS ARCHER LODGE,24,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 04,David Barbour, ,1,0,1,0,0,1,N
JOHNSTON,5/17/22,OS CLAYTON,22,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 02,Write-In (Miscellaneous),,1,0,0,0,0,0,N
JOHNSTON,5/17/22,OS CLAYTON,23,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 03,Write-In (Miscellaneous),,1,0,0,0,0,0,N
JOHNSTON,5/17/22,ABSENTEE,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 01,Write-In (Miscellaneous),,1,0,0,0,0,0,N
JOHNSTON,5/17/22,OS ARCHER LODGE,24,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 04,Write-In (Miscellaneous),,1,0,0,0,0,0,N
JOHNSTON,5/17/22,OS CLAYTON,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 01,Write-In (Miscellaneous),,1,0,1,0,0,1,N
JOHNSTON,5/17/22,OS CLEVELAND,22,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 02,Write-In (Miscellaneous),,1,0,0,0,0,0,N
JOHNSTON,5/17/22,OS CLEVELAND,23,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 03,Write-In (Miscellaneous),,1,0,0,0,0,0,N
JOHNSTON,5/17/22,ABSENTEE,20,C,TOWN OF SMITHFIELD MAYOR,Andy Moore, ,1,0,0,28,0,28,N
JOHNSTON,5/17/22,ABSENTEE,22,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 02,Elizabeth Anne Temple, ,1,0,0,8,0,8,N
JOHNSTON,5/17/22,OS CLAYTON,24,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 04,David Barbour, ,1,0,1,0,0,1,N
JOHNSTON,5/17/22,OS CLEVELAND,24,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 04,Doris Louise Wallace, ,1,0,1,0,0,1,N
JOHNSTON,5/17/22,OS SMITHFIELD,20,C,TOWN OF SMITHFIELD MAYOR,Andy Moore, ,1,0,616,0,0,616,N
JOHNSTON,5/17/22,OS SMITHFIELD,22,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 02,Sloan Stevens, ,1,0,169,0,0,169,N
JOHNSTON,5/17/22,OS SMITHFIELD,24,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 04,David Barbour, ,1,0,99,0,0,99,N
JOHNSTON,5/17/22,PR27B,24,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 04,Doris Louise Wallace, ,1,24,0,0,0,24,Y
JOHNSTON,5/17/22,TRANSFER,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 01,Write-In (Miscellaneous),,1,0,0,0,0,0,N
