Candidate,Party,Total Votes
Gary S. Edwards,REP,324
Lauren Riggs Kitzinger,REP,703
Tracy Derby,REP,440
Vi Alexander Lyles,DEM,48569
Lucille Puckett,DEM,4275
Tae McKenzie,DEM,2286
M. Moustafa,REP,6562
Stephanie de Sarachaga-Bilbao,REP,15624
Tigress Sydney Acute McDaniel,DEM,2614
Matthew Wineman,REP,1015
Carl Baugus,REP,252
Robert McCarthy, ,992
Write-In (Miscellaneous),nan,17
Rick Smiley, ,1416
Jonathan R. Collier,REP,433
Patrick L. Bailey,REP,761
Jim McVicker,REP,2275
"Oliver Louis Wilder, Jr.", ,100
Donna Powers Patterson, ,45
Doris A. Allison, ,205
