county_desc,election_date,stats_type,precinct_abbrv,vtd_abbrv,party_cd,race_code,ethnic_code,sex_code,age,total_voters,update_date,
MECKLENBURG,11/07/2023,voter,068,068,UNA,M,HL,M,Age 26 - 40,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,143,143,REP,W,NL,F,Age 18 - 25,38,11/27/2023,
MECKLENBURG,11/07/2023,voter,074,074,UNA,U,HL,F,Age Over 66,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,100,100,REP,M,NL,F,Age 26 - 40,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,021,021,REP,W,NL,U,Age 26 - 40,6,11/27/2023,
MECKLENBURG,11/07/2023,voter,095,095,UNA,O,HL,F,Age 26 - 40,10,11/27/2023,
MECKLENBURG,11/07/2023,voter,061,061,DEM,B,UN,M,Age Over 66,13,11/27/2023,
MECKLENBURG,11/07/2023,voter,102,102,LIB,B,NL,M,Age 26 - 40,3,11/27/2023,
MECKLENBURG,11/07/2023,voter,149,149,DEM,B,NL,F,Age 18 - 25,102,11/27/2023,
MECKLENBURG,11/07/2023,voter,205,205,UNA,U,UN,M,Age 26 - 40,6,11/27/2023,
MECKLENBURG,11/07/2023,voter,022,022,UNA,W,NL,M,Age Over 66,11,11/27/2023,
MECKLENBURG,11/07/2023,voter,132,132,DEM,U,UN,F,Age 18 - 25,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,219,219,REP,W,UN,U,Age Over 66,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,012,012,UNA,U,UN,M,Age 41 - 65,5,11/27/2023,
MECKLENBURG,11/07/2023,voter,087,087,REP,B,NL,F,Age 26 - 40,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,018,018,UNA,W,NL,M,Age 18 - 25,41,11/27/2023,
MECKLENBURG,11/07/2023,voter,231,231,REP,A,NL,M,Age 41 - 65,3,11/27/2023,
MECKLENBURG,11/07/2023,voter,127,127,DEM,W,NL,M,Age Over 66,93,11/27/2023,
MECKLENBURG,11/07/2023,voter,234,234,REP,I,NL,M,Age Over 66,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,225,225,DEM,A,UN,M,Age 41 - 65,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,019,019,UNA,U,NL,M,Age 41 - 65,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,225,225,DEM,O,HL,F,Age 18 - 25,7,11/27/2023,
MECKLENBURG,11/07/2023,voter,219,219,UNA,B,UN,M,Age 41 - 65,4,11/27/2023,
MECKLENBURG,11/07/2023,voter,010,010,UNA,B,NL,F,Age 18 - 25,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,080,080,REP,A,NL,M,Age Over 66,3,11/27/2023,
MECKLENBURG,11/07/2023,voter,132,132,DEM,A,NL,F,Age 18 - 25,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,015,015,DEM,I,HL,F,Age 26 - 40,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,043,043,DEM,A,NL,F,Age 26 - 40,7,11/27/2023,
MECKLENBURG,11/07/2023,voter,201,201,UNA,O,UN,M,Age 26 - 40,3,11/27/2023,
MECKLENBURG,11/07/2023,voter,049,049,UNA,O,HL,M,Age 26 - 40,10,11/27/2023,
MECKLENBURG,11/07/2023,voter,213,213,REP,U,UN,U,Age 18 - 25,3,11/27/2023,
MECKLENBURG,11/07/2023,voter,205,205,DEM,M,HL,F,Age Over 66,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,205,205,REP,W,NL,F,Age 26 - 40,29,11/27/2023,
MECKLENBURG,11/07/2023,voter,030,030,REP,A,NL,M,Age 41 - 65,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,094,094,DEM,O,HL,M,Age Over 66,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,235,235,UNA,A,UN,M,Age 26 - 40,5,11/27/2023,
MECKLENBURG,11/07/2023,voter,078.1,078.1,DEM,B,UN,F,Age 18 - 25,6,11/27/2023,
MECKLENBURG,11/07/2023,voter,233,233,REP,U,UN,F,Age 41 - 65,4,11/27/2023,
MECKLENBURG,11/07/2023,voter,111,111,REP,U,UN,U,Age 26 - 40,9,11/27/2023,
MECKLENBURG,11/07/2023,voter,238.1,238.1,DEM,W,NL,M,Age Over 66,22,11/27/2023,
MECKLENBURG,11/07/2023,voter,116,116,DEM,O,NL,M,Age Over 66,3,11/27/2023,
MECKLENBURG,11/07/2023,voter,227,227,UNA,B,HL,M,Age 18 - 25,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,126,126,UNA,O,HL,U,Age 26 - 40,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,150,150,REP,W,NL,M,Age 41 - 65,106,11/27/2023,
MECKLENBURG,11/07/2023,voter,080,080,REP,U,UN,U,Age Over 66,3,11/27/2023,
MECKLENBURG,11/07/2023,voter,224,224,DEM,B,NL,F,Age 26 - 40,106,11/27/2023,
MECKLENBURG,11/07/2023,voter,242,242,LIB,W,HL,M,Age 26 - 40,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,144,144,UNA,U,UN,F,Age 41 - 65,3,11/27/2023,
MECKLENBURG,11/07/2023,voter,103,103,LIB,W,NL,F,Age 26 - 40,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,121,121,LIB,B,HL,F,Age 18 - 25,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,067,067,DEM,A,NL,M,Age 41 - 65,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,055,055,DEM,O,HL,F,Age 26 - 40,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,028,028,UNA,M,HL,F,Age 18 - 25,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,013,013,REP,W,HL,M,Age 18 - 25,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,048,048,UNA,W,UN,F,Age 41 - 65,16,11/27/2023,
MECKLENBURG,11/07/2023,voter,228,228,LIB,W,UN,F,Age 41 - 65,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,207,207,LIB,W,UN,F,Age Over 66,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,149,149,DEM,M,UN,U,Age 26 - 40,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,116,116,DEM,M,NL,F,Age 26 - 40,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,204.1,204.1,DEM,M,NL,F,Age 18 - 25,4,11/27/2023,
MECKLENBURG,11/07/2023,voter,133,133,UNA,M,UN,F,Age 41 - 65,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,209,209,DEM,W,UN,F,Age 41 - 65,36,11/27/2023,
MECKLENBURG,11/07/2023,voter,228,228,REP,O,HL,M,Age Over 66,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,205,205,REP,W,UN,M,Age Over 66,5,11/27/2023,
MECKLENBURG,11/07/2023,voter,012,012,DEM,U,UN,M,Age 41 - 65,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,201,201,DEM,B,UN,M,Age Over 66,37,11/27/2023,
MECKLENBURG,11/07/2023,voter,201,201,DEM,B,NL,M,Age 18 - 25,122,11/27/2023,
MECKLENBURG,11/07/2023,voter,231,231,UNA,W,NL,M,Age 41 - 65,181,11/27/2023,
MECKLENBURG,11/07/2023,voter,221,221,DEM,B,NL,M,Age 41 - 65,56,11/27/2023,
MECKLENBURG,11/07/2023,voter,069,069,REP,U,UN,U,Age Over 66,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,243,243,REP,M,UN,M,Age 18 - 25,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,011,011,DEM,I,NL,F,Age Over 66,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,051,051,DEM,O,UN,F,Age 26 - 40,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,223.1,223.1,DEM,M,NL,F,Age 26 - 40,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,063,063,REP,B,UN,M,Age Over 66,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,229,229,REP,B,NL,M,Age 26 - 40,8,11/27/2023,
MECKLENBURG,11/07/2023,voter,075,075,DEM,U,UN,F,Age 26 - 40,4,11/27/2023,
MECKLENBURG,11/07/2023,voter,210,210,DEM,U,UN,M,Age Over 66,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,052,052,UNA,M,HL,F,Age 26 - 40,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,145,145,REP,O,NL,U,Age 26 - 40,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,096,096,UNA,W,UN,F,Age 18 - 25,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,006,006,UNA,B,NL,M,Age 41 - 65,32,11/27/2023,
MECKLENBURG,11/07/2023,voter,140,140,DEM,W,UN,M,Age 18 - 25,7,11/27/2023,
