County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
ORANGE,10/10/23,TRANSFER,320004,C,CITY OF DURHAM CITY COUNCIL AT-LARGE,Shelia Ann Huggins, ,3,0,0,0,0,0,N
ORANGE,10/10/23,TRANSFER,320004,C,CITY OF DURHAM CITY COUNCIL AT-LARGE,Sherri Zann Rosenthal, ,3,0,0,0,0,0,N
ORANGE,10/10/23,TRANSFER,320004,C,CITY OF DURHAM CITY COUNCIL AT-LARGE,Waldo Fenner, ,3,0,0,0,0,0,N
PASQUOTANK,10/10/23,EAST,3,C,CITY OF ELIZABETH CITY COUNCILMAN 2ND WARD,Carol Peterson, ,2,7,9,0,0,16,Y
PASQUOTANK,10/10/23,EAST,3,C,CITY OF ELIZABETH CITY COUNCILMAN 2ND WARD,Javis Gibbs, ,2,7,8,0,0,15,Y
PASQUOTANK,10/10/23,EAST,3,C,CITY OF ELIZABETH CITY COUNCILMAN 2ND WARD,Rose Marie Whitehurst, ,2,2,15,0,0,17,Y
PASQUOTANK,10/10/23,EAST,3,C,CITY OF ELIZABETH CITY COUNCILMAN 2ND WARD,Write-In (Miscellaneous),,2,0,0,0,0,0,Y
PASQUOTANK,10/10/23,EAST,4,C,CITY OF ELIZABETH CITY COUNCILMAN 3RD WARD,Evelyn Strader, ,2,5,4,0,0,9,Y
PASQUOTANK,10/10/23,EAST,4,C,CITY OF ELIZABETH CITY COUNCILMAN 3RD WARD,Katherine W. Felton, ,2,6,16,0,0,22,Y
PASQUOTANK,10/10/23,EAST,4,C,CITY OF ELIZABETH CITY COUNCILMAN 3RD WARD,Kem Spence, ,2,7,18,0,0,25,Y
PASQUOTANK,10/10/23,EAST,4,C,CITY OF ELIZABETH CITY COUNCILMAN 3RD WARD,Moe Moore, ,2,1,2,0,0,3,Y
PASQUOTANK,10/10/23,EAST,4,C,CITY OF ELIZABETH CITY COUNCILMAN 3RD WARD,Write-In (Miscellaneous),,2,0,0,0,0,0,Y
PASQUOTANK,10/10/23,EAST,5,C,CITY OF ELIZABETH CITY COUNCILMAN 4TH WARD,Barbara Ann Baxter, ,2,11,6,0,0,17,Y
PASQUOTANK,10/10/23,EAST,5,C,CITY OF ELIZABETH CITY COUNCILMAN 4TH WARD,Johnnie B. Walton, ,2,12,23,0,0,35,Y
PASQUOTANK,10/10/23,EAST,5,C,CITY OF ELIZABETH CITY COUNCILMAN 4TH WARD,Ronnie (Sugarbear) Morris, ,2,11,16,0,0,27,Y
PASQUOTANK,10/10/23,EAST,5,C,CITY OF ELIZABETH CITY COUNCILMAN 4TH WARD,Sandra E. White, ,2,7,10,0,0,17,Y
PASQUOTANK,10/10/23,EAST,5,C,CITY OF ELIZABETH CITY COUNCILMAN 4TH WARD,Write-In (Miscellaneous),,2,0,1,0,0,1,Y
PASQUOTANK,10/10/23,EAST,150002,C,CITY OF ELIZABETH CITY COUNCILMAN 1ST WARD,Johnson Biggs, ,2,94,175,2,1,272,Y
PASQUOTANK,10/10/23,EAST,150002,C,CITY OF ELIZABETH CITY COUNCILMAN 1ST WARD,Joseph Peel, ,2,114,219,3,1,337,Y
PASQUOTANK,10/10/23,EAST,150002,C,CITY OF ELIZABETH CITY COUNCILMAN 1ST WARD,Write-In (Miscellaneous),,2,2,8,0,0,10,Y
PASQUOTANK,10/10/23,EAST,700001,C,CITY OF ELIZABETH CITY MAYOR,Bennie Murphy, ,1,9,32,1,0,42,Y
PASQUOTANK,10/10/23,EAST,700001,C,CITY OF ELIZABETH CITY MAYOR,Christina Williams, ,1,73,125,2,0,200,Y
PASQUOTANK,10/10/23,EAST,700001,C,CITY OF ELIZABETH CITY MAYOR,Kirk Rivers, ,1,105,184,0,1,290,Y
PASQUOTANK,10/10/23,EAST,700001,C,CITY OF ELIZABETH CITY MAYOR,Write-In (Miscellaneous),,1,0,0,0,0,0,Y
PASQUOTANK,10/10/23,MH,3,C,CITY OF ELIZABETH CITY COUNCILMAN 2ND WARD,Carol Peterson, ,2,15,10,3,0,28,Y
PASQUOTANK,10/10/23,MH,3,C,CITY OF ELIZABETH CITY COUNCILMAN 2ND WARD,Javis Gibbs, ,2,20,18,1,0,39,Y
PASQUOTANK,10/10/23,MH,3,C,CITY OF ELIZABETH CITY COUNCILMAN 2ND WARD,Rose Marie Whitehurst, ,2,19,26,0,0,45,Y
PASQUOTANK,10/10/23,MH,3,C,CITY OF ELIZABETH CITY COUNCILMAN 2ND WARD,Write-In (Miscellaneous),,2,0,0,0,0,0,Y
PASQUOTANK,10/10/23,MH,4,C,CITY OF ELIZABETH CITY COUNCILMAN 3RD WARD,Evelyn Strader, ,2,5,12,4,0,21,Y
PASQUOTANK,10/10/23,MH,4,C,CITY OF ELIZABETH CITY COUNCILMAN 3RD WARD,Katherine W. Felton, ,2,8,25,1,1,35,Y
PASQUOTANK,10/10/23,MH,4,C,CITY OF ELIZABETH CITY COUNCILMAN 3RD WARD,Kem Spence, ,2,9,21,0,2,32,Y
PASQUOTANK,10/10/23,MH,4,C,CITY OF ELIZABETH CITY COUNCILMAN 3RD WARD,Moe Moore, ,2,5,12,4,0,21,Y
PASQUOTANK,10/10/23,MH,4,C,CITY OF ELIZABETH CITY COUNCILMAN 3RD WARD,Write-In (Miscellaneous),,2,0,1,0,0,1,Y
PASQUOTANK,10/10/23,MH,700001,C,CITY OF ELIZABETH CITY MAYOR,Bennie Murphy, ,1,2,2,0,0,4,Y
PASQUOTANK,10/10/23,MH,700001,C,CITY OF ELIZABETH CITY MAYOR,Christina Williams, ,1,18,24,8,0,50,Y
PASQUOTANK,10/10/23,MH,700001,C,CITY OF ELIZABETH CITY MAYOR,Kirk Rivers, ,1,29,47,0,2,78,Y
PASQUOTANK,10/10/23,MH,700001,C,CITY OF ELIZABETH CITY MAYOR,Write-In (Miscellaneous),,1,0,1,0,0,1,Y
PASQUOTANK,10/10/23,NORTH,3,C,CITY OF ELIZABETH CITY COUNCILMAN 2ND WARD,Carol Peterson, ,2,30,25,0,0,55,Y
PASQUOTANK,10/10/23,NORTH,3,C,CITY OF ELIZABETH CITY COUNCILMAN 2ND WARD,Javis Gibbs, ,2,62,56,1,0,119,Y
PASQUOTANK,10/10/23,NORTH,3,C,CITY OF ELIZABETH CITY COUNCILMAN 2ND WARD,Rose Marie Whitehurst, ,2,29,47,1,0,77,Y
PASQUOTANK,10/10/23,NORTH,3,C,CITY OF ELIZABETH CITY COUNCILMAN 2ND WARD,Write-In (Miscellaneous),,2,1,2,0,0,3,Y
PASQUOTANK,10/10/23,NORTH,150002,C,CITY OF ELIZABETH CITY COUNCILMAN 1ST WARD,Johnson Biggs, ,2,10,36,0,0,46,Y
PASQUOTANK,10/10/23,NORTH,150002,C,CITY OF ELIZABETH CITY COUNCILMAN 1ST WARD,Joseph Peel, ,2,10,32,0,0,42,Y
PASQUOTANK,10/10/23,NORTH,150002,C,CITY OF ELIZABETH CITY COUNCILMAN 1ST WARD,Write-In (Miscellaneous),,2,0,4,0,1,5,Y
PASQUOTANK,10/10/23,NORTH,700001,C,CITY OF ELIZABETH CITY MAYOR,Bennie Murphy, ,1,8,10,0,0,18,Y
PASQUOTANK,10/10/23,NORTH,700001,C,CITY OF ELIZABETH CITY MAYOR,Christina Williams, ,1,41,44,0,0,85,Y
PASQUOTANK,10/10/23,NORTH,700001,C,CITY OF ELIZABETH CITY MAYOR,Kirk Rivers, ,1,53,77,1,1,132,Y
PASQUOTANK,10/10/23,NORTH,700001,C,CITY OF ELIZABETH CITY MAYOR,Write-In (Miscellaneous),,1,1,0,0,0,1,Y
PASQUOTANK,10/10/23,SOUTH,5,C,CITY OF ELIZABETH CITY COUNCILMAN 4TH WARD,Barbara Ann Baxter, ,2,34,82,2,1,119,Y
PASQUOTANK,10/10/23,SOUTH,5,C,CITY OF ELIZABETH CITY COUNCILMAN 4TH WARD,Johnnie B. Walton, ,2,83,204,4,2,293,Y
PASQUOTANK,10/10/23,SOUTH,5,C,CITY OF ELIZABETH CITY COUNCILMAN 4TH WARD,Ronnie (Sugarbear) Morris, ,2,76,142,2,1,221,Y
