County	Election Date	Precinct	Contest Group ID	Contest Type	Contest Name	Choice	Choice Party	Vote For	Election Day	One Stop	Absentee by Mail	Provisional	Total Votes	Real Precinct
LEE	09/12/2023	A1	9	C	CITY OF SANFORD COUNCIL MEMBER WARD 04 (DEM)	Byron Moses Buckels	DEM	1	12	0	0	0	12	Y
LEE	09/12/2023	A1	9	C	CITY OF SANFORD COUNCIL MEMBER WARD 04 (DEM)	Tamekia (Tee) Dowdy	DEM	1	5	0	0	0	5	Y
LEE	09/12/2023	A2	9	C	CITY OF SANFORD COUNCIL MEMBER WARD 04 (DEM)	Byron Moses Buckels	DEM	1	5	0	0	0	5	Y
LEE	09/12/2023	A2	9	C	CITY OF SANFORD COUNCIL MEMBER WARD 04 (DEM)	Tamekia (Tee) Dowdy	DEM	1	2	0	0	0	2	Y
LEE	09/12/2023	ABSENTEE	9	C	CITY OF SANFORD COUNCIL MEMBER WARD 04 (DEM)	Byron Moses Buckels	DEM	1	0	0	2	0	2	N
LEE	09/12/2023	ABSENTEE	9	C	CITY OF SANFORD COUNCIL MEMBER WARD 04 (DEM)	Tamekia (Tee) Dowdy	DEM	1	0	0	2	0	2	N
LEE	09/12/2023	B2	9	C	CITY OF SANFORD COUNCIL MEMBER WARD 04 (DEM)	Byron Moses Buckels	DEM	1	0	0	0	0	0	Y
LEE	09/12/2023	B2	9	C	CITY OF SANFORD COUNCIL MEMBER WARD 04 (DEM)	Tamekia (Tee) Dowdy	DEM	1	0	0	0	0	0	Y
LEE	09/12/2023	C2	9	C	CITY OF SANFORD COUNCIL MEMBER WARD 04 (DEM)	Byron Moses Buckels	DEM	1	0	0	0	0	0	Y
LEE	09/12/2023	C2	9	C	CITY OF SANFORD COUNCIL MEMBER WARD 04 (DEM)	Tamekia (Tee) Dowdy	DEM	1	0	0	0	0	0	Y
LEE	09/12/2023	D2	9	C	CITY OF SANFORD COUNCIL MEMBER WARD 04 (DEM)	Byron Moses Buckels	DEM	1	0	0	0	0	0	Y
LEE	09/12/2023	D2	9	C	CITY OF SANFORD COUNCIL MEMBER WARD 04 (DEM)	Tamekia (Tee) Dowdy	DEM	1	0	0	0	0	0	Y
LEE	09/12/2023	OS LEE CO. BOE	9	C	CITY OF SANFORD COUNCIL MEMBER WARD 04 (DEM)	Byron Moses Buckels	DEM	1	0	144	0	0	144	N
LEE	09/12/2023	OS LEE CO. BOE	9	C	CITY OF SANFORD COUNCIL MEMBER WARD 04 (DEM)	Tamekia (Tee) Dowdy	DEM	1	0	15	0	0	15	N
LEE	09/12/2023	PROVISIONAL	9	C	CITY OF SANFORD COUNCIL MEMBER WARD 04 (DEM)	Byron Moses Buckels	DEM	1	0	0	0	0	0	N
LEE	09/12/2023	PROVISIONAL	9	C	CITY OF SANFORD COUNCIL MEMBER WARD 04 (DEM)	Tamekia (Tee) Dowdy	DEM	1	0	0	0	0	0	N
LEE	09/12/2023	TRANSFER	9	C	CITY OF SANFORD COUNCIL MEMBER WARD 04 (DEM)	Byron Moses Buckels	DEM	1	0	0	0	0	0	N
LEE	09/12/2023	TRANSFER	9	C	CITY OF SANFORD COUNCIL MEMBER WARD 04 (DEM)	Tamekia (Tee) Dowdy	DEM	1	0	0	0	0	0	N
MECKLENBURG	09/12/2023	001	1	C	CITY OF CHARLOTTE MAYOR (DEM)	Lucille Puckett	DEM	1	4	1	0	0	5	Y
MECKLENBURG	09/12/2023	001	1	C	CITY OF CHARLOTTE MAYOR (DEM)	Vi Lyles	DEM	1	55	16	0	0	71	Y
MECKLENBURG	09/12/2023	001	5	C	CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (DEM)	Ben Copeland	DEM	4	34	9	0	0	43	Y
MECKLENBURG	09/12/2023	001	5	C	CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (DEM)	Charlene Henderson El	DEM	4	16	4	0	0	20	Y
MECKLENBURG	09/12/2023	001	5	C	CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (DEM)	Dimple Ajmera	DEM	4	53	16	0	0	69	Y
MECKLENBURG	09/12/2023	001	5	C	CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (DEM)	James (Smuggie) Mitchell, Jr.	DEM	4	35	8	0	0	43	Y
MECKLENBURG	09/12/2023	001	5	C	CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (DEM)	LaWana Slack-Mayfield	DEM	4	22	10	0	0	32	Y
MECKLENBURG	09/12/2023	001	5	C	CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (DEM)	Victoria Watlington	DEM	4	49	15	0	0	64	Y
MECKLENBURG	09/12/2023	002	1	C	CITY OF CHARLOTTE MAYOR (DEM)	Lucille Puckett	DEM	1	8	4	0	0	12	Y
MECKLENBURG	09/12/2023	002	1	C	CITY OF CHARLOTTE MAYOR (DEM)	Vi Lyles	DEM	1	83	43	0	0	126	Y
MECKLENBURG	09/12/2023	002	5	C	CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (DEM)	Ben Copeland	DEM	4	46	20	0	0	66	Y
MECKLENBURG	09/12/2023	002	5	C	CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (DEM)	Charlene Henderson El	DEM	4	45	22	0	0	67	Y
MECKLENBURG	09/12/2023	002	5	C	CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (DEM)	Dimple Ajmera	DEM	4	80	41	0	0	121	Y
