"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B29002_001E","Estimate!!Total:"
"B29002_001M","Margin of Error!!Total:"
"B29002_002E","Estimate!!Total:!!Less than 9th grade"
"B29002_002M","Margin of Error!!Total:!!Less than 9th grade"
"B29002_003E","Estimate!!Total:!!9th to 12th grade, no diploma"
"B29002_003M","Margin of Error!!Total:!!9th to 12th grade, no diploma"
"B29002_004E","Estimate!!Total:!!High school graduate (includes equivalency)"
"B29002_004M","Margin of Error!!Total:!!High school graduate (includes equivalency)"
"B29002_005E","Estimate!!Total:!!Some college, no degree"
"B29002_005M","Margin of Error!!Total:!!Some college, no degree"
"B29002_006E","Estimate!!Total:!!Associate's degree"
"B29002_006M","Margin of Error!!Total:!!Associate's degree"
"B29002_007E","Estimate!!Total:!!Bachelor's degree"
"B29002_007M","Margin of Error!!Total:!!Bachelor's degree"
"B29002_008E","Estimate!!Total:!!Graduate or professional degree"
"B29002_008M","Margin of Error!!Total:!!Graduate or professional degree"
