"GEO_ID","NAME","B29002_001E","B29002_001M","B29002_002E","B29002_002M","B29002_003E","B29002_003M","B29002_004E","B29002_004M","B29002_005E","B29002_005M","B29002_006E","B29002_006M","B29002_007E","B29002_007M","B29002_008E","B29002_008M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 9th grade","Margin of Error!!Total:!!Less than 9th grade","Estimate!!Total:!!9th to 12th grade, no diploma","Margin of Error!!Total:!!9th to 12th grade, no diploma","Estimate!!Total:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!High school graduate (includes equivalency)","Estimate!!Total:!!Some college, no degree","Margin of Error!!Total:!!Some college, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Graduate or professional degree","Margin of Error!!Total:!!Graduate or professional degree",
"1500000US370010201001","Block Group 1; Census Tract 201; Alamance County; North Carolina","1036","176","0","14","70","50","337","135","293","103","91","70","169","97","76","69",
"1500000US370010201002","Block Group 2; Census Tract 201; Alamance County; North Carolina","1177","294","4","8","44","44","152","123","282","131","50","39","414","183","231","96",
"1500000US370010201003","Block Group 3; Census Tract 201; Alamance County; North Carolina","408","132","3","8","133","111","133","90","33","26","47","37","31","52","28","36",
"1500000US370010201004","Block Group 4; Census Tract 201; Alamance County; North Carolina","597","213","0","14","52","52","195","107","115","86","82","86","153","157","0","14",
"1500000US370010202001","Block Group 1; Census Tract 202; Alamance County; North Carolina","661","323","226","208","56","49","298","149","65","81","2","13","14","21","0","14",
"1500000US370010202002","Block Group 2; Census Tract 202; Alamance County; North Carolina","208","142","0","14","24","35","57","49","19","25","43","41","65","82","0","14",
"1500000US370010202003","Block Group 3; Census Tract 202; Alamance County; North Carolina","263","139","13","23","36","54","151","99","23","30","20","31","20","22","0","14",
"1500000US370010202004","Block Group 4; Census Tract 202; Alamance County; North Carolina","1457","517","51","46","142","105","613","394","479","213","127","75","26","43","19","34",
"1500000US370010203011","Block Group 1; Census Tract 203.01; Alamance County; North Carolina","635","239","8","16","81","75","311","191","86","94","79","88","23","36","47","56",
"1500000US370010203012","Block Group 2; Census Tract 203.01; Alamance County; North Carolina","521","203","20","18","91","72","144","89","162","183","35","39","28","29","41","45",
"1500000US370010203013","Block Group 3; Census Tract 203.01; Alamance County; North Carolina","1321","453","75","68","104","59","569","267","370","257","50","55","106","78","47","71",
