"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"1500000US370010201001","Block Group 1; Census Tract 201; Alamance County; North Carolina","646","127","53","51","63","55","59","55","102","73","33","39","42","44","9","18","0","14","14","22","27","26","65","60","41","31","50","47","56","48","7","12","25","27",
"1500000US370010201002","Block Group 2; Census Tract 201; Alamance County; North Carolina","726","187","63","95","8","11","0","14","55","45","26","40","27","28","9","14","58","81","0","14","9","15","99","77","49","38","93","48","43","31","104","88","83","50",
"1500000US370010201003","Block Group 3; Census Tract 201; Alamance County; North Carolina","295","90","45","72","63","79","31","46","67","75","0","14","0","14","0","14","0","14","0","14","30","30","40","44","0","14","0","14","0","14","19","16","0","14",
"1500000US370010201004","Block Group 4; Census Tract 201; Alamance County; North Carolina","330","113","10","16","38","35","28","45","0","14","0","14","0","14","29","47","17","18","31","36","33","37","11","18","21","24","53","81","51","76","8","14","0","14",
"1500000US370010202001","Block Group 1; Census Tract 202; Alamance County; North Carolina","395","145","0","14","46","45","52","48","5","8","9","16","16","20","21","35","0","14","12","22","45","39","126","113","30","43","33","50","0","14","0","14","0","14",
"1500000US370010202002","Block Group 2; Census Tract 202; Alamance County; North Carolina","127","69","29","28","5","10","0","14","18","22","1","11","0","14","0","14","0","14","3","12","9","16","0","14","0","14","20","30","29","45","13","22","0","14",
"1500000US370010202003","Block Group 3; Census Tract 202; Alamance County; North Carolina","250","141","79","109","13","23","23","30","24","22","49","60","22","34","0","14","4","11","0","14","0","14","0","14","0","14","28","34","0","14","0","14","8","15",
"1500000US370010202004","Block Group 4; Census Tract 202; Alamance County; North Carolina","736","260","139","195","42","62","26","30","0","14","83","68","108","79","69","61","13","22","0","14","57","59","85","59","71","78","34","37","9","14","0","14","0","14",
"1500000US370010203011","Block Group 1; Census Tract 203.01; Alamance County; North Carolina","381","131","55","66","22","41","0","14","0","14","26","43","5","9","87","81","8","13","8","14","30","49","40","79","67","67","10","16","0","14","23","38","0","14",
"1500000US370010203012","Block Group 2; Census Tract 203.01; Alamance County; North Carolina","402","203","24","30","36","60","8","14","123","176","68","74","13","22","9","17","12","21","58","55","0","14","0","14","9","15","42","74","0","14","0","14","0","14",
"1500000US370010203013","Block Group 3; Census Tract 203.01; Alamance County; North Carolina","698","245","21","25","22","35","125","170","34","38","40","52","87","116","37","37","61","63","12","20","0","14","79","98","102","114","41","57","18","25","19","27","0","14",
"1500000US370010203021","Block Group 1; Census Tract 203.02; Alamance County; North Carolina","451","123","19","23","0","14","0","14","20","35","10","16","100","85","0","14","5","8","37","55","80","59","14","24","107","71","11","32","18","30","30","53","0","14",
"1500000US370010203022","Block Group 2; Census Tract 203.02; Alamance County; North Carolina","735","181","104","95","11","18","62","87","0","14","75","72","41","64","23","32","30","55","41","49","29","43","29","31","148","96","6","11","129","145","7","13","0","14",
"1500000US370010204001","Block Group 1; Census Tract 204; Alamance County; North Carolina","889","254","39","55","246","221","45","56","17","30","0","14","55","72","33","51","0","14","38","59","30","48","56","54","205","145","20","41","73","95","23","33","9","14",
"1500000US370010204002","Block Group 2; Census Tract 204; Alamance County; North Carolina","881","217","0","14","64","78","18","31","0","14","224","187","52","84","96","108","24","29","98","124","44","56","143","100","2","5","116","107","0","14","0","14","0","14",
"1500000US370010204003","Block Group 3; Census Tract 204; Alamance County; North Carolina","218","103","0","14","14","24","45","42","0","14","0","14","32","49","20","41","0","14","11","20","14","23","0","14","70","88","0","14","12","18","0","14","0","14",
"1500000US370010204004","Block Group 4; Census Tract 204; Alamance County; North Carolina","223","124","38","38","0","14","39","34","0","14","0","14","0","14","93","105","4","7","9","24","12","34","14","22","14","24","0","14","0","14","0","14","0","14",
"1500000US370010204005","Block Group 5; Census Tract 204; Alamance County; North Carolina","419","201","19","44","13","22","50","73","174","174","0","14","21","41","21","36","11","19","0","14","0","14","68","78","30","45","12","26","0","14","0","14","0","14",
"1500000US370010205011","Block Group 1; Census Tract 205.01; Alamance County; North Carolina","914","150","21","22","30","44","46","47","57","39","31","33","48","45","56","43","24","33","91","75","108","68","117","77","105","66","86","53","74","61","20","19","0","14",
"1500000US370010205012","Block Group 2; Census Tract 205.01; Alamance County; North Carolina","404","85","23","34","8","12","16","18","18","29","0","14","30","25","11","12","11","14","27","25","12","16","45","33","72","42","62","38","31","25","38","38","0","14",
"1500000US370010205021","Block Group 1; Census Tract 205.02; Alamance County; North Carolina","991","184","127","122","31","50","66","72","27","28","98","148","113","82","25","34","24","29","46","62","66","68","122","73","94","71","59","36","56","44","37","56","0","14",
"1500000US370010205022","Block Group 2; Census Tract 205.02; Alamance County; North Carolina","218","87","46","49","0","14","17","27","0","14","12","18","0","14","62","84","8","12","38","43","5","13","24","34","6","11","0","14","0","14","0","14","0","14",
"1500000US370010205023","Block Group 3; Census Tract 205.02; Alamance County; North Carolina","296","128","16","24","0","14","0","14","0","14","0","14","43","65","46","53","12","15","12","21","17","26","112","105","36","32","0","14","2","19","0","14","0","14",
