"GEO_ID","NAME","B29002_001E","B29002_001M","B29002_002E","B29002_002M","B29002_003E","B29002_003M","B29002_004E","B29002_004M","B29002_005E","B29002_005M","B29002_006E","B29002_006M","B29002_007E","B29002_007M","B29002_008E","B29002_008M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 9th grade","Margin of Error!!Total:!!Less than 9th grade","Estimate!!Total:!!9th to 12th grade, no diploma","Margin of Error!!Total:!!9th to 12th grade, no diploma","Estimate!!Total:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!High school graduate (includes equivalency)","Estimate!!Total:!!Some college, no degree","Margin of Error!!Total:!!Some college, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Graduate or professional degree","Margin of Error!!Total:!!Graduate or professional degree",
"1500000US370010201001","Block Group 1; Census Tract 201; Alamance County; North Carolina","1049","229","0","14","39","36","356","152","355","153","82","66","115","67","102","71",
"1500000US370010201002","Block Group 2; Census Tract 201; Alamance County; North Carolina","1186","297","0","14","42","53","149","129","187","119","55","39","504","206","249","102",
"1500000US370010201003","Block Group 3; Census Tract 201; Alamance County; North Carolina","365","129","2","6","102","99","159","93","31","26","34","32","28","48","9","14",
"1500000US370010201004","Block Group 4; Census Tract 201; Alamance County; North Carolina","549","262","0","14","48","48","132","69","109","77","115","105","122","168","23","26",
"1500000US370010202001","Block Group 1; Census Tract 202; Alamance County; North Carolina","953","322","221","194","67","40","505","221","128","117","17","21","15","21","0","14",
"1500000US370010202002","Block Group 2; Census Tract 202; Alamance County; North Carolina","259","146","0","14","12","20","120","94","24","23","48","42","55","75","0","14",
"1500000US370010202003","Block Group 3; Census Tract 202; Alamance County; North Carolina","346","254","0","14","0","14","114","83","129","194","22","35","81","64","0","14",
"1500000US370010202004","Block Group 4; Census Tract 202; Alamance County; North Carolina","1059","406","46","43","46","37","594","392","239","116","88","70","27","44","19","34",
"1500000US370010203011","Block Group 1; Census Tract 203.01; Alamance County; North Carolina","755","292","9","12","99","87","332","212","174","127","73","71","23","36","45","58",
"1500000US370010203012","Block Group 2; Census Tract 203.01; Alamance County; North Carolina","629","203","13","23","83","63","182","110","222","150","69","88","19","20","41","48",
"1500000US370010203013","Block Group 3; Census Tract 203.01; Alamance County; North Carolina","1080","450","60","77","65","58","441","251","357","229","38","41","95","82","24","37",
"1500000US370010203021","Block Group 1; Census Tract 203.02; Alamance County; North Carolina","660","134","76","58","120","75","142","91","77","60","71","53","156","119","18","27",
"1500000US370010203022","Block Group 2; Census Tract 203.02; Alamance County; North Carolina","775","271","48","53","63","68","318","135","197","122","80","67","63","53","6","11",
"1500000US370010204001","Block Group 1; Census Tract 204; Alamance County; North Carolina","1422","408","41","58","61","55","501","236","504","264","148","124","154","133","13","22",
"1500000US370010204002","Block Group 2; Census Tract 204; Alamance County; North Carolina","1162","435","0","14","96","103","498","210","393","299","11","20","164","176","0","14",
"1500000US370010204003","Block Group 3; Census Tract 204; Alamance County; North Carolina","412","225","66","82","14","22","161","136","93","73","0","14","66","95","12","20",
"1500000US370010204004","Block Group 4; Census Tract 204; Alamance County; North Carolina","566","315","12","22","27","31","314","209","29","26","95","121","75","107","14","24",
"1500000US370010204005","Block Group 5; Census Tract 204; Alamance County; North Carolina","664","336","44","67","28","33","299","198","231","161","39","39","23","38","0","14",
"1500000US370010205011","Block Group 1; Census Tract 205.01; Alamance County; North Carolina","2149","378","68","61","164","112","553","145","779","217","74","45","428","200","83","63",
"1500000US370010205012","Block Group 2; Census Tract 205.01; Alamance County; North Carolina","698","220","15","22","71","42","182","86","90","54","109","65","161","82","70","47",
"1500000US370010205021","Block Group 1; Census Tract 205.02; Alamance County; North Carolina","1306","294","7","12","73","92","510","204","448","205","168","95","76","77","24","32",
"1500000US370010205022","Block Group 2; Census Tract 205.02; Alamance County; North Carolina","449","179","23","55","132","77","199","120","39","51","40","55","16","34","0","14",
"1500000US370010205023","Block Group 3; Census Tract 205.02; Alamance County; North Carolina","614","415","53","71","84","96","284","274","144","117","49","48","0","14","0","14",
"1500000US370010206011","Block Group 1; Census Tract 206.01; Alamance County; North Carolina","789","277","13","17","0","14","58","43","269","226","15","17","274","122","160","85",
"1500000US370010206012","Block Group 2; Census Tract 206.01; Alamance County; North Carolina","753","185","0","14","6","11","28","26","157","82","76","42","307","127","179","78",
"1500000US370010206013","Block Group 3; Census Tract 206.01; Alamance County; North Carolina","1072","202","17","27","0","14","145","56","203","86","117","95","510","170","80","59",
"1500000US370010206021","Block Group 1; Census Tract 206.02; Alamance County; North Carolina","397","151","17","21","26","30","109","75","101","75","76","65","40","49","28","24",
"1500000US370010206022","Block Group 2; Census Tract 206.02; Alamance County; North Carolina","1704","332","34","23","115","98","388","199","249","161","213","99","486","175","219","101",
"1500000US370010207011","Block Group 1; Census Tract 207.01; Alamance County; North Carolina","986","411","31","37","125","176","153","137","229","170","252","184","161","136","35","42",
"1500000US370010207012","Block Group 2; Census Tract 207.01; Alamance County; North Carolina","1370","375","16","30","161","233","276","226","272","178","125","100","252","147","268","164",
"1500000US370010207013","Block Group 3; Census Tract 207.01; Alamance County; North Carolina","438","159","0","14","14","23","30","34","164","113","160","85","54","47","16","30",
"1500000US370010207014","Block Group 4; Census Tract 207.01; Alamance County; North Carolina","1641","437","0","14","32","47","177","114","551","215","335","196","261","158","285","189",
"1500000US370010207021","Block Group 1; Census Tract 207.02; Alamance County; North Carolina","1088","452","0","14","21","34","67","61","300","152","113","93","552","364","35","50",
"1500000US370010207022","Block Group 2; Census Tract 207.02; Alamance County; North Carolina","836","301","0","14","95","90","191","150","121","114","140","104","195","136","94","74",
"1500000US370010207023","Block Group 3; Census Tract 207.02; Alamance County; North Carolina","1194","483","0","14","53","82","532","323","348","238","159","122","79","79","23","36",
"1500000US370010207024","Block Group 4; Census Tract 207.02; Alamance County; North Carolina","792","373","19","33","3","5","363","309","149","137","98","95","155","155","5","23",
"1500000US370010208011","Block Group 1; Census Tract 208.01; Alamance County; North Carolina","1254","196","28","38","53","46","525","172","310","112","119","48","116","54","103","52",
"1500000US370010208021","Block Group 1; Census Tract 208.02; Alamance County; North Carolina","347","225","130","153","9","14","0","14","75","84","46","53","68","93","19","34",
"1500000US370010208022","Block Group 2; Census Tract 208.02; Alamance County; North Carolina","779","334","62","69","195","142","102","104","88","77","101","107","169","133","62","91",
"1500000US370010208023","Block Group 3; Census Tract 208.02; Alamance County; North Carolina","1080","490","15","26","68","68","258","151","490","433","96","73","132","114","21","38",
"1500000US370010208024","Block Group 4; Census Tract 208.02; Alamance County; North Carolina","549","288","28","48","28","44","246","173","167","159","16","31","64","102","0","14",
"1500000US370010208025","Block Group 5; Census Tract 208.02; Alamance County; North Carolina","277","221","56","66","17","38","140","120","64","144","0","14","0","14","0","14",
"1500000US370010208026","Block Group 6; Census Tract 208.02; Alamance County; North Carolina","623","263","67","98","90","68","191","138","141","102","107","86","27","44","0","14",
"1500000US370010209011","Block Group 1; Census Tract 209.01; Alamance County; North Carolina","950","240","24","26","99","63","290","128","195","130","59","46","200","139","83","65",
"1500000US370010209012","Block Group 2; Census Tract 209.01; Alamance County; North Carolina","995","265","10","18","0","14","446","207","254","148","66","84","119","85","100","83",
"1500000US370010209013","Block Group 3; Census Tract 209.01; Alamance County; North Carolina","1191","354","0","14","0","14","491","250","278","161","86","44","213","159","123","82",
"1500000US370010209021","Block Group 1; Census Tract 209.02; Alamance County; North Carolina","2341","385","12","18","87","63","618","201","644","221","325","177","512","172","143","78",
"1500000US370010209022","Block Group 2; Census Tract 209.02; Alamance County; North Carolina","1209","289","104","84","77","68","343","155","259","97","120","84","220","107","86","61",
"1500000US370010210001","Block Group 1; Census Tract 210; Alamance County; North Carolina","915","354","17","21","127","81","456","324","178","112","48","42","67","57","22","23",
"1500000US370010210002","Block Group 2; Census Tract 210; Alamance County; North Carolina","1300","323","100","76","118","90","539","207","269","142","116","56","132","88","26","30",
"1500000US370010210003","Block Group 3; Census Tract 210; Alamance County; North Carolina","476","199","19","20","35","36","119","77","129","93","107","78","67","81","0","14",
"1500000US370010211011","Block Group 1; Census Tract 211.01; Alamance County; North Carolina","608","254","10","16","91","91","152","89","117","106","90","70","99","98","49","40",
"1500000US370010211012","Block Group 2; Census Tract 211.01; Alamance County; North Carolina","2065","372","65","64","222","130","591","231","316","162","253","137","358","133","260","154",
