County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
AVERY,11/7/23,6,7,C,TOWN OF ELK PARK COUNCIL MEMBER,Tony Eller, ,5,37,3,0,1,41,Y
AVERY,11/7/23,6,7,C,TOWN OF ELK PARK COUNCIL MEMBER,Write-In (Miscellaneous),,5,1,0,0,0,1,Y
AVERY,11/7/23,11,8,C,GRANDFATHER VILLAGE MAYOR,Richard C. Norman, ,1,15,1,0,0,16,Y
AVERY,11/7/23,11,8,C,GRANDFATHER VILLAGE MAYOR,Write-In (Miscellaneous),,1,0,0,0,0,0,Y
AVERY,11/7/23,11,9,C,GRANDFATHER VILLAGE COUNCIL MEMBER,Charles (Chick) Fuller, ,2,7,1,0,0,8,Y
AVERY,11/7/23,11,9,C,GRANDFATHER VILLAGE COUNCIL MEMBER,Stephen Hawes, ,2,14,1,0,0,15,Y
AVERY,11/7/23,11,9,C,GRANDFATHER VILLAGE COUNCIL MEMBER,Write-In (Miscellaneous),,2,5,0,0,0,5,Y
AVERY,11/7/23,14,10,C,TOWN OF NEWLAND COUNCIL MEMBER,Autumn Killion (Write-In),,3,0,1,0,0,1,Y
AVERY,11/7/23,14,10,C,TOWN OF NEWLAND COUNCIL MEMBER,Christian (Christie) Hughes, ,3,30,14,0,2,46,Y
AVERY,11/7/23,14,10,C,TOWN OF NEWLAND COUNCIL MEMBER,David P. Calvert, ,3,14,11,0,0,25,Y
AVERY,11/7/23,14,10,C,TOWN OF NEWLAND COUNCIL MEMBER,Gail Haller, ,3,21,8,0,2,31,Y
AVERY,11/7/23,14,10,C,TOWN OF NEWLAND COUNCIL MEMBER,Kenan Foxx, ,3,23,15,0,1,39,Y
AVERY,11/7/23,14,10,C,TOWN OF NEWLAND COUNCIL MEMBER,Kenny Caraway (Write-In),,3,0,8,0,0,8,Y
AVERY,11/7/23,14,10,C,TOWN OF NEWLAND COUNCIL MEMBER,Nancy E. Davis, ,3,11,7,0,0,18,Y
AVERY,11/7/23,14,10,C,TOWN OF NEWLAND COUNCIL MEMBER,Write-In (Miscellaneous),,3,3,0,0,1,4,Y
AVERY,11/7/23,15,10,C,TOWN OF NEWLAND COUNCIL MEMBER,Autumn Killion (Write-In),,3,0,0,0,0,0,Y
AVERY,11/7/23,15,10,C,TOWN OF NEWLAND COUNCIL MEMBER,Christian (Christie) Hughes, ,3,23,13,0,1,37,Y
AVERY,11/7/23,15,10,C,TOWN OF NEWLAND COUNCIL MEMBER,David P. Calvert, ,3,8,2,0,0,10,Y
AVERY,11/7/23,15,10,C,TOWN OF NEWLAND COUNCIL MEMBER,Gail Haller, ,3,13,14,0,1,28,Y
AVERY,11/7/23,15,10,C,TOWN OF NEWLAND COUNCIL MEMBER,Kenan Foxx, ,3,16,3,0,0,19,Y
AVERY,11/7/23,15,10,C,TOWN OF NEWLAND COUNCIL MEMBER,Kenny Caraway (Write-In),,3,0,2,0,0,2,Y
AVERY,11/7/23,15,10,C,TOWN OF NEWLAND COUNCIL MEMBER,Nancy E. Davis, ,3,10,2,0,0,12,Y
AVERY,11/7/23,15,10,C,TOWN OF NEWLAND COUNCIL MEMBER,Write-In (Miscellaneous),,3,3,0,0,0,3,Y
BEAUFORT,11/7/23,ABSENTEE,1,C,TOWN OF AURORA COMMISSIONER,Coley W. Jordan, ,2,0,0,0,0,0,N
BEAUFORT,11/7/23,ABSENTEE,1,C,TOWN OF AURORA COMMISSIONER,Steve McCormack, ,2,0,0,0,0,0,N
BEAUFORT,11/7/23,ABSENTEE,1,C,TOWN OF AURORA COMMISSIONER,Tina Bass Taylor, ,2,0,0,0,0,0,N
BEAUFORT,11/7/23,ABSENTEE,1,C,TOWN OF AURORA COMMISSIONER,Write-In (Miscellaneous),,2,0,0,0,0,0,N
BEAUFORT,11/7/23,ABSENTEE,2,C,TOWN OF BATH MAYOR,Donna Wortman (Write-In),,1,0,0,0,0,0,N
BEAUFORT,11/7/23,ABSENTEE,2,C,TOWN OF BATH MAYOR,James G. (Jimmy) Latham, ,1,0,0,0,0,0,N
BEAUFORT,11/7/23,ABSENTEE,2,C,TOWN OF BATH MAYOR,Write-In (Miscellaneous),,1,0,0,0,0,0,N
BEAUFORT,11/7/23,ABSENTEE,3,C,TOWN OF BATH COMMISSIONER,John A. Taylor, ,2,0,0,0,0,0,N
BEAUFORT,11/7/23,ABSENTEE,3,C,TOWN OF BATH COMMISSIONER,William Keith Tankard, ,2,0,0,0,0,0,N
BEAUFORT,11/7/23,ABSENTEE,3,C,TOWN OF BATH COMMISSIONER,Write-In (Miscellaneous),,2,0,0,0,0,0,N
BEAUFORT,11/7/23,ABSENTEE,5,C,TOWN OF BELHAVEN ALDERMAN EAST END,Carrie Anderson Bonnie (Write-In),,2,0,0,0,0,0,N
BEAUFORT,11/7/23,ABSENTEE,5,C,TOWN OF BELHAVEN ALDERMAN EAST END,Nathan Van Nortwick, ,2,0,0,3,0,3,N
BEAUFORT,11/7/23,ABSENTEE,5,C,TOWN OF BELHAVEN ALDERMAN EAST END,Stacey Conner, ,2,0,0,0,0,0,N
BEAUFORT,11/7/23,ABSENTEE,5,C,TOWN OF BELHAVEN ALDERMAN EAST END,Veronica P. Ward, ,2,0,0,0,0,0,N
BEAUFORT,11/7/23,ABSENTEE,5,C,TOWN OF BELHAVEN ALDERMAN EAST END,Write-In (Miscellaneous),,2,0,0,3,0,3,N
BEAUFORT,11/7/23,ABSENTEE,6,C,TOWN OF BELHAVEN ALDERMAN WEST END,Shanika E. Ebron, ,1,0,0,2,0,2,N
BEAUFORT,11/7/23,ABSENTEE,6,C,TOWN OF BELHAVEN ALDERMAN WEST END,Write-In (Miscellaneous),,1,0,0,0,0,0,N
BEAUFORT,11/7/23,ABSENTEE,7,C,TOWN OF CHOCOWINITY COMMISSIONER,Casey Langley, ,2,0,0,0,0,0,N
BEAUFORT,11/7/23,ABSENTEE,7,C,TOWN OF CHOCOWINITY COMMISSIONER,Jeff Haddock, ,2,0,0,0,0,0,N
BEAUFORT,11/7/23,ABSENTEE,7,C,TOWN OF CHOCOWINITY COMMISSIONER,Michael (Mike) Jones, ,2,0,0,0,0,0,N
BEAUFORT,11/7/23,ABSENTEE,7,C,TOWN OF CHOCOWINITY COMMISSIONER,Nathaniel Williams, ,2,0,0,0,0,0,N
BEAUFORT,11/7/23,ABSENTEE,7,C,TOWN OF CHOCOWINITY COMMISSIONER,Write-In (Miscellaneous),,2,0,0,0,0,0,N
BEAUFORT,11/7/23,ABSENTEE,8,C,TOWN OF PANTEGO MAYOR,Stuart E. Ricks, ,1,0,0,0,0,0,N
