objectid,id,county_id,prec_id,enr_desc,county_nam,of_prec_id,shape_leng,st_areashape,st_perimetershape
1,1,84,0003,ALBEMARLE NUMBER 3,STANLY, ,40731.3507786,43231281.4748985,40731.3507786253
2,2,12,0003,DREXEL 03,BURKE, ,49918.8490395,108319906.647547,49918.849039536
3,22,12,0019,LINVILLE 01,BURKE, ,160866.952809,871805502.088099,160866.952809295
4,23,84,0019,RIDENHOUR,STANLY, ,125698.778851,899272261.409063,125698.778851241
5,71,60,007,007,MECKLENBURG, ,17915.4369725,18523838.7405175,17915.4369724781
6,72,90,007,MT. CARMEL METHODIST CHURCH,UNION, ,125576.598082,528817773.632126,125576.598081704
7,73,93,007,SHOCCO,WARREN, ,154360.169887,999650555.665267,154360.169886646
8,74,12,0070,SALEM,BURKE, ,67955.4572964,219117488.016132,67955.4572963847
9,75,90,008,WINGATE COMMUNITY CENTER,UNION, ,73702.4844325,157351975.886238,73702.4844324675
10,25,90,002,MONROE MIDDLE SCHOOL,UNION, ,39298.7606787,40550331.835807,39298.760678654
11,5,93,001,RIVER,WARREN, ,128209.670467,965155960.326227,128209.670466835
12,36,84,0025,FURR NUMBER 2,STANLY, ,151352.770294,892844587.744562,151352.770293773
13,37,84,0026,TYSON,STANLY, ,171841.830994,1076118429.45279,171841.830993525
14,84,85,01,DANBURY,STOKES, ,216051.716044,873861127.7135,216051.716043948
15,85,47,01,ALLENDALE,HOKE, ,139582.012606,663586815.258834,139582.012605936
16,6,60,001,001,MECKLENBURG, ,27386.136259,17739583.6774623,27386.136259013
17,44,60,003,003,MECKLENBURG, ,26655.293581,26898662.3289276,26655.2935810056
18,45,12,0031,MORGANTON 01,BURKE, ,69989.1236384,78350683.5532437,69989.1236384001
19,7,90,001,BENTON HEIGHTS CHURCH OF GOD,UNION, ,47977.4732873,56188875.7454894,47977.4732873129
20,9,12,0011,ICARD 01,BURKE, ,89433.7758387,349410332.536442,89433.7758386629
21,10,84,0011,ALBEMARLE NUMBER 11,STANLY, ,50539.3626469,106647340.501303,50539.3626468816
22,11,12,0012,ICARD 02,BURKE, ,149637.703336,545183131.060003,149637.703336305
23,12,12,0013,ICARD 03,BURKE, ,94205.819065,277837081.2922,94205.8190650107
24,57,12,0048,QUAKER MEADOWS 02,BURKE, ,133068.943115,350383063.660577,133068.94311546
25,495,32,07,SCHOOL OF THE ARTS,DURHAM, ,23238.8952914,18598541.3865389,23238.8952914347
26,496,96,07,07,WAYNE, ,126611.383289,761760593.459219,126611.383288677
27,14,84,0014,EAST ALBEMARLE,STANLY, ,126452.955578,487959309.033497,126452.9555782
28,15,12,0014,ICARD 04,BURKE, ,91570.1752304,287901977.342315,91570.1752303896
29,16,12,0015,ICARD 05,BURKE, ,70568.9414237,141156775.327283,70568.9414236574
30,17,84,0015,BADIN,STANLY, ,128951.109656,498225430.203929,128951.109656415
31,18,84,0016,PALMERVILLE,STANLY, ,153029.189236,514852523.236736,153029.189235913
32,19,84,0017,NEW LONDON,STANLY, ,125080.548914,592545740.155023,125080.548913547
33,20,12,0018,JONAS RIDGE,BURKE, ,121720.968413,678310169.627754,121720.968413378
34,497,61,07,POPLAR,MITCHELL, ,145837.998724,504577861.338885,145837.998724133
35,21,84,0018,RICHFIELD,STANLY, ,118621.590223,465489052.52313,118621.590222683
36,24,93,002,SIXPOUND,WARREN, ,158980.979501,1087323879.2975,158980.979500618
37,26,60,002,002,MECKLENBURG, ,31337.9472065,24269418.5642573,31337.9472064783
38,105,92,01-05,01-05,WAKE, ,14500.1059399,13259014.5005343,14500.1059399186
39,28,12,0020,LINVILLE 02,BURKE, ,131485.663783,434105740.384587,131485.663783075
40,29,84,0021,ENDY,STANLY, ,114827.26794,513099864.283285,114827.267940158
41,30,12,0021,LOVELADY 01,BURKE, ,54729.8751938,97868351.056703,54729.8751938172
42,31,84,0022,BIG LICK NUMBER 1,STANLY, ,143398.663554,512627684.344495,143398.663553548
43,32,12,0022,LOVELADY 02,BURKE, ,96259.4377322,282796074.234697,96259.4377321576
44,33,84,0023,BIG LICK NUMBER 2,STANLY, ,198314.173203,852264783.745897,198314.173202864
45,34,84,0024,FURR NUMBER 1,STANLY, ,115544.131755,514067371.80385,115544.131755019
46,35,12,0024,LOVELADY 04,BURKE, ,116919.118962,252188970.354042,116919.118962209
47,38,84,0027,EAST CENTER,STANLY, ,112082.92511,564208874.263082,112082.925109862
48,39,84,0028,WEST CENTER,STANLY, ,162792.399474,678318913.867863,162792.399474434
49,42,93,003,HAWTREE,WARREN, ,141491.497164,1056295291.03229,141491.497163542
50,43,90,003,ST. LUKES LUTHERAN CHURCH,UNION, ,45448.1247605,60332461.5020425,45448.124760522
51,46,12,0034,MORGANTON 04,BURKE, ,46959.0404827,66548635.636212,46959.0404827465
52,110,92,01-09,01-09,WAKE, ,12038.2346924,8161908.762607,12038.234692407
53,47,12,0035,MORGANTON 05,BURKE, ,39369.9208938,53995980.8000756,39369.9208938082
54,48,12,0036,MORGANTON 06,BURKE, ,83831.9064676,317373211.929934,83831.9064675951
55,49,12,0038,MORGANTON 08,BURKE, ,86648.6275755,207962780.65669,86648.6275755138
56,50,12,0039,MORGANTON 09,BURKE, ,56732.0007398,119377149.003974,56732.0007398198
57,51,60,004,004,MECKLENBURG, ,37928.405395,44224610.1004751,37928.4053949639
58,52,93,004,SMITH CREEK,WARREN, ,125739.984285,682756134.706877,125739.984284774
59,53,90,004,SUTTON PARK RECREATION CENTER,UNION, ,76893.002455,143196719.014478,76893.0024550015
60,54,12,0040,MORGANTON 10,BURKE, ,85859.8530004,224190798.511029,85859.8530003876
61,55,12,0047-A,QUAKER MEADOWS  1-A,BURKE, ,109562.654605,414790870.181107,109562.654605494
62,727,32,12,MONUMENT OF FAITH CHURCH,DURHAM, ,13937.7806396,8738685.83503249,13937.7806395702
63,728,56,12,CARTOOGECHAYE,MACON, ,247190.594074,2099526140.75139,247190.594073952
64,729,85,12,MOUNT OLIVE,STOKES, ,131160.15208,596311745.521722,131160.152080172
65,56,12,0047-B,QUAKER MEADOWS  1-B,BURKE, ,70546.3438321,255675899.272345,70546.3438321283
66,58,60,005,005,MECKLENBURG, ,18855.0785533,15820741.1405573,18855.0785532766
67,65,60,006,006,MECKLENBURG, ,25975.5134891,29119608.9343092,25975.5134891282
68,60,93,005,NUTBUSH,WARREN, ,154196.419391,943159998.372481,154196.419391435
69,61,12,0051,SILVER CREEK 01,BURKE, ,116723.704969,385739885.873893,116723.704968532
70,62,12,0052,SILVER CREEK 02,BURKE, ,152274.007694,434014682.816484,152274.007693575
71,64,93,006,SANDY CREEK,WARREN, ,148943.142463,926126482.529566,148943.142463278
72,10088,34,704,PARKWAY UNITED CHURCH OF CHRIST,FORSYTH, ,20705.2501418,18280200.4422014,20705.2501417911
73,66,90,006,BENTON HEIGHTS PRESBYTERIAN CHURCH,UNION, ,85949.5398646,307849293.372751,85949.5398646303
74,67,12,0062,UPPER CREEK,BURKE, ,210627.439119,2313314028.48333,210627.43911936
75,68,12,0064,UPPER FORK,BURKE, ,143232.913817,738658452.370483,143232.913816709
76,70,12,0066,CHESTERFIELD,BURKE, ,162743.605894,876550180.138969,162743.605893515
77,76,60,008,008,MECKLENBURG, ,23927.6167059,19840056.1749723,23927.6167058619
78,77,93,008,FISHING CREEK,WARREN, ,215540.841833,1369594199.32109,215540.841832633
79,80,60,009,009,MECKLENBURG, ,24910.8301598,31107783.3621424,24910.8301597919
80,81,95,01,BALD MOUNTAIN,WATAUGA, ,99998.7439749,327126922.830324,99998.74397493
81,78,90,009,BEAVER LANE VFD,UNION, ,63175.5897113,54765607.8818728,63175.589711271
82,79,93,009,JUDKINS,WARREN, ,185028.006301,1506900319.05253,185028.006301347
83,82,32,01,BROGDEN MIDDLE SCHOOL,DURHAM, ,19884.3924794,14839923.7497558,19884.3924793789
84,86,1,01,PATTERSON,ALAMANCE, ,151849.322925,1414423124.61991,151849.322925273
85,88,96,01,01,WAYNE, ,164573.450564,1025468292.20677,164573.45056392
86,89,18,01,BALLS CREEK,CATAWBA, ,145893.215828,758770435.400399,145893.215828296
87,90,3,01,CHERRY LANE,ALLEGHANY, ,158761.496865,1133421956.05988,158761.496864582
88,91,6,01,ALTAMONT,AVERY, ,117050.656914,453049773.001049,117050.65691421
89,92,78,01,ALFORDSVILLE,ROBESON, ,162379.768593,1178199397.69624,162379.768593281
90,93,56,01,NORTH FRANKLIN,MACON, ,79954.7119318,211052674.567326,79954.7119318385
91,94,30,01,NORTH CALAHALN,DAVIE, ,141804.411206,608757676.625022,141804.411206489
92,95,35,01,LOUISBURG CITY,FRANKLIN, ,75144.8708252,64628095.5862747,75144.8708251864
93,96,77,01,ROCKINGHAM  1,RICHMOND, ,158558.519366,571092674.699338,158558.519365651
94,97,80,01,BARNHARDT MILL,ROWAN, ,86109.8287409,297290760.150848,86109.8287408902
95,98,61,01,BAKERSVILLE,MITCHELL, ,110640.140614,471739118.310099,110640.140614298
96,99,92,01-01,01-01,WAKE, ,16835.3311707,15495781.5555503,16835.3311706917
97,100,13,01-02,01-02,CABARRUS, ,119747.741555,416391064.85916,119747.74155526
98,101,92,01-02,01-02,WAKE, ,24437.0154149,24455474.2175049,24437.0154149111
99,102,92,01-03,01-03,WAKE, ,21790.1867166,22420569.9019246,21790.1867166109
100,103,92,01-04,01-04,WAKE, ,17601.5306443,11565203.6662189,17601.5306443
101,104,13,01-04,01-04,CABARRUS, ,65707.2985176,203385535.936834,65707.2985176335
102,734,35,12,HAYESVILLE,FRANKLIN, ,133901.634304,921867680.277227,133901.634303868
103,106,92,01-06,01-06,WAKE, ,19556.7934879,18364517.3279034,19556.7934879471
104,107,92,01-07,01-07,WAKE, ,16859.6740377,13982111.7950574,16859.6740376575
105,108,13,01-07,01-07,CABARRUS, ,55384.3333159,136573293.668944,55384.333315886
106,112,92,01-10,01-10,WAKE, ,17949.3001729,13141556.5843994,17949.3001729036
107,109,13,01-08,01-08,CABARRUS, ,72225.4502676,217055504.837612,72225.4502675889
108,111,13,01-10,01-10,CABARRUS, ,82696.1077932,117715910.454794,82696.1077932293
109,113,92,01-11,01-11,WAKE, ,34258.5382147,49955572.7632964,34258.5382146882
110,114,13,01-11,01-11,CABARRUS, ,84028.5425618,151786317.431178,84028.5425617605
111,115,92,01-12,01-12,WAKE, ,29607.6920825,29589777.5204087,29607.6920824878
112,116,92,01-13,01-13,WAKE, ,26232.8199493,33152316.7404732,26232.819949286
113,121,92,01-17,01-17,WAKE, ,18649.2947689,15346364.5073054,18649.2947688596
114,117,92,01-14,01-14,WAKE, ,32188.7561146,39358837.15704,32188.7561146302
115,171,60,012,012,MECKLENBURG, ,25831.626082,30525123.577312,25831.6260820441
116,118,92,01-15,01-15,WAKE, ,19471.346049,20336382.4742027,19471.3460490299
117,119,83,01-16,01-16/01,SCOTLAND, ,138844.204642,710186968.327501,138844.204642059
118,128,92,01-25,01-25,WAKE, ,14636.7175041,8784141.54827759,14636.7175041118
119,120,92,01-16,01-16,WAKE, ,47172.766875,58514550.2643367,47172.7668749534
120,122,92,01-18,01-18,WAKE, ,33916.8243305,49032559.7775291,33916.8243305309
121,123,92,01-19,01-19,WAKE, ,26622.7244472,31080769.1082757,26622.7244472458
122,323,32,04,SCHOOL OF SCIENCE AND MATH,DURHAM, ,24652.7380871,32220759.9500289,24652.738087097
123,324,80,04,BRADSHAW,ROWAN, ,156271.709127,1139294620.63218,156271.709126863
124,325,95,04,BLUE RIDGE,WATAUGA, ,137141.662064,775874009.78685,137141.66206365
125,326,18,04,BROOKFORD,CATAWBA, ,56094.8195765,81141913.0976065,56094.819576519
126,124,92,01-20,01-20,WAKE, ,35478.3667636,27565614.0680183,35478.366763594
127,125,92,01-21,01-21,WAKE, ,53981.9527313,107706320.429205,53981.952731284
128,328,56,04,IOTLA,MACON, ,114006.803353,327634740.465694,114006.803353256
129,329,5,04,ELK,ASHE, ,109907.325019,327667201.123981,109907.325018823
130,330,85,04,CHESTNUT GROVE,STOKES, ,134920.66331,306544207.209825,134920.663310217
131,126,92,01-22,01-22,WAKE, ,38391.2880058,61558385.9142557,38391.2880058134
132,127,92,01-23,01-23,WAKE, ,47229.0412216,79971338.842848,47229.0412215516
133,129,92,01-26,01-26,WAKE, ,27067.0248805,27975635.7925084,27067.0248805059
134,141,92,01-38,01-38,WAKE, ,26802.3714137,41217799.065363,26802.3714136999
135,130,92,01-27,01-27,WAKE, ,35351.2805142,43189462.887628,35351.2805142056
136,131,92,01-28,01-28,WAKE, ,47672.6606329,78232202.0782192,47672.6606329197
137,132,92,01-29,01-29,WAKE, ,28704.1066523,31819226.6146341,28704.1066523286
138,148,92,01-45,01-45,WAKE, ,20926.6106106,23248776.4552023,20926.6106106396
139,133,92,01-30,01-30,WAKE, ,20177.0402732,18737598.9841223,20177.0402732457
140,154,92,01-51,01-51,WAKE, ,16540.2203005,13067893.5276146,16540.2203005387
141,155,100,01 BUR,BURNSVILLE,YANCEY, ,166460.266207,696241452.115857,166460.266207079
142,134,92,01-31,01-31,WAKE, ,35451.6946539,47518930.6740053,35451.6946539151
143,135,92,01-32,01-32,WAKE, ,30305.7833611,38423489.1762902,30305.7833610824
144,157,90,010,ELLEN FITZGERALD SENIOR CENTER,UNION, ,29191.7360053,24276173.9079448,29191.736005319
145,136,92,01-33,01-33,WAKE, ,28553.4173015,26750504.1800629,28553.4173014694
146,137,92,01-34,01-34,WAKE, ,17832.8882568,14498829.8077102,17832.8882567532
147,158,93,010,WEST WARRENTON,WARREN, ,105671.310678,644334373.918354,105671.310677627
148,138,92,01-35,01-35,WAKE, ,37078.5130368,47717928.5322074,37078.5130368184
149,139,92,01-36,01-36,WAKE, ,25891.3801696,32101778.4578132,25891.380169639
150,140,92,01-37,01-37,WAKE, ,25859.3102248,22569592.4604592,25859.3102247888
151,159,60,010,010,MECKLENBURG, ,18378.4185916,15721632.0513383,18378.4185915577
152,160,33,0101,TARBORO 1,EDGECOMBE, ,104819.355097,286264455.606429,104819.355096538
153,161,74,0101,ARTHUR,PITT, ,178528.380123,919096586.68508,178528.38012336
154,162,33,0102,TARBORO 2,EDGECOMBE, ,90605.0360091,335699130.38451,90605.0360091016
155,163,33,0103,TARBORO 3,EDGECOMBE, ,62098.02638,223799871.698402,62098.0263800247
156,164,33,0104,TARBORO 4,EDGECOMBE, ,97968.6118121,190073478.539006,97968.6118120541
157,142,92,01-39,01-39,WAKE, ,24398.533428,31100600.1681909,24398.533427976
158,1794,41,G39,G39,GUILFORD, ,26646.7237286,32107731.3193733,26646.7237285755
159,143,92,01-40,01-40,WAKE, ,44280.2969381,84949547.567393,44280.2969380578
160,144,92,01-41,01-41,WAKE, ,20414.6578082,21492293.9327796,20414.6578081577
161,166,90,011,EUTO BAPTIST CHURCH,UNION, ,220616.247724,1609165241.99092,220616.247724017
162,145,92,01-42,01-42,WAKE, ,32755.9716464,55038128.5569113,32755.9716464471
163,211,13,02-01,02-01,CABARRUS, ,52067.1779771,112784309.523248,52067.1779771425
164,212,92,02-01,02-01,WAKE, ,43794.0856844,105610338.848128,43794.0856844207
165,146,92,01-43,01-43,WAKE, ,26634.2963086,24989821.5130193,26634.2963085559
166,147,92,01-44,01-44,WAKE, ,23306.3933943,31862966.1475921,23306.3933942574
167,213,92,02-02,02-02,WAKE, ,95141.3270767,418771607.264169,95141.3270766936
168,149,92,01-46,01-46,WAKE, ,29630.0825604,45084260.7220712,29630.0825604226
169,150,92,01-47,01-47,WAKE, ,30269.1807085,31449469.0771712,30269.1807084774
170,151,92,01-48,01-48,WAKE, ,34396.2169843,30921503.4667688,34396.2169843191
171,205,32,02,GEORGE WATTS ELEMENTARY,DURHAM, ,25835.1706862,18911409.7360983,25835.170686196
172,152,92,01-49,01-49,WAKE, ,26499.3442415,31270004.8375115,26499.3442415399
173,167,60,011,011,MECKLENBURG, ,31943.9372936,45810188.6349058,31943.9372936399
174,153,92,01-50,01-50,WAKE, ,33769.1334798,36442520.0104924,33769.13347975
175,168,93,011,FORK,WARREN, ,219988.286256,1144967976.12324,219988.286255518
176,169,90,012,BETHLEHEM PRESBYTERIAN CHURCH,UNION, ,156911.347505,902366531.027599,156911.347504742
177,156,11,01.1,STEPHENS LEE COMMUNITY CENTER,BUNCOMBE, ,27198.1879707,26801002.434704,27198.187970709
178,172,93,012,ROANOKE,WARREN, ,110490.022807,368974665.465593,110490.022806685
179,228,60,020,020,MECKLENBURG, ,21136.7872781,24641708.8839051,21136.7872781209
180,229,74,0200A,AYDEN A,PITT, ,132461.092129,588692487.446481,132461.092128934
181,230,74,0200B,AYDEN B,PITT, ,100328.935913,365328981.574219,100328.935913072
182,231,33,0201,CONETOE,EDGECOMBE, ,151827.663469,1150003726.83031,151827.663468709
183,234,90,021,WALKERSVILLE PRESBYTERIAN CHURCH,UNION, ,143542.368412,802822504.952308,143542.368411854
184,173,90,013,UNIONVILLE VFD,UNION, ,93729.3674092,434037684.115826,93729.3674091551
185,174,93,013,NORLINA,WARREN, ,22233.9135978,31209384.9643252,22233.9135977884
186,176,60,013,013,MECKLENBURG, ,31871.118566,37156957.3061012,31871.1185659975
187,219,13,02-05,02-05,CABARRUS, ,47535.2334558,105252303.886564,47535.2334557968
188,177,60,014,014,MECKLENBURG, ,35947.8655304,36769765.0123851,35947.8655303627
189,235,60,021,021,MECKLENBURG, ,21143.860225,21073383.7088723,21143.8602249897
190,179,93,014,EAST WARRENTON,WARREN, ,143046.138041,661709129.764906,143046.138040527
191,220,13,02-06,02-06,CABARRUS, ,50626.1884857,75430071.0096633,50626.1884857296
192,180,90,014,INDIAN TRAIL LIBRARY,UNION, ,75209.3118127,148244671.990886,75209.3118127032
193,181,90,015,STALLINGS UNITED METHODIST CHURCH,UNION, ,86464.4237882,92893049.8942144,86464.4237881855
194,242,60,024,024,MECKLENBURG, ,29561.1258163,38533453.5684643,29561.1258163221
195,183,60,015,015,MECKLENBURG, ,23168.5884643,25333806.9418252,23168.5884642971
196,184,90,016,HEMBY BRIDGE ELEMENTARY SCHOOL,UNION, ,87013.8756255,211319089.556762,87013.8756254921
197,243,90,024,PROSPECT ELEMENTARY SCHOOL,UNION, ,151240.959737,1175692768.53145,151240.959736602
198,244,90,025,ROCK REST ELEMENTARY SCHOOL,UNION, ,136992.418376,773865145.056363,136992.418376183
199,185,60,016,016,MECKLENBURG, ,35547.0320095,51869528.702533,35547.0320094596
200,207,5,02,CLIFTON,ASHE, ,175565.649902,806607870.704469,175565.649902091
201,186,60,017,017,MECKLENBURG, ,24450.9747758,35111857.4062229,24450.9747757526
202,187,90,017A,WESLEY CHAPEL ELEMENTARY SCHOOL,UNION, ,71634.4927332,124198207.335344,71634.4927331737
203,188,90,017B,SILER PRESBYTERIAN CHURCH,UNION, ,67140.8777711,201907290.71994,67140.8777710659
204,189,60,018,018,MECKLENBURG, ,18285.9669636,15619096.2215952,18285.9669635919
205,190,90,018,PROVIDENCE VFD,UNION, ,59222.2968713,137710496.454471,59222.2968712502
206,208,78,02,BACK SWAMP,ROBESON, ,179868.991834,1034510162.19404,179868.991833509
207,209,35,02,WEST LOUISBURG COUNTRY,FRANKLIN, ,190137.696415,611961272.572283,190137.696415077
208,210,6,02,BANNER ELK,AVERY, ,166263.858405,774374017.058079,166263.858405324
209,254,90,028D,KENSINGTON ELEMENTARY SCHOOL,UNION, ,61035.8752828,137817837.457027,61035.875282755
210,191,60,019,019,MECKLENBURG, ,30863.2706475,29649217.65186,30863.2706474508
211,193,56,02,SOUTH FRANKLIN,MACON, ,76448.5938212,109476823.31442,76448.5938211547
212,194,25,02,HAVELOCK,CRAVEN, ,314659.445953,3289855215.29203,314659.44595324
213,195,18,02,BANOAK,CATAWBA, ,151025.706207,936714326.419578,151025.706207305
214,196,77,02,ROCKINGHAM  2,RICHMOND, ,173732.092999,797609019.595283,173732.092999276
215,197,47,02,ANTIOCH,HOKE, ,140959.74191,982807525.487849,140959.741909951
216,198,1,02,COBLE,ALAMANCE, ,131202.36103,852078018.971781,131202.361029757
217,199,85,02,SANDY RIDGE,STOKES, ,178824.010143,1562220296.24694,178824.010142904
218,200,61,02,BRADSHAW,MITCHELL, ,148609.632212,614461219.40877,148609.632212349
219,201,30,02,SOUTH CALAHALN,DAVIE, ,160182.444954,620221575.596574,160182.444954361
220,202,95,02,BEAVER DAM,WATAUGA, ,138486.557127,746852844.744449,138486.557126815
221,203,80,02,BLACKWELDER PARK,ROWAN, ,66447.5642594,60749763.3673989,66447.5642593907
222,204,96,02,02,WAYNE, ,208022.655606,1779550209.49635,208022.655606004
223,214,13,02-02,02-02,CABARRUS, ,67181.0901001,120157859.243118,67181.0901000652
224,215,13,02-03,02-03,CABARRUS, ,122806.180853,272520615.292331,122806.180853344
225,216,92,02-03,02-03,WAKE, ,100461.899757,216247604.204733,100461.899757279
226,217,92,02-04,02-04,WAKE, ,63722.3148901,182098463.035405,63722.3148900934
227,218,92,02-05,02-05,WAKE, ,26593.4910765,31969869.8929478,26593.4910765146
228,221,92,02-06,02-06,WAKE, ,44355.4672895,104178748.463593,44355.4672895487
229,222,13,02-07,02-07,CABARRUS, ,39267.859246,80904632.6360117,39267.8592459902
230,224,13,02-09,02-09,CABARRUS, ,63224.9747619,217478564.698361,63224.9747619015
231,225,83,02-25,02-25/02,SCOTLAND, ,159310.765138,1156973721.96834,159310.765137777
232,226,100,02 CAN,CANE RIVER,YANCEY, ,138188.597143,709902949.556586,138188.597142682
233,223,13,02-08,02-08,CABARRUS, ,72003.4238674,250733480.592643,72003.4238673845
234,749,13,12-08,12-08,CABARRUS, ,33956.4299104,50578171.5743204,33956.4299103727
235,750,92,12-08,12-08,WAKE, ,68559.8573597,160910235.304912,68559.8573596643
236,227,11,02.1,MONTFORD COMMUNITY CENTER,BUNCOMBE, ,27752.9140336,36878955.4696257,27752.9140336152
237,10091,34,707,GREEK ORTHODOX CHURCH,FORSYTH, ,29722.6009927,28519897.4257695,29722.6009927384
238,237,84,0212,North_Albemarle 2,STANLY, ,86816.0850669,307109350.045779,86816.0850668821
239,238,90,022,TIRZAH PRESBYTERIAN CHURCH,UNION, ,113117.123191,486613964.327973,113117.123191085
240,239,60,022,022,MECKLENBURG, ,30869.703937,48993314.665621,30869.7039369575
241,240,90,023,GRIFFITH ROAD VFD,UNION, ,104265.998306,343164064.394298,104265.99830646
242,241,60,023,023,MECKLENBURG, ,29709.5764874,40090840.5605383,29709.5764874177
243,245,60,025,025,MECKLENBURG, ,21867.5447671,24383458.5622317,21867.5447671396
244,246,90,026,UNION BAPTIST CHURCH,UNION, ,181221.565475,1410367611.3034,181221.565475216
245,247,60,026,026,MECKLENBURG, ,38521.8233285,73647127.4749344,38521.8233285438
246,248,90,027,ALLENS CROSSROADS VFD,UNION, ,175176.502057,1244684817.1735,175176.502056706
247,249,60,027,027,MECKLENBURG, ,44435.8447438,76111436.5267765,44435.8447438346
248,250,60,028,028,MECKLENBURG, ,31642.0039928,32689213.9670877,31642.0039927844
249,251,90,028A,SANDY RIDGE ELEMENTARY SCHOOL,UNION, ,92213.8008883,183233964.157109,92213.8008883372
250,252,90,028B,MARVIN ELEMENTARY SCHOOL,UNION, ,48842.0838267,92910657.1069089,48842.0838266898
251,253,90,028C,MARVIN AME ZION CHURCH,UNION, ,72397.5956878,84639181.7265562,72397.5956877792
252,255,60,029,029,MECKLENBURG, ,26338.9282731,23994979.8309337,26338.9282731455
253,256,90,029A,SHILOH ELEMENTARY SCHOOL,UNION, ,42322.6722367,62580128.0246534,42322.6722366685
254,1242,32,34-1,PEARSONTOWN ELEMENTARY,DURHAM, ,30944.9558453,48347496.1207239,30944.9558452677
255,257,90,029B,BRANDON OAKS CLUBHOUSE,UNION, ,27076.7495398,28555947.9205368,27076.7495398479
256,258,90,029C,STALLINGS VFD,UNION, ,57025.396518,84251441.1963301,57025.396518028
257,282,60,030,030,MECKLENBURG, ,25197.3754023,35098902.2901807,25197.3754023063
258,283,33,0301,SPEED,EDGECOMBE, ,213798.041529,1605437192.13372,213798.041528559
259,284,74,0301,BELVOIR,PITT, ,208844.138733,1511278541.59549,208844.138733078
260,259,83,03,03,SCOTLAND, ,65440.2357509,227017059.366816,65440.2357509348
261,260,47,03,BLUE SPRINGS,HOKE, ,156182.918861,860146530.223091,156182.918861216
262,262,18,03,BLACKBURN,CATAWBA, ,172984.095415,835263787.637329,172984.095415073
263,263,56,03,EAST FRANKLIN,MACON, ,114413.254612,319270324.880725,114413.254612227
264,264,96,03,03,WAYNE, ,136911.01308,662498650.819806,136911.013079844
265,265,95,03,BLOWING ROCK,WATAUGA, ,136099.252677,553245926.739316,136099.252676516
266,266,5,03,CRESTON,ASHE, ,192205.487264,806448705.885008,192205.48726426
267,267,78,03,BRITTS,ROBESON, ,201569.223777,705244162.393137,201569.223777154
