ranking,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6,iteration_7,iteration_8,iteration_9,iteration_10,iteration_11,iteration_12,iteration_13,iteration_14,iteration_15,iteration_16,iteration_17,iteration_18,iteration_19,iteration_20,iteration_21,iteration_22,iteration_23,iteration_24,iteration_25,iteration_26,iteration_27,iteration_28,iteration_29,iteration_30,iteration_31,iteration_32,iteration_33,iteration_34,iteration_35,iteration_36,iteration_37,iteration_38,iteration_39,iteration_40,iteration_41,iteration_42,iteration_43,iteration_44,iteration_45,iteration_46,iteration_47,iteration_48,iteration_49,iteration_50,iteration_51,iteration_52,iteration_53,iteration_54,iteration_55,iteration_56,iteration_57,iteration_58,iteration_59,iteration_60,iteration_61,iteration_62,iteration_63,iteration_64,iteration_65,iteration_66,iteration_67,iteration_68,iteration_69,iteration_70,iteration_71,iteration_72,iteration_73,iteration_74,iteration_75,iteration_76,iteration_77,iteration_78,iteration_79,iteration_80,iteration_81,iteration_82,iteration_83,iteration_84,iteration_85,iteration_86,iteration_87,iteration_88,iteration_89,iteration_90,iteration_91,iteration_92,iteration_93,iteration_94,iteration_95,iteration_96,iteration_97,iteration_98,iteration_99,iteration_100
"Eddie Burks,Harry Okeke,Jane Hughes Redding,Charles Swiers,Joey Trogdon",8.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,4.0,1.0,3.0,5.0,1.0,6.0,0.0,8.0,2.0,1.0,0.0,3.0,3.0,2.0,2.0,7.0,1.0,2.0,6.0,5.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,5.0,1.0,12.0,4.0,2.0,5.0,4.0,6.0,4.0,1.0,5.0,4.0,4.0,4.0,0.0,5.0,3.0,1.0,2.0,0.0,0.0,10.0,4.0,5.0,4.0,4.0,5.0,2.0,9.0,5.0,3.0,4.0,10.0,3.0,6.0,7.0,1.0,3.0,8.0,2.0,3.0,3.0,4.0,6.0,7.0,7.0,1.0,0.0,5.0,1.0,3.0,1.0,3.0,6.0,4.0,8.0,4.0,2.0,5.0,4.0
"Eddie Burks,Harry Okeke,Jane Hughes Redding,Joey Trogdon,Charles Swiers",12.0,17.0,6.0,10.0,8.0,13.0,11.0,22.0,7.0,5.0,8.0,12.0,9.0,20.0,11.0,13.0,19.0,10.0,20.0,8.0,7.0,17.0,14.0,16.0,10.0,13.0,11.0,10.0,8.0,4.0,17.0,12.0,11.0,5.0,10.0,3.0,14.0,7.0,12.0,16.0,16.0,24.0,23.0,16.0,10.0,18.0,18.0,21.0,8.0,4.0,26.0,18.0,16.0,11.0,0.0,16.0,13.0,4.0,4.0,4.0,0.0,13.0,11.0,16.0,14.0,14.0,14.0,12.0,12.0,13.0,10.0,14.0,20.0,16.0,10.0,17.0,8.0,7.0,19.0,12.0,9.0,11.0,6.0,16.0,18.0,8.0,12.0,7.0,23.0,14.0,12.0,11.0,0.0,16.0,15.0,30.0,2.0,21.0,31.0,21.0
"Eddie Burks,Harry Okeke,Joey Trogdon,Charles Swiers,Jane Hughes Redding",1.0,9.0,0.0,0.0,1.0,5.0,3.0,10.0,1.0,11.0,3.0,3.0,5.0,6.0,1.0,10.0,3.0,4.0,4.0,2.0,0.0,4.0,4.0,1.0,6.0,9.0,2.0,9.0,1.0,2.0,3.0,2.0,2.0,2.0,5.0,3.0,4.0,2.0,3.0,7.0,5.0,7.0,3.0,5.0,5.0,10.0,5.0,9.0,7.0,0.0,3.0,9.0,8.0,2.0,1.0,0.0,6.0,1.0,0.0,1.0,0.0,6.0,1.0,7.0,3.0,3.0,1.0,0.0,2.0,5.0,5.0,5.0,10.0,12.0,7.0,2.0,1.0,1.0,5.0,5.0,2.0,2.0,1.0,3.0,3.0,4.0,0.0,2.0,5.0,6.0,3.0,5.0,0.0,3.0,0.0,2.0,1.0,5.0,10.0,7.0
"Eddie Burks,Harry Okeke,Joey Trogdon,Jane Hughes Redding,Charles Swiers",9.0,30.0,6.0,14.0,5.0,16.0,15.0,15.0,7.0,12.0,5.0,15.0,8.0,25.0,2.0,23.0,27.0,26.0,11.0,9.0,4.0,18.0,14.0,4.0,12.0,15.0,12.0,22.0,19.0,15.0,17.0,13.0,13.0,3.0,21.0,5.0,21.0,9.0,7.0,30.0,16.0,19.0,24.0,19.0,14.0,12.0,15.0,26.0,25.0,4.0,14.0,31.0,15.0,15.0,5.0,19.0,20.0,4.0,13.0,0.0,3.0,27.0,3.0,29.0,32.0,14.0,16.0,15.0,23.0,25.0,21.0,14.0,24.0,13.0,10.0,17.0,6.0,5.0,23.0,13.0,7.0,10.0,5.0,10.0,16.0,19.0,18.0,18.0,16.0,15.0,17.0,15.0,3.0,24.0,15.0,20.0,10.0,14.0,24.0,14.0
"Eddie Burks,Harry Okeke,Charles Swiers,Jane Hughes Redding,Joey Trogdon",1.0,4.0,0.0,1.0,0.0,5.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,2.0,0.0
"Eddie Burks,Harry Okeke,Charles Swiers,Joey Trogdon,Jane Hughes Redding",4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,2.0,2.0,1.0,2.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,4.0,1.0,2.0,0.0,3.0,2.0,1.0
"Eddie Burks,Joey Trogdon,Jane Hughes Redding,Charles Swiers,Harry Okeke",21.0,17.0,36.0,34.0,31.0,29.0,28.0,21.0,21.0,37.0,23.0,27.0,42.0,25.0,35.0,29.0,13.0,25.0,12.0,36.0,30.0,23.0,22.0,25.0,23.0,29.0,32.0,11.0,18.0,29.0,26.0,17.0,41.0,39.0,26.0,39.0,39.0,27.0,20.0,18.0,28.0,23.0,20.0,27.0,20.0,18.0,30.0,18.0,39.0,44.0,24.0,23.0,29.0,22.0,39.0,16.0,19.0,31.0,28.0,41.0,27.0,27.0,25.0,27.0,21.0,34.0,30.0,16.0,23.0,19.0,25.0,16.0,21.0,26.0,34.0,22.0,31.0,32.0,25.0,48.0,28.0,29.0,22.0,21.0,32.0,25.0,32.0,25.0,25.0,25.0,24.0,27.0,31.0,27.0,26.0,20.0,23.0,23.0,22.0,28.0
"Eddie Burks,Joey Trogdon,Jane Hughes Redding,Harry Okeke,Charles Swiers",64.0,71.0,116.0,100.0,123.0,71.0,76.0,73.0,104.0,127.0,78.0,76.0,152.0,104.0,107.0,94.0,72.0,69.0,54.0,104.0,96.0,64.0,126.0,109.0,94.0,79.0,102.0,64.0,81.0,113.0,83.0,75.0,101.0,144.0,49.0,118.0,126.0,93.0,83.0,57.0,103.0,78.0,91.0,96.0,74.0,76.0,105.0,59.0,122.0,137.0,63.0,88.0,77.0,71.0,153.0,68.0,71.0,136.0,112.0,121.0,118.0,82.0,88.0,83.0,78.0,80.0,73.0,67.0,70.0,70.0,77.0,63.0,102.0,87.0,87.0,85.0,104.0,87.0,69.0,133.0,85.0,89.0,92.0,66.0,95.0,85.0,112.0,70.0,92.0,80.0,65.0,115.0,111.0,101.0,93.0,71.0,116.0,88.0,103.0,85.0
"Eddie Burks,Joey Trogdon,Harry Okeke,Charles Swiers,Jane Hughes Redding",7.0,16.0,0.0,4.0,0.0,3.0,6.0,6.0,2.0,3.0,0.0,12.0,7.0,13.0,0.0,11.0,5.0,5.0,2.0,4.0,5.0,4.0,5.0,2.0,7.0,10.0,3.0,6.0,4.0,7.0,3.0,5.0,3.0,1.0,10.0,3.0,12.0,3.0,4.0,12.0,2.0,11.0,7.0,6.0,9.0,8.0,3.0,3.0,8.0,4.0,8.0,9.0,11.0,7.0,3.0,4.0,7.0,0.0,6.0,0.0,0.0,19.0,3.0,3.0,6.0,7.0,3.0,6.0,7.0,8.0,8.0,8.0,12.0,13.0,4.0,8.0,2.0,4.0,16.0,3.0,5.0,3.0,1.0,9.0,5.0,9.0,4.0,8.0,9.0,4.0,4.0,9.0,2.0,9.0,2.0,10.0,3.0,6.0,11.0,6.0
"Eddie Burks,Joey Trogdon,Harry Okeke,Jane Hughes Redding,Charles Swiers",23.0,53.0,7.0,15.0,8.0,26.0,25.0,26.0,8.0,21.0,12.0,32.0,27.0,50.0,5.0,39.0,23.0,16.0,20.0,14.0,5.0,36.0,22.0,7.0,23.0,32.0,27.0,29.0,23.0,25.0,24.0,19.0,18.0,8.0,25.0,27.0,43.0,12.0,8.0,37.0,24.0,19.0,21.0,20.0,17.0,31.0,19.0,17.0,41.0,9.0,23.0,41.0,26.0,19.0,7.0,20.0,32.0,11.0,22.0,3.0,5.0,58.0,13.0,28.0,40.0,11.0,21.0,29.0,18.0,46.0,23.0,25.0,24.0,44.0,19.0,29.0,12.0,15.0,32.0,11.0,11.0,19.0,13.0,22.0,22.0,22.0,23.0,52.0,31.0,20.0,15.0,22.0,7.0,27.0,14.0,24.0,22.0,24.0,30.0,26.0
