ranking,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6,iteration_7,iteration_8,iteration_9,iteration_10,iteration_11,iteration_12,iteration_13,iteration_14,iteration_15,iteration_16,iteration_17,iteration_18,iteration_19,iteration_20,iteration_21,iteration_22,iteration_23,iteration_24,iteration_25,iteration_26,iteration_27,iteration_28,iteration_29,iteration_30,iteration_31,iteration_32,iteration_33,iteration_34,iteration_35,iteration_36,iteration_37,iteration_38,iteration_39,iteration_40,iteration_41,iteration_42,iteration_43,iteration_44,iteration_45,iteration_46,iteration_47,iteration_48,iteration_49,iteration_50,iteration_51,iteration_52,iteration_53,iteration_54,iteration_55,iteration_56,iteration_57,iteration_58,iteration_59,iteration_60,iteration_61,iteration_62,iteration_63,iteration_64,iteration_65,iteration_66,iteration_67,iteration_68,iteration_69,iteration_70,iteration_71,iteration_72,iteration_73,iteration_74,iteration_75,iteration_76,iteration_77,iteration_78,iteration_79,iteration_80,iteration_81,iteration_82,iteration_83,iteration_84,iteration_85,iteration_86,iteration_87,iteration_88,iteration_89,iteration_90,iteration_91,iteration_92,iteration_93,iteration_94,iteration_95,iteration_96,iteration_97,iteration_98,iteration_99,iteration_100
"Ryan Patton,Gidget Kidd,Melissa Calloway,Gwen Williams,Todd Dulaney",87.0,84.0,19.0,98.0,48.0,102.0,90.0,81.0,76.0,68.0,75.0,18.0,33.0,84.0,49.0,75.0,75.0,85.0,106.0,79.0,61.0,47.0,67.0,24.0,82.0,83.0,5.0,55.0,74.0,64.0,14.0,50.0,15.0,68.0,6.0,89.0,98.0,77.0,42.0,77.0,89.0,89.0,66.0,96.0,4.0,135.0,26.0,71.0,92.0,15.0,81.0,78.0,96.0,73.0,42.0,62.0,50.0,88.0,18.0,73.0,50.0,98.0,99.0,70.0,39.0,64.0,31.0,69.0,79.0,36.0,78.0,78.0,45.0,19.0,76.0,28.0,91.0,73.0,73.0,73.0,69.0,113.0,71.0,126.0,76.0,93.0,82.0,67.0,73.0,70.0,11.0,37.0,67.0,68.0,56.0,89.0,76.0,73.0,71.0,116.0
"Ryan Patton,Gidget Kidd,Melissa Calloway,Todd Dulaney,Gwen Williams",21.0,64.0,93.0,54.0,67.0,52.0,32.0,29.0,69.0,36.0,24.0,96.0,69.0,33.0,56.0,32.0,71.0,49.0,2.0,29.0,51.0,51.0,45.0,103.0,57.0,40.0,118.0,60.0,58.0,69.0,115.0,44.0,82.0,87.0,131.0,32.0,27.0,20.0,79.0,39.0,24.0,56.0,59.0,20.0,84.0,5.0,54.0,77.0,27.0,77.0,51.0,55.0,8.0,33.0,53.0,41.0,81.0,16.0,97.0,30.0,83.0,17.0,41.0,34.0,84.0,46.0,93.0,28.0,70.0,55.0,40.0,35.0,59.0,109.0,24.0,52.0,54.0,29.0,32.0,43.0,25.0,10.0,53.0,11.0,25.0,20.0,41.0,30.0,46.0,51.0,125.0,61.0,54.0,29.0,72.0,50.0,38.0,45.0,28.0,27.0
"Ryan Patton,Gidget Kidd,Gwen Williams,Todd Dulaney,Melissa Calloway",1.0,0.0,0.0,5.0,1.0,2.0,3.0,2.0,0.0,1.0,2.0,5.0,1.0,2.0,1.0,2.0,0.0,3.0,1.0,4.0,2.0,0.0,1.0,0.0,4.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,2.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,2.0,5.0,0.0,3.0,1.0,0.0,1.0,2.0,3.0,0.0,3.0,3.0,3.0,1.0,0.0,2.0,3.0,8.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,4.0,0.0,0.0,4.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0,2.0,2.0,3.0,0.0,5.0,1.0
"Ryan Patton,Gidget Kidd,Gwen Williams,Melissa Calloway,Todd Dulaney",7.0,5.0,2.0,6.0,7.0,10.0,17.0,8.0,8.0,9.0,12.0,2.0,6.0,8.0,11.0,7.0,8.0,10.0,18.0,12.0,5.0,8.0,7.0,3.0,15.0,13.0,0.0,9.0,14.0,6.0,1.0,8.0,1.0,8.0,0.0,13.0,18.0,17.0,5.0,9.0,5.0,5.0,4.0,14.0,2.0,12.0,2.0,5.0,8.0,2.0,10.0,10.0,10.0,7.0,8.0,8.0,9.0,12.0,3.0,11.0,7.0,12.0,10.0,7.0,6.0,9.0,2.0,6.0,15.0,4.0,13.0,10.0,8.0,3.0,9.0,10.0,10.0,11.0,10.0,4.0,11.0,20.0,10.0,10.0,10.0,7.0,10.0,5.0,12.0,8.0,1.0,4.0,6.0,15.0,9.0,10.0,10.0,6.0,5.0,19.0
"Ryan Patton,Gidget Kidd,Todd Dulaney,Gwen Williams,Melissa Calloway",2.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,3.0,0.0,1.0,0.0,2.0,3.0,0.0,3.0,1.0,0.0,3.0,2.0,0.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0
"Ryan Patton,Gidget Kidd,Todd Dulaney,Melissa Calloway,Gwen Williams",6.0,13.0,12.0,6.0,7.0,4.0,4.0,5.0,10.0,3.0,3.0,18.0,8.0,5.0,13.0,8.0,3.0,8.0,5.0,0.0,5.0,8.0,6.0,10.0,7.0,5.0,5.0,7.0,10.0,7.0,12.0,8.0,10.0,4.0,15.0,10.0,7.0,3.0,8.0,11.0,1.0,6.0,11.0,8.0,20.0,1.0,7.0,16.0,2.0,15.0,9.0,6.0,2.0,3.0,7.0,6.0,10.0,4.0,19.0,1.0,3.0,1.0,5.0,4.0,19.0,5.0,12.0,3.0,9.0,7.0,4.0,4.0,10.0,8.0,3.0,7.0,6.0,6.0,6.0,6.0,7.0,1.0,8.0,2.0,4.0,5.0,4.0,5.0,7.0,6.0,16.0,15.0,6.0,5.0,9.0,5.0,1.0,7.0,4.0,2.0
"Ryan Patton,Melissa Calloway,Gidget Kidd,Gwen Williams,Todd Dulaney",112.0,41.0,10.0,91.0,57.0,88.0,73.0,95.0,46.0,73.0,78.0,16.0,61.0,108.0,59.0,68.0,54.0,72.0,138.0,97.0,66.0,72.0,66.0,25.0,67.0,84.0,8.0,78.0,41.0,78.0,10.0,76.0,17.0,50.0,6.0,63.0,89.0,61.0,49.0,87.0,95.0,56.0,49.0,77.0,15.0,106.0,34.0,60.0,138.0,17.0,64.0,55.0,111.0,82.0,52.0,86.0,58.0,76.0,13.0,78.0,59.0,116.0,67.0,72.0,24.0,55.0,55.0,81.0,61.0,44.0,86.0,61.0,58.0,17.0,89.0,37.0,62.0,82.0,117.0,66.0,126.0,97.0,74.0,123.0,68.0,81.0,64.0,54.0,92.0,80.0,23.0,41.0,40.0,74.0,57.0,76.0,93.0,53.0,99.0,79.0
"Ryan Patton,Melissa Calloway,Gidget Kidd,Todd Dulaney,Gwen Williams",27.0,54.0,84.0,52.0,50.0,24.0,39.0,23.0,51.0,41.0,31.0,88.0,74.0,37.0,68.0,36.0,43.0,46.0,7.0,49.0,67.0,75.0,37.0,121.0,55.0,37.0,89.0,66.0,46.0,62.0,104.0,65.0,82.0,65.0,99.0,22.0,28.0,21.0,79.0,56.0,19.0,45.0,67.0,19.0,120.0,1.0,74.0,64.0,38.0,118.0,56.0,55.0,9.0,43.0,56.0,50.0,82.0,16.0,92.0,46.0,73.0,15.0,20.0,14.0,78.0,41.0,71.0,41.0,44.0,72.0,37.0,44.0,48.0,87.0,33.0,68.0,52.0,20.0,46.0,33.0,31.0,7.0,41.0,16.0,27.0,19.0,36.0,25.0,54.0,50.0,130.0,76.0,49.0,24.0,66.0,40.0,33.0,39.0,30.0,24.0
"Ryan Patton,Melissa Calloway,Gwen Williams,Todd Dulaney,Gidget Kidd",3.0,3.0,1.0,2.0,1.0,4.0,3.0,4.0,2.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,2.0,3.0,3.0,1.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,4.0,0.0,2.0,5.0,5.0,4.0,2.0,3.0,0.0,3.0,2.0,0.0,1.0,0.0,5.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,4.0,0.0,1.0,3.0,2.0,2.0,2.0,2.0,0.0,3.0,4.0,1.0,2.0,3.0,0.0,3.0,3.0,0.0,7.0,2.0,0.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0
"Ryan Patton,Melissa Calloway,Gwen Williams,Gidget Kidd,Todd Dulaney",10.0,15.0,1.0,11.0,4.0,10.0,9.0,13.0,10.0,11.0,13.0,2.0,6.0,7.0,8.0,9.0,10.0,6.0,13.0,17.0,4.0,6.0,7.0,3.0,7.0,4.0,3.0,15.0,4.0,12.0,2.0,12.0,1.0,9.0,0.0,8.0,12.0,6.0,7.0,7.0,12.0,1.0,7.0,8.0,2.0,11.0,3.0,3.0,20.0,4.0,15.0,2.0,13.0,10.0,7.0,12.0,5.0,11.0,5.0,18.0,7.0,19.0,8.0,8.0,9.0,14.0,7.0,16.0,13.0,5.0,5.0,7.0,2.0,2.0,6.0,6.0,7.0,13.0,10.0,9.0,12.0,10.0,13.0,13.0,10.0,13.0,7.0,8.0,10.0,8.0,1.0,2.0,7.0,8.0,3.0,9.0,5.0,7.0,11.0,16.0
