ranking,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6,iteration_7,iteration_8,iteration_9,iteration_10,iteration_11,iteration_12,iteration_13,iteration_14,iteration_15,iteration_16,iteration_17,iteration_18,iteration_19,iteration_20,iteration_21,iteration_22,iteration_23,iteration_24,iteration_25,iteration_26,iteration_27,iteration_28,iteration_29,iteration_30,iteration_31,iteration_32,iteration_33,iteration_34,iteration_35,iteration_36,iteration_37,iteration_38,iteration_39,iteration_40,iteration_41,iteration_42,iteration_43,iteration_44,iteration_45,iteration_46,iteration_47,iteration_48,iteration_49,iteration_50,iteration_51,iteration_52,iteration_53,iteration_54,iteration_55,iteration_56,iteration_57,iteration_58,iteration_59,iteration_60,iteration_61,iteration_62,iteration_63,iteration_64,iteration_65,iteration_66,iteration_67,iteration_68,iteration_69,iteration_70,iteration_71,iteration_72,iteration_73,iteration_74,iteration_75,iteration_76,iteration_77,iteration_78,iteration_79,iteration_80,iteration_81,iteration_82,iteration_83,iteration_84,iteration_85,iteration_86,iteration_87,iteration_88,iteration_89,iteration_90,iteration_91,iteration_92,iteration_93,iteration_94,iteration_95,iteration_96,iteration_97,iteration_98,iteration_99,iteration_100
"Eddie Burks,Charles Swiers,Jane Hughes Redding,Harry Okeke,Joey Trogdon",10.0,18.0,4.0,6.0,13.0,12.0,8.0,9.0,8.0,11.0,14.0,11.0,19.0,6.0,5.0,6.0,6.0,9.0,12.0,13.0,10.0,8.0,6.0,15.0,5.0,7.0,8.0,14.0,4.0,6.0,9.0,10.0,10.0,9.0,14.0,3.0,10.0,12.0,13.0,15.0,9.0,10.0,10.0,9.0,5.0,8.0,15.0,12.0,9.0,6.0,8.0,6.0,17.0,12.0,12.0,17.0,8.0,13.0,2.0,14.0,9.0,8.0,3.0,2.0,5.0,5.0,1.0,2.0,10.0,7.0,23.0,6.0,12.0,11.0,8.0,2.0,18.0,24.0,6.0,5.0,17.0,12.0,7.0,18.0,9.0,4.0,6.0,11.0,7.0,5.0,9.0,4.0,9.0,9.0,7.0,5.0,11.0,5.0,16.0,6.0
"Eddie Burks,Charles Swiers,Jane Hughes Redding,Joey Trogdon,Harry Okeke",34.0,39.0,20.0,28.0,26.0,40.0,35.0,17.0,32.0,36.0,34.0,19.0,27.0,29.0,30.0,22.0,30.0,35.0,24.0,33.0,23.0,32.0,24.0,33.0,26.0,17.0,9.0,25.0,25.0,31.0,25.0,32.0,20.0,33.0,43.0,11.0,29.0,31.0,16.0,33.0,16.0,43.0,18.0,18.0,18.0,21.0,29.0,29.0,24.0,19.0,26.0,34.0,37.0,36.0,25.0,36.0,26.0,21.0,25.0,26.0,20.0,23.0,19.0,22.0,15.0,30.0,29.0,16.0,21.0,24.0,38.0,22.0,24.0,44.0,25.0,18.0,44.0,41.0,28.0,22.0,28.0,42.0,17.0,34.0,29.0,11.0,24.0,31.0,24.0,16.0,26.0,12.0,21.0,36.0,23.0,19.0,26.0,20.0,36.0,32.0
"Eddie Burks,Charles Swiers,Joey Trogdon,Harry Okeke,Jane Hughes Redding",39.0,4.0,22.0,8.0,19.0,23.0,33.0,19.0,33.0,16.0,24.0,21.0,39.0,6.0,17.0,6.0,39.0,10.0,40.0,32.0,15.0,43.0,2.0,18.0,15.0,37.0,16.0,32.0,30.0,24.0,55.0,29.0,7.0,3.0,35.0,18.0,26.0,29.0,14.0,25.0,42.0,29.0,48.0,11.0,13.0,52.0,18.0,5.0,35.0,17.0,26.0,29.0,10.0,29.0,37.0,37.0,39.0,29.0,5.0,12.0,32.0,24.0,10.0,5.0,19.0,10.0,27.0,30.0,18.0,21.0,19.0,22.0,22.0,11.0,39.0,19.0,31.0,16.0,28.0,20.0,7.0,16.0,38.0,25.0,19.0,7.0,36.0,11.0,7.0,9.0,12.0,19.0,22.0,9.0,42.0,28.0,14.0,48.0,34.0,7.0
"Eddie Burks,Charles Swiers,Joey Trogdon,Jane Hughes Redding,Harry Okeke",78.0,100.0,64.0,99.0,73.0,127.0,108.0,49.0,85.0,116.0,108.0,51.0,92.0,70.0,82.0,55.0,88.0,89.0,62.0,113.0,91.0,42.0,54.0,67.0,82.0,50.0,45.0,81.0,80.0,115.0,68.0,100.0,62.0,95.0,78.0,29.0,104.0,82.0,61.0,85.0,62.0,112.0,64.0,70.0,67.0,76.0,105.0,98.0,79.0,68.0,65.0,81.0,100.0,96.0,84.0,66.0,121.0,56.0,75.0,59.0,56.0,68.0,61.0,75.0,67.0,62.0,65.0,48.0,60.0,72.0,101.0,70.0,58.0,144.0,75.0,50.0,112.0,94.0,58.0,84.0,96.0,112.0,70.0,81.0,100.0,47.0,73.0,72.0,69.0,60.0,85.0,43.0,45.0,102.0,65.0,68.0,103.0,83.0,84.0,71.0
"Eddie Burks,Charles Swiers,Harry Okeke,Jane Hughes Redding,Joey Trogdon",9.0,1.0,3.0,6.0,3.0,2.0,3.0,0.0,6.0,2.0,4.0,4.0,5.0,0.0,3.0,3.0,6.0,4.0,3.0,3.0,6.0,7.0,0.0,6.0,4.0,1.0,1.0,6.0,0.0,2.0,8.0,7.0,0.0,2.0,7.0,2.0,3.0,5.0,2.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,0.0,2.0,2.0,8.0,4.0,1.0,2.0,1.0,3.0,5.0,3.0,1.0,12.0,2.0,0.0,5.0,3.0,3.0,10.0,0.0,1.0,4.0,4.0,4.0,4.0,3.0,2.0,0.0,3.0,3.0,1.0,3.0,5.0,1.0,5.0,7.0,4.0,0.0,4.0,3.0,3.0,4.0,3.0,3.0,5.0,4.0,5.0,2.0,1.0,9.0,9.0,0.0
"Eddie Burks,Charles Swiers,Harry Okeke,Joey Trogdon,Jane Hughes Redding",13.0,1.0,5.0,9.0,4.0,8.0,9.0,6.0,14.0,6.0,9.0,4.0,9.0,2.0,4.0,4.0,13.0,3.0,13.0,11.0,7.0,12.0,2.0,6.0,3.0,7.0,10.0,9.0,4.0,7.0,15.0,8.0,4.0,5.0,17.0,4.0,13.0,6.0,12.0,8.0,15.0,16.0,15.0,9.0,5.0,22.0,3.0,6.0,10.0,3.0,12.0,8.0,7.0,5.0,10.0,9.0,8.0,15.0,3.0,8.0,13.0,5.0,1.0,4.0,6.0,4.0,14.0,9.0,8.0,12.0,12.0,5.0,8.0,6.0,16.0,5.0,13.0,6.0,13.0,10.0,2.0,5.0,12.0,8.0,8.0,2.0,10.0,4.0,4.0,6.0,6.0,9.0,3.0,4.0,11.0,11.0,0.0,9.0,11.0,4.0
"Eddie Burks,Joey Trogdon,Jane Hughes Redding,Harry Okeke,Charles Swiers",12.0,10.0,2.0,14.0,10.0,18.0,10.0,7.0,3.0,10.0,12.0,9.0,7.0,10.0,7.0,7.0,10.0,20.0,10.0,15.0,6.0,9.0,10.0,16.0,10.0,9.0,7.0,15.0,14.0,6.0,8.0,9.0,8.0,13.0,14.0,9.0,11.0,14.0,11.0,13.0,8.0,17.0,14.0,20.0,6.0,8.0,9.0,12.0,9.0,7.0,15.0,6.0,9.0,8.0,9.0,5.0,15.0,13.0,10.0,15.0,14.0,13.0,9.0,13.0,19.0,12.0,12.0,9.0,12.0,8.0,16.0,12.0,11.0,12.0,5.0,18.0,16.0,9.0,4.0,7.0,22.0,14.0,10.0,9.0,7.0,8.0,6.0,11.0,10.0,14.0,15.0,11.0,11.0,11.0,12.0,8.0,12.0,9.0,4.0,9.0
"Eddie Burks,Joey Trogdon,Jane Hughes Redding,Charles Swiers,Harry Okeke",19.0,35.0,13.0,28.0,16.0,41.0,20.0,25.0,16.0,32.0,17.0,23.0,19.0,41.0,30.0,28.0,15.0,54.0,21.0,26.0,27.0,22.0,20.0,23.0,29.0,21.0,19.0,35.0,31.0,16.0,11.0,22.0,26.0,41.0,32.0,14.0,34.0,36.0,23.0,26.0,17.0,27.0,25.0,29.0,19.0,24.0,25.0,44.0,27.0,23.0,24.0,21.0,24.0,30.0,32.0,33.0,24.0,35.0,42.0,38.0,18.0,31.0,24.0,21.0,41.0,23.0,29.0,22.0,34.0,20.0,34.0,18.0,35.0,36.0,18.0,19.0,45.0,24.0,19.0,26.0,40.0,20.0,31.0,23.0,11.0,23.0,11.0,19.0,21.0,30.0,35.0,18.0,29.0,34.0,23.0,23.0,41.0,14.0,22.0,15.0
"Eddie Burks,Joey Trogdon,Harry Okeke,Jane Hughes Redding,Charles Swiers",6.0,5.0,2.0,5.0,2.0,6.0,3.0,10.0,4.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,8.0,4.0,3.0,7.0,9.0,11.0,0.0,8.0,6.0,6.0,5.0,4.0,4.0,9.0,4.0,3.0,3.0,2.0,4.0,1.0,1.0,6.0,2.0,2.0,8.0,7.0,10.0,2.0,2.0,3.0,3.0,2.0,5.0,5.0,7.0,2.0,1.0,3.0,8.0,3.0,3.0,8.0,13.0,3.0,4.0,4.0,2.0,7.0,4.0,4.0,9.0,5.0,5.0,4.0,1.0,3.0,5.0,3.0,1.0,6.0,1.0,2.0,4.0,2.0,5.0,8.0,6.0,4.0,3.0,1.0,1.0,6.0,6.0,1.0,10.0,4.0,7.0,0.0,8.0,2.0,7.0,4.0,3.0,2.0
"Eddie Burks,Joey Trogdon,Harry Okeke,Charles Swiers,Jane Hughes Redding",11.0,3.0,3.0,7.0,7.0,7.0,11.0,13.0,8.0,5.0,5.0,6.0,17.0,6.0,7.0,2.0,17.0,4.0,14.0,16.0,13.0,20.0,2.0,8.0,18.0,10.0,13.0,18.0,10.0,10.0,9.0,8.0,4.0,11.0,10.0,9.0,10.0,10.0,13.0,7.0,14.0,16.0,13.0,8.0,14.0,8.0,3.0,4.0,10.0,7.0,16.0,5.0,11.0,5.0,9.0,6.0,6.0,12.0,14.0,8.0,14.0,13.0,2.0,2.0,8.0,7.0,12.0,20.0,10.0,18.0,7.0,10.0,14.0,5.0,9.0,10.0,11.0,8.0,10.0,8.0,10.0,11.0,22.0,6.0,5.0,5.0,4.0,6.0,8.0,8.0,12.0,3.0,10.0,1.0,10.0,13.0,4.0,11.0,6.0,3.0
