Candidate,Plurality Result,STV Result,Difference
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,False,False,False
Roger A. Wood,True,True,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,True,False,True
Stephen Rabil,False,True,True
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,True,True,False
Stephen Rabil,False,False,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,False,False,False
Roger A. Wood,True,True,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,False,True
Roger A. Wood,True,True,False
Stephen Rabil,False,True,True
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,False,False,False
Roger A. Wood,True,True,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,False,True,True
Stephen Rabil,True,False,True
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,False,True,True
Roger A. Wood,True,True,False
Stephen Rabil,True,False,True
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,False,False,False
Felicia C. Baxter,True,True,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,True,True,False
Stephen Rabil,False,False,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,False,False,False
Roger A. Wood,True,True,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,False,False,False
Roger A. Wood,True,True,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,False,False,False
Felicia C. Baxter,False,False,False
John A. Dunn,False,False,False
Roger A. Wood,True,True,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,True,True,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,False,False,False
Roger A. Wood,True,True,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,False,False,False
Felicia C. Baxter,False,False,False
John A. Dunn,False,False,False
Roger A. Wood,True,True,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,True,True,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,True,True,False
Stephen Rabil,False,False,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,False,True,True
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,True,True,False
Stephen Rabil,True,False,True
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,False,False,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,True,True,False
Stephen Rabil,False,False,False
Stuart Ashby Lee,True,True,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,True,True,False
Stephen Rabil,False,False,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,False,False,False
Felicia C. Baxter,True,True,False
John A. Dunn,True,True,False
Roger A. Wood,True,True,False
Stephen Rabil,False,False,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,False,False,False
Felicia C. Baxter,True,True,False
John A. Dunn,True,True,False
Roger A. Wood,True,True,False
Stephen Rabil,False,False,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,False,False,False
Felicia C. Baxter,True,True,False
John A. Dunn,False,False,False
Roger A. Wood,True,True,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,False,False,False
Felicia C. Baxter,True,True,False
John A. Dunn,True,True,False
Roger A. Wood,True,True,False
Stephen Rabil,False,False,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,False,True
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,False,True,True
Stuart Ashby Lee,True,True,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,True,True,False
Stephen Rabil,False,False,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,False,True,True
Roger A. Wood,True,True,False
Stephen Rabil,True,False,True
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,True,True,False
Stephen Rabil,False,False,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,False,True,True
Stephen Rabil,True,False,True
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,True,True,False
Stephen Rabil,False,False,False
