Candidate,Plurality Result,STV Result,Difference
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
