Candidate,Plurality Result,STV Result,Difference
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
Andy Moore,True,True,False
Marlon Lee,False,False,False
,,,
