ranking,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6,iteration_7,iteration_8,iteration_9,iteration_10,iteration_11,iteration_12,iteration_13,iteration_14,iteration_15,iteration_16,iteration_17,iteration_18,iteration_19,iteration_20,iteration_21,iteration_22,iteration_23,iteration_24,iteration_25,iteration_26,iteration_27,iteration_28,iteration_29,iteration_30,iteration_31,iteration_32,iteration_33,iteration_34,iteration_35,iteration_36,iteration_37,iteration_38,iteration_39,iteration_40,iteration_41,iteration_42,iteration_43,iteration_44,iteration_45,iteration_46,iteration_47,iteration_48,iteration_49,iteration_50,iteration_51,iteration_52,iteration_53,iteration_54,iteration_55,iteration_56,iteration_57,iteration_58,iteration_59,iteration_60,iteration_61,iteration_62,iteration_63,iteration_64,iteration_65,iteration_66,iteration_67,iteration_68,iteration_69,iteration_70,iteration_71,iteration_72,iteration_73,iteration_74,iteration_75,iteration_76,iteration_77,iteration_78,iteration_79,iteration_80,iteration_81,iteration_82,iteration_83,iteration_84,iteration_85,iteration_86,iteration_87,iteration_88,iteration_89,iteration_90,iteration_91,iteration_92,iteration_93,iteration_94,iteration_95,iteration_96,iteration_97,iteration_98,iteration_99,iteration_100
"Roger A. Wood,John A. Dunn,Doris Louise Wallace,Felicia C. Baxter,Stuart Ashby Lee,Stephen Rabil",31.0,10.0,9.0,1.0,5.0,6.0,16.0,0.0,16.0,12.0,9.0,11.0,70.0,16.0,3.0,18.0,14.0,2.0,11.0,33.0,14.0,17.0,9.0,52.0,5.0,2.0,0.0,12.0,8.0,4.0,39.0,4.0,20.0,2.0,5.0,14.0,13.0,3.0,8.0,8.0,19.0,10.0,4.0,102.0,7.0,5.0,15.0,8.0,2.0,11.0,14.0,32.0,50.0,14.0,6.0,4.0,16.0,11.0,6.0,13.0,35.0,1.0,9.0,16.0,7.0,29.0,6.0,2.0,10.0,28.0,22.0,10.0,12.0,2.0,7.0,11.0,10.0,4.0,17.0,10.0,17.0,20.0,10.0,2.0,14.0,29.0,4.0,7.0,52.0,8.0,8.0,30.0,11.0,23.0,2.0,26.0,29.0,5.0,7.0,14.0
"Roger A. Wood,John A. Dunn,Doris Louise Wallace,Felicia C. Baxter,Stephen Rabil,Stuart Ashby Lee",16.0,6.0,32.0,1.0,9.0,11.0,34.0,41.0,5.0,22.0,28.0,22.0,35.0,18.0,17.0,47.0,37.0,23.0,10.0,22.0,10.0,9.0,4.0,17.0,23.0,0.0,4.0,12.0,6.0,9.0,14.0,8.0,13.0,10.0,11.0,20.0,22.0,11.0,14.0,18.0,37.0,7.0,13.0,10.0,14.0,18.0,16.0,13.0,18.0,20.0,82.0,7.0,16.0,16.0,5.0,6.0,15.0,20.0,20.0,25.0,21.0,5.0,36.0,22.0,11.0,43.0,12.0,18.0,17.0,35.0,5.0,28.0,10.0,7.0,22.0,22.0,33.0,17.0,27.0,12.0,39.0,16.0,6.0,22.0,15.0,15.0,35.0,4.0,37.0,31.0,4.0,23.0,29.0,10.0,36.0,43.0,29.0,21.0,9.0,18.0
"Roger A. Wood,John A. Dunn,Doris Louise Wallace,Stephen Rabil,Stuart Ashby Lee,Felicia C. Baxter",3.0,0.0,5.0,0.0,3.0,1.0,5.0,5.0,2.0,2.0,7.0,8.0,5.0,6.0,3.0,5.0,10.0,3.0,0.0,3.0,1.0,3.0,0.0,4.0,7.0,0.0,0.0,6.0,1.0,0.0,2.0,0.0,5.0,1.0,0.0,3.0,5.0,3.0,2.0,1.0,3.0,0.0,1.0,2.0,3.0,2.0,2.0,4.0,1.0,4.0,20.0,1.0,0.0,3.0,1.0,0.0,3.0,3.0,5.0,2.0,3.0,0.0,7.0,4.0,1.0,3.0,2.0,4.0,3.0,6.0,1.0,4.0,0.0,1.0,2.0,4.0,5.0,3.0,2.0,1.0,6.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,4.0,5.0,0.0,2.0,7.0,0.0,7.0,8.0,1.0,4.0,0.0,3.0
"Roger A. Wood,John A. Dunn,Doris Louise Wallace,Stephen Rabil,Felicia C. Baxter,Stuart Ashby Lee",7.0,2.0,13.0,0.0,10.0,3.0,12.0,15.0,4.0,9.0,22.0,10.0,15.0,11.0,3.0,14.0,17.0,12.0,4.0,6.0,5.0,7.0,1.0,2.0,9.0,0.0,1.0,13.0,3.0,2.0,1.0,2.0,11.0,0.0,5.0,9.0,11.0,4.0,3.0,1.0,14.0,6.0,3.0,9.0,7.0,6.0,6.0,8.0,3.0,6.0,42.0,3.0,6.0,11.0,2.0,2.0,7.0,6.0,9.0,12.0,9.0,3.0,10.0,8.0,0.0,15.0,10.0,7.0,2.0,23.0,3.0,12.0,5.0,4.0,7.0,7.0,18.0,7.0,8.0,5.0,17.0,10.0,5.0,9.0,3.0,4.0,16.0,3.0,16.0,14.0,2.0,9.0,4.0,4.0,15.0,14.0,10.0,13.0,3.0,7.0
"Roger A. Wood,John A. Dunn,Doris Louise Wallace,Stuart Ashby Lee,Stephen Rabil,Felicia C. Baxter",6.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,3.0,12.0,0.0,0.0,9.0,1.0,1.0,3.0,4.0,3.0,1.0,0.0,12.0,2.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,4.0,0.0,2.0,5.0,3.0,0.0,1.0,3.0,2.0,1.0,1.0,22.0,2.0,3.0,2.0,0.0,0.0,2.0,3.0,3.0,5.0,1.0,2.0,0.0,0.0,2.0,1.0,12.0,5.0,1.0,2.0,0.0,0.0,5.0,1.0,1.0,3.0,7.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,6.0,3.0,5.0,4.0,0.0,0.0,1.0,3.0,0.0,2.0,11.0,1.0,0.0,6.0,0.0,3.0,0.0,5.0,5.0,1.0,1.0,0.0
"Roger A. Wood,John A. Dunn,Doris Louise Wallace,Stuart Ashby Lee,Felicia C. Baxter,Stephen Rabil",12.0,0.0,8.0,0.0,3.0,0.0,8.0,1.0,4.0,2.0,3.0,7.0,24.0,8.0,2.0,6.0,5.0,1.0,6.0,10.0,7.0,4.0,3.0,25.0,1.0,0.0,2.0,2.0,3.0,3.0,14.0,3.0,6.0,2.0,4.0,9.0,6.0,0.0,3.0,3.0,9.0,0.0,2.0,48.0,3.0,2.0,8.0,3.0,1.0,3.0,6.0,7.0,24.0,5.0,4.0,1.0,4.0,3.0,4.0,11.0,9.0,2.0,6.0,3.0,4.0,13.0,2.0,4.0,7.0,12.0,5.0,4.0,2.0,1.0,1.0,2.0,6.0,6.0,10.0,1.0,4.0,8.0,4.0,0.0,1.0,7.0,2.0,2.0,23.0,4.0,2.0,17.0,7.0,12.0,2.0,11.0,5.0,3.0,1.0,12.0
"Roger A. Wood,John A. Dunn,Felicia C. Baxter,Doris Louise Wallace,Stuart Ashby Lee,Stephen Rabil",9.0,12.0,8.0,3.0,16.0,11.0,7.0,1.0,47.0,6.0,2.0,9.0,20.0,3.0,4.0,2.0,4.0,3.0,4.0,5.0,7.0,16.0,38.0,22.0,4.0,1.0,11.0,11.0,5.0,8.0,10.0,2.0,14.0,4.0,2.0,9.0,4.0,3.0,4.0,2.0,9.0,1.0,3.0,13.0,8.0,0.0,8.0,6.0,1.0,8.0,14.0,9.0,5.0,4.0,6.0,7.0,14.0,12.0,7.0,12.0,11.0,2.0,3.0,5.0,12.0,15.0,9.0,1.0,22.0,10.0,30.0,3.0,4.0,7.0,4.0,6.0,5.0,7.0,16.0,13.0,5.0,5.0,8.0,1.0,9.0,4.0,7.0,2.0,15.0,4.0,9.0,5.0,6.0,6.0,3.0,12.0,11.0,17.0,3.0,13.0
"Roger A. Wood,John A. Dunn,Felicia C. Baxter,Doris Louise Wallace,Stephen Rabil,Stuart Ashby Lee",10.0,5.0,23.0,4.0,23.0,21.0,8.0,37.0,7.0,9.0,5.0,22.0,9.0,17.0,9.0,1.0,0.0,16.0,5.0,1.0,4.0,23.0,18.0,8.0,8.0,1.0,16.0,12.0,9.0,6.0,1.0,1.0,28.0,18.0,2.0,22.0,7.0,22.0,7.0,1.0,7.0,1.0,8.0,0.0,29.0,11.0,1.0,17.0,22.0,18.0,42.0,5.0,10.0,8.0,1.0,13.0,6.0,11.0,19.0,17.0,3.0,1.0,20.0,2.0,23.0,37.0,15.0,6.0,35.0,5.0,7.0,15.0,8.0,8.0,15.0,25.0,6.0,31.0,29.0,10.0,15.0,11.0,9.0,13.0,1.0,5.0,47.0,2.0,18.0,23.0,7.0,7.0,13.0,3.0,5.0,12.0,4.0,34.0,9.0,20.0
"Roger A. Wood,John A. Dunn,Felicia C. Baxter,Stephen Rabil,Doris Louise Wallace,Stuart Ashby Lee",3.0,4.0,9.0,1.0,7.0,10.0,2.0,18.0,1.0,0.0,4.0,11.0,3.0,5.0,4.0,0.0,1.0,12.0,1.0,1.0,2.0,6.0,7.0,3.0,3.0,0.0,10.0,4.0,2.0,4.0,1.0,1.0,10.0,6.0,2.0,10.0,1.0,13.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,5.0,3.0,7.0,7.0,8.0,23.0,1.0,5.0,4.0,2.0,6.0,3.0,3.0,6.0,8.0,0.0,1.0,3.0,0.0,6.0,16.0,0.0,2.0,19.0,1.0,5.0,8.0,3.0,1.0,9.0,7.0,3.0,8.0,6.0,4.0,5.0,2.0,2.0,4.0,3.0,1.0,16.0,0.0,1.0,8.0,2.0,4.0,6.0,1.0,1.0,7.0,3.0,16.0,0.0,6.0
"Roger A. Wood,John A. Dunn,Felicia C. Baxter,Stuart Ashby Lee,Stephen Rabil,Doris Louise Wallace",4.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0,4.0,1.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,5.0,6.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,5.0,2.0,7.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,2.0,5.0,1.0,5.0,0.0,2.0,1.0,3.0,1.0,0.0
