Candidate,Plurality Result,STV Result,Difference
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,False,False,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,True,True,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
