Candidate,Plurality Result,STV Result,Difference
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
James (Smuggie) Mitchell,True,True,False
LaWana Slack-Mayfield,True,True,False
Steven J. DiFiore II,False,False,False
Victoria Watlington,True,True,False
,,,
Dimple Ajmera,True,True,False
