Candidate,Plurality Result,STV Result,Difference
Stephanie de Sarachaga-Bilbao,False,False,False
Vi Alexander Lyles,True,True,False
,,,
Stephanie de Sarachaga-Bilbao,False,False,False
Vi Alexander Lyles,True,True,False
,,,
Stephanie de Sarachaga-Bilbao,False,False,False
Vi Alexander Lyles,True,True,False
,,,
Stephanie de Sarachaga-Bilbao,False,False,False
Vi Alexander Lyles,True,True,False
,,,
Stephanie de Sarachaga-Bilbao,False,False,False
Vi Alexander Lyles,True,True,False
,,,
Stephanie de Sarachaga-Bilbao,False,False,False
Vi Alexander Lyles,True,True,False
,,,
Stephanie de Sarachaga-Bilbao,False,False,False
Vi Alexander Lyles,True,True,False
,,,
Stephanie de Sarachaga-Bilbao,False,False,False
Vi Alexander Lyles,True,True,False
,,,
Stephanie de Sarachaga-Bilbao,False,False,False
Vi Alexander Lyles,True,True,False
,,,
Stephanie de Sarachaga-Bilbao,False,False,False
Vi Alexander Lyles,True,True,False
,,,
Stephanie de Sarachaga-Bilbao,False,False,False
Vi Alexander Lyles,True,True,False
,,,
Stephanie de Sarachaga-Bilbao,False,False,False
Vi Alexander Lyles,True,True,False
,,,
Stephanie de Sarachaga-Bilbao,False,False,False
Vi Alexander Lyles,True,True,False
,,,
Stephanie de Sarachaga-Bilbao,False,False,False
Vi Alexander Lyles,True,True,False
,,,
Stephanie de Sarachaga-Bilbao,False,False,False
Vi Alexander Lyles,True,True,False
,,,
Stephanie de Sarachaga-Bilbao,False,False,False
Vi Alexander Lyles,True,True,False
,,,
Stephanie de Sarachaga-Bilbao,False,False,False
Vi Alexander Lyles,True,True,False
,,,
Stephanie de Sarachaga-Bilbao,False,False,False
Vi Alexander Lyles,True,True,False
,,,
Stephanie de Sarachaga-Bilbao,False,False,False
Vi Alexander Lyles,True,True,False
,,,
Stephanie de Sarachaga-Bilbao,False,False,False
Vi Alexander Lyles,True,True,False
,,,
Stephanie de Sarachaga-Bilbao,False,False,False
Vi Alexander Lyles,True,True,False
,,,
Stephanie de Sarachaga-Bilbao,False,False,False
Vi Alexander Lyles,True,True,False
,,,
Stephanie de Sarachaga-Bilbao,False,False,False
Vi Alexander Lyles,True,True,False
,,,
Stephanie de Sarachaga-Bilbao,False,False,False
Vi Alexander Lyles,True,True,False
,,,
