Candidate,Plurality Result,STV Result,Difference
Doris Louise Wallace,True,True,False
Felicia C. Baxter,True,True,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,False,False,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,False,False,False
Stuart Ashby Lee,True,True,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,False,False,False
Felicia C. Baxter,True,True,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,True,True,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,False,False,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,False,False,False
Roger A. Wood,False,False,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,True,True,False
,,,
Doris Louise Wallace,False,False,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,True,True,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,True,False,True
John A. Dunn,False,False,False
Roger A. Wood,False,False,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,False,True,True
,,,
Doris Louise Wallace,False,False,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,True,True,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,False,False,False
Felicia C. Baxter,True,True,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,True,True,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,False,False,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,True,True,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,False,False,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,True,True,False
John A. Dunn,False,False,False
Roger A. Wood,False,False,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,False,True,True
Felicia C. Baxter,True,True,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,False,False,False
Stuart Ashby Lee,True,False,True
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,False,False,False
Stuart Ashby Lee,True,True,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,True,True,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,False,False,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,True,True,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,False,False,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,True,True,False
John A. Dunn,False,False,False
Roger A. Wood,False,False,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,False,False,False
Roger A. Wood,False,False,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,True,True,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,True,True,False
Stuart Ashby Lee,False,False,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
John A. Dunn,True,True,False
Roger A. Wood,False,False,False
Stephen Rabil,False,False,False
Stuart Ashby Lee,True,True,False
,,,
Doris Louise Wallace,True,True,False
Felicia C. Baxter,False,False,False
